misdeed	 n.  罪行， 犯罪
vacuity	 n.  空虚
temperate forest	 温带森林（等于temperate woodland）
joint	 adj. 联合的，共同的，共有的 n. 关节 v. 把〔肉〕切成大块
saline	 adj.  盐的； 含盐的
separate	 adj. 分开的 v.  分开
urine	 n.  尿
reasonable	 adj.  合理的， 有道理的； 适度的； 通情达理的
innumerable	 adj.  无数的， 数不清的
stultify	 v.  使显得愚笨； 使变无效， 使成为徒劳
fatalism	 n.  宿命论
elicit	 vt.  得出， 引出， 抽出， 引起
relegate	 v.  驱逐， 放逐； 丢弃； 委托； 移交
qualm	 n.  疑虑
trivial	 adj.  琐碎的； 无足轻重的
misadventure	 n.  遭遇
longevity	 n.  长寿； 寿命； 耐久性
reluctant	 adj.  不情愿的， 勉强的
scuttle	 v.  凿洞沉船
conscientious	 adj.  认真的， 谨慎的
forgo	 v.  抛弃， 放弃
coil	 n.  线圈
ensure	 v.  确保， 保证
prescience	 n.  预知； 先见
venal	 adj.  贪污的
entreaty	 n.  恳求； 乞求
epidemic	 adj. 流行性的；传染的 n.  流行病； 传播
alacrity	 n.  敏捷， 轻快； 乐意， 欣然同意的表示
plasticity	 n.  可塑性
anarchy	 n.  无政府状态； 政治混乱
carnage	 n.   残杀， 大屠杀； 流血
recluse	 n.  隐居者， 隐士
equidistant	 adj.  等距离的
scruple	 n.  踌躇， 犹豫
genotype	 n.  基因型
archbishop	 n. 大主教
obscure	 adj. 暗的，朦胧的；模糊的，晦涩的 vt.  使暗， 使不明显
trove	 n.  被发现的东西， 收藏的东西
noxious	 adj.  有害的
bolster	 n. 垫子 vt.  支持
omnipresent	 adj.  无所不在的， 普遍存在的
deceive	 v.  欺骗， 蒙蔽
ingenious	 adj.  机灵的； 有独创性的； 心灵手巧的
populace	 n.  平民
amphibious	 adj.  两栖的
imprint	 vt. 印，压印；铭记 n.  印记； 深刻的印象； 持久的特征、 标志
destination	 n.  目的地， 目标
privacy	 n.  隐居； 私事， 隐私
reciprocal	 n.  倒数
vertical	 adj. 垂直的，竖的 n.  垂线
gruff	 adj.   粗暴的， 生硬的
perpetuate	 v.  使长存， 使不朽
quail	 v.  感到恐惧 n. 鹌鹑
osmosis	 n.  渗透作用
cringe	 v.  畏缩； 阿谀， 奉承
puerile	 adj.  不成熟的； 孩子气的， 幼稚的
gap	 n.  间隙， 缺口； 隔阂； 不足， 空白
neology	 n.  新词的使用， 旧词新义
gas	 n.  气体
emphasize	 v.  强调， 着重
overweight	 n.  超重
shriek	 n.  尖声叫喊
slight	 adj.  轻微的， 微小的
tumultuous	 adj.  喧嚣的， 动乱的； 激动的
regime	 n.  政体， 制度
effeminate	 adj.  柔弱的； 女人气的， 娇气的
zenith	 n.  天顶； 最高点； 顶点
arcade	 n.  【建】 拱廊， 有拱廊的街道
soliloquy	 n.  自言自语； 独白
anthropologist	 n.  人类学家
pedigree	 n.  血统； 家谱
ceremonious	 adj.  讲究仪式的； 正式的， 隆重的
daunt	 v.  使沮丧
belie	 vt.  掩饰； 证明为假
superior	 adj. 优良的，卓越的；较…多的，优于… n.  上级， 长官
premature	 adj.  未成熟的， 太早的， 早熟的
restitution	 n.  归还
promiscuous	 adj.  混杂的
choir	 n.   唱诗班； 合唱团
subsidize	 v.  给补助金 / 津贴 / 奖金
variegated	 adj.  杂色的， 斑驳的； 多样化的
truculent	 adj.  好战的； 凶狠的
accessory	 adj.  附属的 n. 附件，配件
biped	 n.  两足动物
retort	 n.  曲颈甑
antenna	 n.  天线
machination	 n.  诡计； 阴谋
ecosystem	 n.  生态系统
seminar	 n.   研究班， 研讨会
annihilation	 n.  湮没
tempestuous	 adj.  有暴风雨的； 暴乱的
respiration	 n.  呼吸作用
brigadier	 n.  旅长， 陆军指挥
zany	 n.  小丑， 丑角
repository	 n.  仓库； 学识渊博的人
therapeutic	 adj.  治疗的
meddler	 n.  爱管闲事的人
hazard	 v.  冒险， 拼命 n. 危险，冒险，危害
belay	 v.  用绳索拴住； 中止
melodrama	 n.  情节剧； 音乐剧
vegetative	 adj.  有关植物生长的， 植物的
harbinger	 n.  先驱； 先兆
dilute	 adj.  冲淡的， 稀释的 vt. 冲淡，稀释
phase	 n.  位相
coagulant	 n.  凝结剂； 凝血剂
lambaste	 v.  痛打； 严责
ominous	 adj.  预兆的； 不祥的， 不吉的
veracity	 n.  真实； 诚实
contract	 v.  缩小， 缩短； 订 ； 感染 n. 合同，契约
sluggish	 adj.  懒散的； 反应迟钝的
misfortune	 n.  不幸； 灾祸， 灾难
braggadocio	 v.  自夸 n. 吹牛大王
susceptible	 adj.  敏感的， 易受感动的， 易受影响的， 易感染的； 可被…的， 可能…的
befriend	 vt.  待人如友， 帮助
countermand	 v.  取消， 撤消； 下反对命令召回
innovative	 adj.  创新的
insight	 n.  洞察力
quiescent	 adj.  静止的
exact	 v.  强求； 急需， 要求
cooling	 n.  冷却
resourceful	 adj.   资源丰富的； 机智的， 多策略的
force	 n.  力
premonition	 n.  预先的警告； 预感， 前兆
cerebral	 adj.  脑的， 大脑的； 理智的
gambol	 n.  欢跳， 雀跃， 嬉戏
squelch	 v.  压制
suffuse	 v.  充满
caprice	 n.  反复无常； 任性； 怪念头
vagabond	 adj. 流浪的；漂泊的 n.  流浪者
debacle	 n.  冰河的溃裂； 大败
magnetism	 n.  磁学
slander	 n.  诽谤， 诋毁
sedentary	 adj.  久坐不动的； 定居一处的
cabal	 vi.  策划阴谋 n. 阴谋小集团；阴谋
baleful	 adj.  有害的； 恶意的
gel	 n.  凝胶体
eminence	 n.  卓越， 显赫， 著名
virulent	 adj.  有剧毒的； 致命的； 敌意的， 痛恨的， 恶毒的
Oxygen O	 n.  氧
predetermine	 v.  预定， 预先确定
divisor	 n.  除数； 约数
transcript	 n.  抄本
troubadour	 n.  行吟诗人
rectangular	 adj.  矩形的； 成直角的
precise	 adj.  精确的， 准确的
power	 n.  幂， 次方
enrapture	 v.  使狂喜
ulterior	 adj.  隐秘的， 别有用心的
suspect	 v. 怀疑，猜疑，疑心 adj.  令人怀疑的 n. 嫌疑犯
infuse	 v.  输入， 注入； 浸泡
oblivion	 n.  遗忘
emaciated	 adj.  瘦弱的； 衰弱的
depth	 n.  深度
mingle	 vi.  混合起来； 相往来 vt. 使混合
edible	 adj.  可以吃的， 可食用的
inscrutable	 adj.  难以理解的； 高深莫测的
antediluvian	 adj.   大洪水前的； 上古的， 古风的
unyielding	 adj.  坚定的， 不能弯曲的； 不屈的
anesthetic	 n.  麻醉剂， 麻药
reveal	 v.  泄露， 显露， 揭露
depot	 n.  储存
hindrance	 n.  妨碍， 障碍
data	 n.  数据
theoretical	 n.  理论的
rightful	 adj.  公正的
sound	 n.  声
hospitable	 adj.  好客的； 招待周到的；  宜人的；  易接受的
impetus	 n.  推动 ， 促进
revitalize	 v.  使苏醒
discourteous	 adj.  失礼的， 无礼貌的
bight	 n.  海岸线  的宽缓弯曲； 海湾
recalcitrant	 adj.  反抗的， 顽强的； 不顺从的
resource	 n.  资源
nuisance	 n.  讨厌的人  ； 麻烦事
delude	 v.  迷惑， 蛊惑
drub	 v.  敲打； 猛烈批评； 彻底打败
tyro	 n.  生手； 初学者； 新手
fission	 n. 〔原子的〕裂变
rectangle	 n.  矩形
interposition	 n.  介入； 干涉
sagacity	 n.  睿智， 聪敏
fractious	 adj.  易怒的， 乖张的
ancestry	 n.  祖先  ； 家系， 血统
abridge	 vt.  删节， 削减， 精简
penalty	 n.  处罚， 惩罚
line	 n.  直线； 线段
scale	 n.  鳞片
vegetation	 n.  植被
aggrandize	 v.  增加， 夸大
jingoism	 n.  沙文主义， 侵略主义
subdivide	 v.  再分； 细分
surmount	 v.  战胜； 超越； 克服
purport	 n.   意义，含义， 主旨
salient	 adj.  显著的， 卓越的； 凸出的， 突起的
matriarchy	 n.  母权制； 母系社会
inure	 v.  使习惯于； 使坚强， 使加固
regimen	 n.  养生之道
obtuse	 adj.  愚蠢的； 迟钝的
ostracize	 v.  放逐； 排斥
obstreperous	 adj.  喧嚣的； 任性的
confidence	 n.  信任； 信心， 自信； 秘密， 机密
eulogize	 v.  称赞， 颂扬
wily	 adj.  老谋深算的
arbitrary	 adj.  任意的； 武断的； 独裁的， 专断的
exultant	 adj.  非常高兴的， 欢跃的
loophole	 n.  枪眼； 观察孔
interrogate	 v.  审问， 询问
assay	 v. 鉴定，化验，分析〔尤指金属纯度或成分等〕
astute	 adj.  机敏的； 狡猾的
humdrum	 adj.  单调的
dignity	 n.  高贵， 体面； 可敬的品格
wile	 n.  诡计， 阴谋， 欺骗
emit	 v.  发出， 放射； 吐露； 散发； 发表， 发行
celibacy	 n.  独身生活； 禁欲
ebullient	 adj.  沸腾的； 热情洋溢的
votary	 n.  信徒； 崇拜者
almanac	 n.  历书； 年鉴
numerous	 adj.  众多的， 许多的， 大批的
accouter	 v.  装备， 配备
encumber	 v.  阻碍
remote	 adj.  偏远的， 偏僻的； 关系疏远的
assassin	 n.  暗杀者； 刺客
conjugation	 n.  结合； 配合
befog	 v.  罩入雾中； 使朦胧； 使迷惑
rupture	 v.  破裂， 裂开； 断绝
antemeridian	 adj.  上午的
stratagem	 n.  计策， 计谋， 策略
carcass	 n.   畜体
paragon	 n.  模范
collusion	 n.  共谋， 勾结
pellucid	 adj.  透明的， 澄清的； 易懂的
fluctuate	 v.  使波动， 使起伏
presentient	 adj.  有预感的
persistent	 adj.  坚持的， 百折不挠的； 持续的
everlasting	 adj.  永恒的； 无止境的
possess	 v.  占有， 拥有
neutral	 adj.  中立的； 中性的， 中和的
coup	 n.  出乎意料的行动
analysis	 n.  分解
apparent	 adj.  明显的， 显而易见的； 表面的； 貌似的
dissension	 n.  意见分歧， 冲突
exposure	 n.  暴露， 揭露； 受到
assonate	 v.   音相谐，  成为准押韵
placate	 v.  安抚
presumption	 n.  假定
humble	 adj. 谦卑的，恭顺的；低下的，卑贱的；粗陋的 v.  降低， 贬抑
commodity	 n.  商品， 物品
airy	 adj.  空气的； 空中的， 通风的； 轻快的
poise	 n.  平衡， 均衡； 姿势； 镇静
independent	 adj.  独立的， 自主的
elocution	 n.  演说； 演说术
urbane	 adj.  有礼貌的， 文雅的
alleged	 adj.  无根据的， 声称的； 所谓的
minuscule	 adj.  极小的
plausible	 adj.  似乎合理的， 似乎可信的
deluge	 v.  使泛滥； 淹， 浸； 压倒
cerebellum	 n.  小脑
revile	 v.  辱骂， 斥责
indulgent	 adj.  纵容的
mundane	 adj.  世界的， 世俗的； 平凡的
insidious	 adj.  阴险的
alkali	 n.  碱， 强碱
fortuitous	 adj.  偶然的， 意外的
slothful	 adj.  偷懒的
antiquarian	 n.  古文物研究者， 收集古文物者
fervent	 adj.  热心的， 热烈的， 强烈的
deceitful	 adj.  欺诈的
pervert	 vt.  使堕落， 诱惑； 使反常
adduce	 vt.  引证， 举出
audition	 n.  听； 听力； 试听
fertilization	 n.  受精
kernel	 n.   核， 仁
stingy	 adj.  吝啬的， 小气的
anode	 n.  阳极； 正极
excavate	 v.  挖掘， 开凿； 挖洞
subtle	 adj.  敏锐的； 精细的， 微妙的
unsavoury	 adj.  声名狼藉的， 寡廉鲜耻的； 难吃的
component	 adj.  组成的， 构成的 n. 成分
impartial	 adj.  公平的， 不偏不倚的
consultant	 n.  会诊医师， 顾问医生； 顾问
indisputable	 adj.  无争论之余地的， 明白的
disguise	 v. 装扮，假扮 n. 伪装物，化装用具；伪装
facet	 n.  方面；  刻面
rationalize	 v.  合理化
novel	 adj.  新奇的， 新颖的 n. 小说
prominence	 n.  突出， 显著
liberal	 adj.  慷慨的， 大方的； 丰富的， 富足的； 自由的， 思想开明的
genial	 adj.  亲切的
epitome	 n.  摘要； 象征
obdurate	 adj.  冷酷无情的； 顽固的， 执拗的
orthodoxy	 n.  正统
imitate	 v.  模仿， 仿效； 仿造， 伪造
dominate	 v.  支配， 统治， 控制； 占优势
rearrange	 v.  再排列， 重新整理
impalpable	 adj.  感触不到的， 摸不到的
exceed	 v.  超过， 胜过
torpid	 adj.  麻木的； 迟钝的；  冬眠的
avert	 vt.  防止， 避免； 转移
callous	 adj.  无情的； 冷淡的； 硬结的； 起老茧的
grievance	 n.  委屈， 冤情， 不平
claimant	 n.  要求者； 原告
area	 n.  面积
monarchy	 n.  君主制
vicious	 adj.  恶毒的， 凶残的， 邪恶的
visibility	 n.  可见度
tractable	 adj.  易驾驭的， 驯良的； 易处理的
determinate	 adj.  确定的
enormous	 adj.  巨大的， 庞大的
sloth	 n.  怠惰
sleight	 n.  技巧， 手法
wiry	 adj.  金属丝般的； 瘦长结实的
external	 adj.  外部的， 外面的
remunerate	 v.  酬劳
aspirant	 adj.  上进的； 有野心的 n. 有抱负者，有野心者
paramount	 adj.  最重要的
salutation	 n.  招呼
agility	 n.  敏捷， 活泼
outgoing	 adj.  即将离职的； 对人友好的
deleterious	 adj.   有害的， 有毒的
sociable	 adj.  好交际的， 友善的； 喜欢群居的
semiconductor	 n.  半导体
obsolete	 adj.  已废弃的， 过时的
instrument	 n.  仪器
gasoline	 n.  汽油
medium	 n.  介质
inhospitable	 adj.  冷淡的， 不好客的；  不适合居住的，  荒凉的
hormone	 n.  荷尔蒙
pyromania	 n.  放火癖， 放火狂
eloquence	 n.  雄辩， 口才
outstrip	 v.  超过
engender	 v.  使发生， 使产生， 引起， 造成
vegetal	 adj.  植物的； 植物性的
inkling	 n.  暗示； 迹象
audacious	 adj.  大胆的； 鲁莽的
perform	 v.  履行， 执行， 做； 表演， 演出
retrospective	 adj.  回顾的
knavery	 n.  流氓行为
germane	 adj.  有密切关系的； 恰当的
evolution	 n.  进化， 演变， 演化
peak	 n.  峰值
lucrative	 adj.  赚钱的， 获利的
quietus	 n.  解脱， 死；  偿清， 义务解除
pastoral	 adj.  田园生活的
redemption	 n.  赎回， 偿还
weightlessness	 n.  失重
complaint	 n.  诉苦， 抱怨
pinnacle	 n.  山顶； 顶点； 尖顶
pediatrics	 n.  小儿科
animadvert	 v.  批判， 非难
analyst	 n.  分析家； 分解者
inject	 v.  注射， 注入
hectic	 adj.  发烧的， 发热的； 兴奋的
copious	 adj.  丰富的， 大量的
inception	 n.  起初
focus	 n.  焦点
hamper	 v.  妨碍， 阻碍
exterminate	 v.  消除
pea	 n.  豌豆
pictograph	 n.  统计图表
overshadow	 v.  遮蔽； 使…失色
unconscionable	 adj.  不合理的； 过度的
anachronism	 n.  不合时代的人或事； 过时现象
assiduity	 n.  勤勉， 刻苦
decisive	 adj.  决定性的
thesis	 n.  论文； 论题； 论点
precursor	 n.  先驱
cameo	 n.  刻有浮雕的宝石或贝壳
revive	 v.  恢复；  复苏
fumigate	 v.  熏蒸
explicate	 v.   解释， 说明；  阐明， 分析， 引申， 发展
arid	 adj.  无趣的； 贫瘠的
period	 n.  周期
amorphous	 adj.  无定形的； 非结晶的
proceed	 v.  进行， 开始， 着手； 出发； 继续进行； 发生， 出自
introspect	 v.  内省， 内观
interpolate	 v.  篡改； 插入
dismiss	 v.  使退去， 让离开， 打发走； 免职， 解雇， 解散， 开除  ； 消除  ； 不考虑
verisimilitude	 n.  逼真的事物
intelligence	 n.  智力， 聪明； 理解力； 情报， 消息， 报导
utilitarian	 adj.  功利的； 功利主义的
automaton	 n.  自动机器； 机器人
analyze	 vt.  分析， 分解
dishevel	 v.  使蓬乱； 使头发蓬松； 使衣服弄皱； 弄乱
bulk	 n. 体积，大小；大多数 vt.  使膨胀或延伸
antiquary	 n.  古文物研究者， 收集古文物者， 古董商
despair	 v.  对…绝望 n. 绝望
champion	 n.  冠军； 战士
stoic	 n. 坚忍克己的人；不以苦乐为意的人
dispensation	 n.  分配； 豁免
circuit	 n.  电路
restrict	 v.  限制， 约束
avuncular	 adj.  伯父的； 伯父似的
conduit	 n.  导管
instant	 adj. 立即的，直接的；紧迫的；速溶的，方便的 n.  瞬间， 即刻
waif	 n.  流浪者
antiquate	 v.  使成为过时而淘汰， 因陈旧而废弃
native	 adj.  本地的； 与生俱来的
legislate	 v.  制定法律， 通过立法
prolix	 adj.  冗长的； 说话嗦的
accolade	 n.  赞美
imperative	 adj. 强制的；必要的；紧急的 n.  必要的事， 必须完成的事； 祈使语气
piecemeal	 adj.  逐渐的
linear	 adj.  线的， 直线的， 线状的； 线性的
robust	 adj.  强壮的， 健康的
dominant	 adj.  支配的， 统治的， 占优势的
devalue	 v.  贬值
Iron Fe	 n.  铁
electrification	 n.  起电
inconsistent	 adj.  不一致的； 不协调的； 矛盾
scribble	 n.  潦草的笔迹
denounce	 vt.  谴责， 公开指责， 公然抨击； 告发某人
jaded	 adj.  疲倦不堪的； 厌倦的
humbug	 n.  欺骗
caucus	 n.   领导人秘密会议； 核心小组会议
ineffectual	 adj.  无效的； 不成功的
microorganism	 n.  微生物
disfigure	 v.  损伤外貌， 使变丑
entity	 n.  实体， 存在物
chronicle	 n.  编年史
prohibit	 v.  禁止， 不准， 阻止
asperity	 n.  严酷； 粗暴； 刻薄
frugal	 adj.  节俭的， 朴素的
bacteria	 n.  细菌
replica	 n.  复制品
carouse	 v.  痛饮， 狂饮欢闹
assessor	 n.   估价员，  审核员； 估税员
reign	 n.  统治， 支配
comestibles	 n.  食物
alkaloid	 n.  生物碱
rationalism	 n.  理性主义， 唯理论
servile	 adj.  奴隶的； 卑屈的
scrupulous	 adj.  小心谨慎的， 细心的
buttress	 n. 扶壁；支持物 vt.  支持，  扶住
kidney	 n.  肾
aphorism	 n.  格言， 警语， 谚语
detract	 v.  转移
rowdy	 n.  无赖， 凶暴的人
brazier	 n.  火盆； 黄铜匠
stock	 n.  备料， 库存， 现货； 股票， 公债； 砧木
verification	 n.  确认， 查证
suspend	 v.  吊， 悬挂； 推迟； 暂停
baldness	 n.  秃头
distraught	 adj.  发狂的
misbehave	 v.  行为不礼貌； 行为不端
vociferous	 adj.  大声叫的， 喊叫的； 喧嚷的
ritual	 adj.  典礼的，  仪式的 n. 典礼，仪式；礼节
quarrelsome	 adj.  喜欢吵架的， 好争论的
voluble	 adj.  易旋转的； 流利的， 健谈的
belittle	 vt.  轻视； 使…显得渺小
indiscriminate	 adj.  不加分析的， 不加选择的
affected	 adj.  假装的， 做作的
resolute	 adj.  坚决的， 果断的
senator	 n.  参议员
impugn	 v.  质疑
tempt	 v.  诱惑， 引诱； 吸引， 使感兴趣
votive	 adj.  奉献的
reciprocate	 v.  互给； 回报； 报答
agape	 adj.  张口发呆的， 目瞪口呆的
inveterate	 adj.  根深蒂固的； 积习的
absolve	 vt.  免除
seclusion	 n.  隔离
denominate	 v.  命名
complication	 n.  复杂化；  因素； 【医】 并发症
procrastinate	 v.  延迟， 耽搁
ether	 n.  以太
nuance	 n.  细微差别
abdomen	 n.  腹， 腹部
embattle	 v.  备战
latency	 n.  潜伏， 潜在； 潜伏物
accost	 vt.  对…说话， 搭话
afoot	 adj.  徒步的； 进行中的
acquittal	 n.  宣判无罪
grievous	 adj.  令人忧伤的
pursue	 v.  追赶， 追踪； 继续； 从事
vulgar	 adj.  粗俗的， 庸俗的； 普通的， 通俗的
catastrophe	 n.  大灾难， 大祸
convey	 v.  运送， 搬运； 传达， 表达
redeem	 v.  赎回， 挽回； 恢复， 补偿； 兑换
rationality	 n.  合理性
conformity	 n.  一致， 符合
monogamy	 n.  一夫一妻制
hysterical	 adj.  情绪异常激动的， 歇斯底里的
cholera	 n.  【医】 霍乱
torpor	 n.  麻痹； 迟钝
allude	 vi.  暗指， 影射， 间接提到
ante-room	 n.  接待室， 前厅
chagrin	 n.  懊恼； 气愤； 委屈
custodian	 n.  管理人； 保管人
forfeit	 v.  没收， 丧失
euphemism	 n.  委婉的说法
choral	 adj.  合唱队的
consecutive	 adj.  连续的
assimilation	 n.  同化； 同化作用
burning	 n.  燃烧
dexterity	 n.  灵巧， 机敏
quotient	 n.  商
encyclopedia	 n.  百科全书
renunciation	 v.  放弃， 弃权； 脱离关系
plunder	 v.  抢劫
drainage	 n.  排水， 排水装置
cilia	 n.  纤毛
indecipherable	 adj.  破译不出的， 难领悟的
bigamy	 n.  重婚； 重婚罪
immigrate	 v.  移居入境
Aluminum	 n.  铝
apparatus	 n.  器械， 设备， 仪器， 装置
proscribe	 v.  禁止
decay	 v. （使）腐烂；（使）变坏 n. 腐烂，朽烂
induct	 v.  感应
fracture	 v.   断裂，  折断 n. 裂缝，裂痕；骨折
figurine	 n.  小雕像
liberty	 n.  自由； 冒失， 冒昧， 失礼
rendezvous	 n.  约会； 约会地点
camaraderie	 n.  同志之爱； 友情
apprentice	 n.  学徒； 初学者
marsh	 n.  湿地， 沼泽， 沼泽地
anthropology	 n.  人类学
chaos	 n.  混乱； 混沌
absorption	 n.  吸收
abundant	 adj.  丰富的， 充分的， 充裕的
pigment	 n.  色素； 颜料
forecast	 n. 预测，预报 v. 预测，预报
deteriorate	 v.   恶化，  变坏
input	 n. 〔输入计算机的〕信息 v. 把〔资料〕输入〔计算机〕
induce	 v.  劝诱； 促使； 引起， 导致； 感应
bisect	 v.  把…二等分
thoroughbred	 adj.   纯种的， 良种的
abnormal	 adj.  反常的， 不正常的
wane	 v.  变小， 衰落
volt	 n.  伏特
satirize	 v.  讽刺
shrewd	 adj.  敏捷的， 机灵的， 精明的， 伶俐的
difference	 n.  差； 差额
baffle	 vt.  困惑； 阻碍； 为难
extricate	 v.  救出； 使脱离
molecule	 n.  分子
circle	 n.  圆
reminiscent	 adj.  回忆往事的
butt	 v.  以头低撞， 碰撞 n. 粗大的一端；笑柄
safeguard	 v. 维护，保护，捍卫 n.  安全装置， 安全措施
diligent	 adj.  勤奋的， 刻苦的
sophisticated	 adj.  尖端的， 复杂的， 先进的； 老练的， 老于世故的
anomaly	 n.  不规则， 异常的人或物
equivocal	 adj.  意义不明确的； 模棱两可的； 可疑的
prehensile	 adj.  适于抓住的
scrutiny	 n.  详细审查
realism	 n.  现实主义
archaic	 adj.  古老的； 古代的； 陈旧的
ravine	 n.  沟壑； 峡谷
inalienable	 adj.   不能让与的， 不可剥夺的
quadrilateral	 n.  四边形
chasm	 n.  深坑， 裂口
butane	 n.  丁烷
reprobate	 v.  非难
digestion	 n.  消化
putrid	 adj.  腐烂的； 非常讨厌的
inclement	 adj.  险恶的； 严酷的
enlist	 v.  征募， 征召， 参军
latest	 adj.  最近的
validate	 v.  使有效， 使有法律效力； 批准； 确认
guileless	 adj.  坦率的
a. 灵巧的， 熟练的	 n.  灵巧， 机敏
inhibit	 vt.  阻止， 妨碍， 抑制
disclose	 v.  泄露； 揭发； 解开
unspeakable	 adj.  无法形容的， 不能以言语表达的
disparate	 adj.  全异的
clientele	 n.  诉讼委托人， 客户
dilapidate	 v.   荒废，  毁坏
defiant	 adj.  挑战的， 挑衅的， 目中无人的
powerless	 adj.  无能力的
oxide	 n.  氧化物
perusal	 n.  熟读， 精读
arbor	 n.  树阴处，  藤架， 凉亭
antagonize	 v.   敌对；  对抗
chart	 n.  图表
evoke	 vt.  唤起， 引起， 使人想起
preface	 n.  序言， 引言， 前言
antagonism	 n.  对抗； 敌对
antagonist	 n.  敌手， 对手
incite	 v.  激动， 煽动
neutron	 n.  中子
mediocrity	 n.  平凡； 平庸之才
interpose	 v.  插入
inexcusable	 adj.  无法辩解的， 不可宽赦的
immense	 adj.  广大的， 巨大的
vacate	 v.  腾出； 空出， 离 ， 退
inherent	 adj.  固有的， 内在的， 天生的
advantageous	 adj.  有利的
encroach	 v.   侵占， 蚕食； 超出通常  界线
facsimile	 n.  复制品， 摹本
definite	 adj.  明确的， 肯定的， 一定的
wary	 adj.  机警的
weight	 n.  重量
intrinsic	 adj.  固有的， 本质的， 内在的
dissemble	 v.  掩饰
guilty	 adj.  犯罪的， 有罪的； 自觉有罪的， 内疚的， 心虚的
median	 n.  中点； 中线
vestige	 n.  退化器官； 残余
kleptomaniac	 n.  有盗窃癖的人
proximity	 n.  接近， 近似
maritime	 adj.  海上的； 海事的， 海运的； 海员的
injurious	 adj.  有害的
quibble	 n.  谬论； 双关话； 俏皮话； 吹毛求疵的意见
plural	 adj. 复数的 n.  复数
prank	 n.  胡闹， 开玩笑， 恶作剧
bullock	 n.  阉牛； 一岁半以下的小公牛
heartrending	 adj.  悲惨的； 令人心碎的
ceremonial	 adj.  仪式的； 礼仪的 n. 仪式
ozone	 n.  臭氧
wave	 n.  波
squabble	 v.  争论
rustic	 adj.  乡村的
distend	 v.  扩大； 膨胀
tipsy	 adj.  喝醉的
lave	 v.  为…沐浴； 洗
prudent	 adj.  谨慎的， 深谋远虑的
autocrat	 n.  独裁者
cower	 v.  畏缩， 退缩
attenuate	 v.  稀释
juxtapose	 v.  并置， 并列
loathe	 vt.  厌恶， 憎恶
rotation	 n.  转动
temerity	 n.  鲁莽； 冒失
intruder	 n.  入侵者
infinitesimal	 adj. 无穷小的，极小的 n.  极小量， 极微量， 无限小
volatile	 adj.  挥发性的； 易变的； 不稳定的
contentious	 adj.  好争吵的； 争论的， 有异议的
communicative	 adj.  爱说话的， 畅谈的
generic	 adj.  一般的， 普通的
endorse	 v.  在  背面签名； 签注 ； 认可
clarity	 n.  清楚， 透明
laud	 n.  称赞， 赞美； 颂歌
seclude	 v.  隐居， 与世隔绝
heinous	 adj.  可憎的， 极恶的
typical	 adj.  典型的， 象征性的
embargo	 v.  禁止  出入港口， 禁止通商， 禁运
quotation	 n.  引用语
watt	 n.  瓦特
nocturnal	 adj.  夜的， 夜间发生的
corrosion	 n.  腐蚀
vortex	 n.  旋涡， 旋风， 涡流；  的中心
notorious	 adj.  臭名昭著的， 声名狼藉的
accusatory	 adj.  非难的， 控诉的， 指责的
verisimilar	 adj.  好像真实的
aggravation	 n.  加重， 恶化； 恼怒
hydrogen	 n.  氢
outstretch	 v.  伸出， 伸展
prate	 v.  唠叨； 闲聊
artifact	 n.  人工制品
hypotenuse	 n.  直角三角形的斜边
aviary	 n.   大型鸟舍； 鸟类饲养场
pedal	 v.  踩踏板； 骑自行车 n. 踏板
endemic	 adj.  风土的； 地方的 n. 地方病
nugatory	 adj.  无价值的； 无效的
insightful	 adj.  洞察力强的
ambulance	 n.  救护车
extraction	 n.  萃取
philosophy	 n.  哲学
slope	 n.   斜率
blatant	 adj.  明显的； 明目张胆的； 厚颜无耻的
pungent	 adj.  辣的；  有刺激性的
lapse	 vi.  终止， 失效； 陷入  …状态 n. 失误，疏忽；行为有失检点，失足；流逝，间隔
perfunctory	 adj.  马虎的； 敷衍的
latent	 adj.  潜在的， 潜伏的， 不易察觉的
quandary	 n.  困惑， 窘境， 进退两难
regenerate	 v.  使再生； 重建
light	 n.  光
nauseate	 v.  产生恶感， 厌恶； 作呕
corporal	 adj.  肉体的； 身体的
stanza	 n.  诗的一节
diode	 n.  二级管
impute	 v.  归罪于， 归咎于， 归因于
indomitable	 adj.  不屈服的， 不屈不挠的
acidify	 v.  使酸化， 使成酸性
antibiotics	 n.  抗生素
muddle	 v.  混合
jocund	 adj.  欢乐的， 高兴的
ponderous	 adj.  笨重的； 冗长的， 沉重的； 呆板的
infection	 n.  感染
stubborn	 adj.  顽固的， 倔强的； 难对付的， 难以克服的
actuate	 vt.  开动， 促使
emigrate	 v.  迁居
triangle	 n.  三角形
sinuous	 adj.  蜿蜒的； 曲折的
alien	 adj.  外国的； 相异的； 不相容的 n. 外侨；外星人
bucolic	 adj.  牧羊的； 牧歌的； 田园风味的
attest	 v.  证明
cavil	 v.  吹毛求疵， 挑剔； 指责
berate	 vt.  严厉指责； 申斥
profligate	 adj.  放荡的， 荒淫的； 挥霍浪费的
lexicon	 n.  词典
predatory	 adj.  掠夺的； 食肉的
deficient	 adj.  不足的， 缺乏的， 欠缺的
impropriety	 n.  不适当的行为； 不适当
yip	 v.  犬吠； 叫喊
barrel	 n.  桶； 枪管， 炮管
unify	 v.  统一， 使成一体
sapiential	 adj.  明智的
