cancel	 vt.  取消
natural	 adj.  自然的， 天然的； 天生的
overhead	 adj&adv.  在高处， 在空中
conclude	 v.  推论； 断定； 完成； 结束
come	 vi. 来，来到 v.  变成
comprehension	 n.  理解
leather	 n.  皮革
comb	 v. 梳 n.  梳子
exist	 vi.  存在， 生存
unemployment	 n.  失业
exact	 adj.  精确的， 准确的， 确切的
lift	 vi.  升起，  消散
motto	 n.  箴言， 格言
nationwide	 adj.  全国性的
force	 vt. 强迫，迫使 n.  力量， 武力
centigrade	 adj.  摄氏的； 百分度的
botany	 n.  植物学； 植物
wear	 v.   穿， 戴； 留， 蓄； 磨损， 使变旧
range	 n.  范围； 射程
weak	 adj.  虚弱的； 差的
leak	 v.  漏， 泄漏
impress	 vt.  留下印象
flat	 adj. 平的 n.  一套房间； 公寓
get	 v.  变得； 到达 vt. 得到，获得
course	 n.  过程， 经过； 课程
barber	 n.  理发师
copy	 v.  复制； 抄写； 复印 n. 抄本，副本；一本
precise	 adj.  精确的， 准确的
power	 n.  力量； 动力
place	 n. 地方，处所 vt.  放置， 安置
dare	 v.  敢， 敢于
regular	 adj.  规则的； 经常的
precious	 adj.  宝贵的， 珍贵的
sell	 v.  卖， 售
tired	 adj.  疲劳的， 累的； 厌烦的
tremble	 v.  颤抖， 挥动
gymnastics	 n.  体操， 体育
suspect	 v.  怀疑 n.  犯罪嫌疑人
suggest	 vt.  建议； 提出； 暗示
apologize	 vi.  道歉， 谢罪
expect	 v.  预料； 期望； 要求
help	 n&v.  帮助， 帮忙； 有帮助， 有用
depth	 n.  深， 深度
assess	 vt.  估定， 评定
prescription	 n.  处方， 药方
behaviour	 n.  [U] 行为， 举止
chorus	 n.  合唱
minimum	 adj.  最小的 n. 最小量，最小值
queue	 vi. 排队 n.  行列， 长队
apology	 n.  道歉； 歉意
date	 n. 日期；约会 vt.  约会； 注明日期
magic	 adj.  有魔力的 n. 魔法，魔术
dress	 v. 穿衣，打扮 n.  女服， 连衣裙； 服装
argument	 n.  [C] 争论， 辩论
passage	 n.   一节； 走廊； 通道
theoretical	 adj.  理论的
adequate	 adj.  足够的， 适当的
sound	 n. 声，声音 v. 听起来；看起来；好像 adj. 明智的；合理的；正确的
own	 adj. 自己的 vt.  拥有
hopeful	 adj.  有希望的； 有前途的
dozen	 n.  十二个； 许多
translate	 v.  翻译
drug	 n.  药， 药物； 毒品
barrier	 n.  栅栏， 挡板； 障碍
plain	 adj. 平常的，普通的；明白的 n.  草原
should	 modal verb. 应当，应该 〔用于提供或征求建议〕
only	 adv.  只， 仅仅 adj. 唯一的，仅有的
create	 vt.  创造； 造成
justice	 n.  正义， 公正； 司法
criminal	 n.  罪犯
blow	 v.   吹  ； 刮风 n. 击，打击
curious	 adj.  好奇的； 奇异的
proud	 adj.  自豪的， 骄傲的
like	 v.  喜欢， 喜爱 prep. 像，跟…一样 n. 爱好
ugly	 adj.  丑陋的， 难看的
earthquake	 n.  地震
tax	 n.  税， 税款
towards	 prep.  向， 朝， 对于
messy	 adj.  乱七八糟的
embassy	 n.  大使馆
rectangle	 adj.  长方形的 n. 长方形
fragile	 adj.  易碎的， 脆的
departure	 n.  离开； 背离； 违反
dash	 v. 快跑，猛撞 n.  快跑， 猛撞； 少量
send	 vt.   打发， 派遣； 送， 邮寄
concrete	 adj.  具体的； 有形的
note	 n. 便条，笔记，注释 vt.  记录， 注意
everybody	 pron.  每人， 人人
sail	 v. 航行，开航 n.  帆； 航行
cab	 n.  出租车； 驾驶室
purpose	 n.  目的， 意图
regret	 n. 遗憾，懊悔；令人遗憾的事 vt.   遗憾； 后悔
line	 v.  画线于，  成行 n. 直线；排
stout	 adj.  结实的， 矮胖的
link	 v. 连接，联合 n.  链环， 链接
flee	 v.   逃走， 逃跑
weep	 v.   哭泣， 流泪
tune	 n.  曲调， 调子
aware	 adj.  知道的， 意识到的
can	 n.  罐头； 铁罐； 垃圾桶
security	 n.  安全
award	 n.  奖品， 奖励
ready	 adj.  准备就绪的
alarm	 n.  警报
weed	 n.  野草， 杂草
herb	 n.  草药
unconscious	 adj.  不省人事的， 无意识的
rainfall	 n.  一场雨； 降雨量
cost	 n. 成本；代价 vt.   花费； 使付出
will	 n.  意志； 遗嘱
satisfy	 v.  满足， 使满意
smoke	 v.  冒烟； 吸烟 n. 烟
match	 v. 相配，相称 n.  比赛； 火柴
arbitrary	 adj.  武断的； 任意的
cuisine	 n.  烹饪， 烹饪术
fault	 n.  过错， 缺点， 毛病
follow	 v.  跟随； 遵循； 仿效
passive	 adj.  被动的； 消极的
hard-working	 adj.  勤劳的， 辛勤工作的
carrier	 n.  搬运者；  置物架
dignity	 n.  尊严； 高贵
challenge	 n. 挑战；挑战性 vt.  挑战
category	 n.  种类
cosy	 adj.  暖和舒服的； 舒适的
intend	 v.  想要， 打算
wild	 adj.  野生的
