abandon	 v. 离弃；放弃
intense	 adj. 强烈的，剧烈的，热情的
intensify	 v. 加强; 加剧
intent	 adj. (目光)不能移的，集中的，专心的，坚决的
interact	 v. 干预，干涉，触犯，妨碍
interim	 adj. 临时的，暂时的
interior	 adj. 在内的；内部的，内地的，国内的 n. 内部
intermediate	 a&n. 中间的；中间物
intermittent	 adj. 间歇的，断断续续的
interpret	 v. 解释，说明，认为的意思；口译
interrogate	 v. 询问，审问
intersection	 n. 交**点，十字街口
interval	 n. 间隔的时间，间隔；间歇
intervene	 v. 插入，介入，干涉，(时间)介于
intimate	 adj. 亲密的，私人的，秘密的，精湛的 v. 暗示
intimidate	 v. 恫吓，威胁
intricate	 adj. 复杂的，错综的
intrigue	 v. 用诡计取得；激起的兴趣 n. 阴谋
intrinsic	 adj. 固有的，内在的
intuition	 n. 直觉，直觉知识
inundate	 v. 淹没，泛滥，压倒
invade	 v. 侵略；侵犯，蜂拥而至
knot	 n. 绳结；结合；树节；海里；小群人 v. 打结
laborious	 adj. 吃力的，努力的，不流畅
lace	 n. 鞋带；花边
laden	 adj. 装满的，载满的
lag	 v. 走得慢，落后 n. 相隔时间
lamb	 n. 小羊；羔羊肉
lame	 adj. 跛的；瘸的，不能说服人的 v. 使跛
lament	 v. 悲痛，哀悼 n. 挽歌，挽诗
landscape	 n. 风景，景色，风景画
lane	 n. 小径，行车道，巷
languid	 adj. 没精打采的，倦怠的
lap	 n. (跑道的)一圈；腰以下及大腿的前面部分
lapse	 n. 小错，记错；(时间)流逝；[律]权利终止
lash	 n&v. 鞭打，责骂；眼睫毛
latent	 adj. 潜在的；潜伏的
lateral	 adj. 侧面的；旁边的
latitude	 n. 纬度；地区；(言论，行动的)自由
laudable	 adj. 值得称赞的
launch	 v. 使(船)下水，发射,开始,开办 n. 下水,汽艇 v. "
laundry	 n. 洗衣店，要洗的东西
lavish	 adj. 慷慨的，过度的，大量的
lawn	 n. 草地，草坪
lax	 adj. 疏忽的，不严格的
livestock	 n. 家畜，牲畜
loaf	 n. 一块面包，块，团 v. 消磨时间
loan	 n. 借出物，贷款；借出 v. 借
loath	 adj. 不愿意的
lobby	 n. 门廊；院外活动集团 v. 对议员等游说活动
locality	 n. 地区，地方
locker	 n. (公共场所存衣帽的)小橱柜
locomotive	 adj. 运动的，移动的 n. 火车头
lodge	 v. 供住宿，寄宿；存放；提出 n. 仆人住房
lodging	 n. 寄宿，住所；(大学生的)校外宿舍
lofty	 adj. 极高的，高尚的，高傲的
log	 n. 原木，圆木
logic	 n. 逻辑，逻辑学，条理性
loll	 v. 懒洋洋地倚靠,(头等)垂下n游手好闲的人"
longitude	 n. 经度
lock	 v&n. 看，显得，似乎，注意
mammal	 n. 哺乳动物
manacle	 n. 手铐 v. 上手铐，束缚
mandate	 n. 命令，训令；授权(选民对代表)
mandatory	 adj. 命令的；强制性的
maneuver	 n. 调动，机动；演习；策略；总括 v. 使调动
mania	 n. 疯狂；躁狂症，狂热，癖好
maniac	 n. 疯子，躁狂者
manifest	 adj. 明白的，明显的 v. 显示，出现
manifold	 adj. 多样的；种种的
manipulate	 v. 熟练地使用；操纵
mantle	 n. 斗篷，披风；覆盖物，(煤气灯)白热罩
mansion	 n. 大厦，官邸
manual	 adj. 手工的，用手的 n. 手册；便览
manure	 n. 粪，肥，肥粒 v. 施肥
manufacture	 v. 大量制造加工 n. (大量)制造；产品
manuscript	 n. 手稿，原稿
mar	 v. 毁坏，弄糟
marble	 n. 大理石，(游戏用的)玻璃弹子
march	 n. 行进，行军；进展
margin	 n. (页边)空白；边缘；(时间，金钱)多余
marginal	 adj. 很少的，微量的
marine	 adj. 海的，海运的 n. 船舶；海运业
marital	 adj. 婚姻的，丈夫的
mingle	 v. 使混合；交往
minimal	 adj. 最小的；最低限度的
minimum	 "n. [pl~s,-ma]最少量；最低限度"
minister	 v. 照顾，给予帮助
minority	 n. 未成年；少数；少数民族
mint	 n. 薄荷；造币厂
minus	 a&n&prep. 负的，负号；减
minute	 n. 分，备忘录 adj. 微小的，细致的
miracle	 n. 奇迹
mirage	 n. 海市蜃楼，幻想
mire	 n. 泥泞，沼泽地
misappropriate	 v. 滥用，误用
miscarriage	 n. 误判，误罚；流产；失败
mischance	 n. 不幸，灾难
mischief	 n. 伤害，损害
misconceive	 vt&vi. 误解
misdeed	 n. 不端行为
miserable	 adj. 悲惨的，使人难受的
misery	 n. 悲惨，痛苦的事
misfortune	 n. 不幸，灾祸
misgiving	 n. 怀疑，疑虑
misguided	 adj. 误入歧途的
nap	 n. 小睡，打盹
narcotic	 n. 麻醉剂 adj. 麻醉的，麻醉剂的
narrative	 n. 故事；叙述
nasty	 adj. 令人作呕的，令人不快的，下流的
natal	 adj. 出生的；诞生的
nautical	 adj. 航海的，船舶的，海员的
nausea	 n. 恶心，晕船 vt. 使恶心
naval	 adj. 海军的，军舰的
navigable	 adj. (江河、海洋)可航行的，可通航的
navigation	 n. 航行；驾驶
neat	 adj. 整洁的；雅致的；灵巧的；纯的；不掺水的
necessitate	 v. 使成为必需
negation	 n. 否定；否认
negative	 adj. 否定的；消极的；负的；阴性的；底片的
neglect	 v. 忽视，搁置未做 n. 忽略，疏忽
negligence	 n. 疏忽，粗心大意
negligible	 adj. 微不足道的，可以忽视的
negotiable	 adj. 可谈判的，可(通行)商议的；可兑换现金的
neurosis	 n. 神经官能病，精神性神经病
neurotic	 adj. 神经病的，神经过敏的 n. 神经过敏者
neutralize	 v. 使中立；使无效
nevertheless	 adv. 然而，不过，仍然
nibble	 v. 啃，一点一点咬
obsess	 v. 使着迷，使烦扰
obsession	 n. 缠住，被困扰；观念固执，死脑筋
obsolete	 adj. 已废弃的，过时的
obstacle	 n. 障碍
obstinate	 adj. 顽固的，倔强的，不易屈服的，较难治愈的
obstruct	 v. 阻塞，堵塞；妨碍
obvious	 adj. 明显的，清楚的
occasion	 n. 的时刻；机会；需要 v. 引起，导致
occupy	 v. 居住；占
occur	 v. 发生；想起，想到；存在
occurrence	 n. 发生；出现
odd	 adj. 古怪的，奇数的；单独的；零头的；临时的
odds	 n. 可能，机会
be	 auxiliary verb. at auxiliary verb. odds auxiliary verb. with sb与. 有争执
odor	 n. 气味，香气；臭气
odyssey	 n. 长途冒险旅行；一连串的冒险
offence	 n. 犯罪，犯规；冒犯
offend	 n. 犯罪；冒犯；攻击
offer	 v. 违犯；伤害的感情 n. 提供；提议
outlet	 n. 河流等出口，出路；发泄(感情等)的方法
outline	 n. 外形，轮廓；大纲，纲要
outlying	 adj. 远离中心的，偏僻的
output	 n. 产量；产出
outrageous	 adj. 残暴的，蛮横的
outright	 adj. 断然的；明白无误的
outset	 n. 开始，开端
outskirts	 n. (尤指城市)郊区
outspoken	 adj. 直言的，坦率的
outstrip	 v. 胜过，超过
outweigh	 v. 比更重，比更重要
oval	 n&a. 卵形(的)，椭圆形(的)
ovation	 n. 热烈欢迎，欢呼
overall	 adj. 包括一切的，全部的 n. 罩衫，工装裤
overcome	 v. 克服；压倒
overdue	 adj. 过期未付的
overflow	 v&n. 泛滥，溢出
overhaul	 v. 彻底检修；赶上
overhear	 v. 无意中听到，偷听到
overlap	 v. 与…互搭，与重叠，与部分相同
overlook	 v. 俯视；忽略；宽恕
pasture	 n&v. 牧场；放牧
patch	 n. 补钉；眼罩；斑点；小块土地 v. 补缀
patent	 adj. 明显的；获得专利的 n. 专利 v. 取得专利
paternity	 n. 父系，父系后裔
pathetic	 adj. 可怜的，悲惨的；不适当的
pathos	 n. 引起怜悯的因素
patio	 n. 天井
patriotism	 n. 爱国主义，民族主义
patrol	 vt&vi. 巡逻，巡查
patron	 n. 赞助人；资助人；老顾客，主顾
pave	 v. 铺(路等)
pavement	 n. [英]人行道
pay	 n. 工资 v. 支付；有利；给予
peculiar	 adj. 特殊的
pedal	 n&v. 脚噔，踏板；踩踏板
pedestrian	 n&a. 行人(的)
peel	 v&n. 剥皮；皮
picnic	 n&vi. 野餐
picturesque	 adj. 似画的，生动的
piecemeal	 ad&a. 零碎地，零碎的
pier	 n. 桥墩；码头
pierce	 vt&vi. 刺穿，戳人；（喻）寒冷刺骨；感动
piety	 n. 虔诚
pigment	 n. 颜料，色素
pilgrim	 n. 香客，朝圣者
pillar	 n. 柱；栋梁
pillow	 n. 枕头
pilot	 n&vt. 试验；飞行员
pimple	 n. 丘疹，脓疱
pin	 n. 大头针 v. 用别针别住；钉住，使不能行动
pinch	 v. 捏，拧，掐，夹痛，紧压 n. 压力，重压
pine	 v. 消瘦，衰弱 n. 松树
pinnacle	 n. 尖塔，尖顶，山峰；(喻)顶峰
pinpoint	 v. 精确发现目标
piracy	 n. 海上掠夺；侵犯版权
piston	 n. 活塞
pit	 n. 坑，凹部；修理部
pottery	 n. 陶器，陶器制造厂
poultry	 n. 家禽；家禽肉
pounce	 v. 突然袭击；抓住 n. 突袭，猛扑
pour	 vt&vi. (液体)倒,注,灌；流入，流出"
poverty	 n. 贫困，贫穷
practicable	 adj. 可实行的；能用的，可行的
practical	 adj. 实行的；注重实际的，实用的
practically	 adv. 实践地；几乎
practitioner	 n. 实践者，从事者；(医生或律师等)开业者
pragmatic	 adj. 重实效的，实际的
preach	 vt&vi. 传教；讲道；劝诫；鼓吹
precarious	 adj. 不稳定的，不安全的
precaution	 n. 预防
precedence	 n. 在前，优先
precedent	 n. 先例，前例
preceding	 adj. 在前的，在先的
precious	 adj. 宝贵的，珍贵的
precipice	 n. 悬崖，峭壁
precipitate	 v. 猛然抛下；突然发生；加速 n. 沉淀物
precise	 adj. 精确的
predecessor	 n. 前任
predictable	 adj. 可预言的
predisposition	 n. 倾向，趋势，偏好
propulsion	 n. 推进，推进力
prosecute	 v. 告发，起诉
prospect	 n. 景色；前景
prospective	 adj. 预期的; 未来的
prospectus	 n. 说明书，简介
protein	 n. 蛋白质
protest	 v. 抗议；申明 n. 抗议；反对
protocol	 n. 礼仪，礼节；外交礼节
prototype	 n. 原型
protract	 v. 延长，拖延
protrude	 vt&vi. 突出；伸出
provided	 conj. 假如，如果
provision	 n. 准备；供应；条款
provisional	 adj. 临时的，暂时性的
provoke	 v. 激怒；引起
proximity	 n. 最近，接近
proxy	 n. 代理权，代表权；代理人
pry	 v. 细查；探问
pseudonym	 n. 假名；笔名
psychiatry	 n. 精神病学
psychology	 n. 心理学
publicity	 n. 公开，宣传
ravage	 vt&vi. 毁坏，蹂躏；抢劫，掠夺
rave	 v. 胡言乱语；热衷谈论 n. 热情赞扬
raw	 adj. 生的；未加工的
readily	 adv. 迅速地；容易地
realm	 n. 世界；王国
reap	 vt&vi. 收割，收获
rear	 n. 后部，后面 vt&vi. 培植，饲养
reasonable	 adj. 明智的；合理的；公平的
reassure	 v. 使放心，使消除疑虑
recall	 vt&n. 召回；回忆
recede	 v. 后退；向后倾斜
receipt	 n. 收到；收据
reception	 n. 接待处；招待会；接收
recession	 n. 后退；撤回；(工商业)衷退，价格暴跌
recipe	 n. 食谱，烹饪法
recipient	 n. 接受者
reciprocal	 adj. 相互的；互惠的
recital	 n. 详述；演奏会；独奏会
recite	 v. 背诵，列举
reckless	 adj. 鲁莽的
reckon	 v. 计算
resent	 v. 怨恨
reserve	 n&vt. 保存；预定
reservoir	 n. 水库；蓄水池
residence	 n. 居住；住处；住宅
resign	 v. 放弃；辞去
resignation	 n. 辞职书；放弃；听从，顺从
resilience	 n. 回弹，弹性
resolution	 n. 坚决，坚定；决定，决议；决心，解决
resolve	 v. 解决；决定
resonant	 adj. 反响的；共鸣的
resort	 vi&n. 求助
resource	 n. 资源；机智
respiration	 n. 呼吸作用；一次呼吸；植物光合作用
responsive	 adj. 易于做出迅速反应的
restless	 adj. 焦躁不安的
restore	 v. 恢复；归还
restrain	 v. 限制，约束
resume	 v. 重新开始；继续；重新占用
retail	 n&v. 零售，零卖
retain	 v. 保持，保有；聘请(律师)
reticent	 adj. 沉默寡言的；言不如意的
say	 v. 说
scale	 n. 鳞；尺度；等级；比例规模；天平
scalpel	 n. 解剖刀，(外科用)小刀
scan	 v. 细看；浏览
scandal	 n. 冒犯或引起反感的行动；流言，诽谤
scant	 adj. 不足的，不够多的，缺乏的
scapegoat	 n. 替罪羊
scar	 n. 伤疤，伤痕，(喻)内心创伤
scarcely	 adv. 仅仅，几乎不
scatter	 v. 打散；撒；散布
scenery	 n. 风景
scent	 n. 气味，香味；香水 v. 嗅出，闻到，怀疑有
sceptical	 adj. 怀疑的，表示疑惑的
schedule	 n&v. 时间表；列表
scheme	 n&v. 安排；计划，阴谋
scholarship	 n. 学问；奖学金
shave	 v&n. 剃；刮
shear	 v. 剪
shed	 n. 棚；车库 v. 发出；脱落
sheer	 adj. 全然的，绝对的
sheet	 n. 被单；薄板
shell	 n&v. 壳，剥壳
shelter	 n. 隐蔽处；掩蔽，遮蔽；避难所
shepherd	 n. 牧羊人 v. 带领，照看
shield	 n. 盾；保护者，保护物 v. 保护，庇护
shift	 v. 转变，移动 n. 位置转移，性格转变；轮班
shimmer	 vi&n. 发微光，发闪光；微光
shiver	 v. 颤抖，哆嗦
shoal	 n. 鱼群
shock	 n&vt. (使)震惊
shovel	 n. 铁锨，铲 v. 铲起
shower	 n. 阵雨；淋浴
shred	 n. 碎片；最少量 v. 撕碎
shrewd	 adj. 敏锐的，精明的，准确的
shrink	 vt&vi. 收缩；退缩；畏缩
shrub	 n. 灌木，灌木丛
shrug	 n&v. 耸肩
shutter	 n. 百叶窗；照相机快门
shuttle	 n. 梭，滑梭 v. 使穿梭般往返移动
soluble	 adj. 可溶解的
solution	 n. 解决困难，解答问题；溶解；溶液
solvent	 adj. 能偿还的 n. 溶剂，偿付能力
somehow	 adv. 以某种方式
somewhat	 adv. 有点儿
sophisticated	 adj. 老练的，有经验的，世故的；尖端的
sore	 adj. 疼痛的；恼火的
sort	 n. 种类 vt&vi. 分类
sound	 adj. 健康的，健全的；可靠的，充分的；彻底的
sour	 adj. 酸的
souvenir	 n. 纪念品
sovereign	 adj. 主权的；最高的
sow	 v. 播种
spacious	 adj. 广阔的，宽敞的
span	 n&v. 跨度；跨越
spare	 adj. 空闲的；剩余的 n. 备用件
spark	 n&v. (发)火花
sparkle	 v. 闪光，闪耀
sparse	 adj. 稀少的；稀疏的
spatial	 adj. 空间的，关于空间的
speciality	 n. 特性；特长
specialize	 v. 专门研究
steak	 n. 肉片，鱼片，牛排
steamer	 n. 汽锅，汽船，轮船
steep	 adj. 陡峭的
steer	 n. 驾驶
stem	 n. 茎 v. -from起源于
stereo	 n. 立体声录音机
stereotype	 n. 典型的榜样，样本
sterilize	 v. 使不结果实；使绝育；使无效；杀菌
sterling	 adj. 金银标准成份的，货真价实的，纯正的
stern	 adj. 严厉的，严格的
steward	 n. 乘务员，服务员，组织者
stick	 n. 枝条；木棍 v. 刺；粘；陷往
stiff	 adj. 坚硬的；费劲的；不易弯的
stimulate	 v. 刺激，促进
stimulus	 n. 刺激物；鼓励
sting	 n&v. 刺；刺痛
stipulate	 v. 规定，约定
superior	 adj. 优越的；优良的，较高的
supersede	 v. 代替
supersonic	 adj. 超声的，超声速的
superstition	 n. 迷信，迷信行为
superstructure	 n. 上层建筑；统治阶层
supervise	 vt&vi. 监督，管理，指导
supplementary	 adj. 补充的，附加的
supposedly	 adv. 想象上，恐怕
supposition	 n. 假定，想象，猜测
suppress	 v. 镇压；平定；抑制；隐瞒
supreme	 adj. 最高的；最大的，最重要的
surcharge	 n. 额外费用，过高的要价
surge	 v. 波动，汹涌，澎湃
surgeon	 n. 外科医生
surgery	 n. 外科，外科手术
surmount	 v. 克服，越过
surpass	 v. 超过，超越，胜过
surplus	 n. 余款，盈余；过剩，剩余)
surrender	 v&n. 投降，自首；放弃；屈服
survey	 vt&n. 环视，眺望；测量；勘定；检查；概述
survival	 n. 幸存者，残存；幸存
susceptible	 adj. 敏感的；易受感动的
suspect	 v. 疑有,猜想;觉得可疑 n. 嫌疑犯 adj. 可疑的"
technician	 n. 技术人员
technique	 n. 技术，技能；行家手法
tedious	 adj. 乏味的，沉闷的
teem	 v. 大量出现，涌现
telecommunication	 n. 电信，电信学
telex	 n. 用户电报；直通专用电传
telling	 adj. 有效的；有力的
temper	 n. 心情；怒气，脾气 v. 使软化，使缓和
temperament	 n. 性情，气质
temperate	 adj. 有节制的，不过分的；(气候)温和的
tempo	 n. (行动，活动)速度；节拍；节奏
temporary	 adj. 暂时的；临时的
temptation	 n. 引诱，诱惑
tenable	 adj. 可防守的，守得住的；可保持的，可维持的
tenacious	 adj. 抓紧的，顽强的
tenancy	 n. 租赁；租期
tendency	 n. 趋向，趋势
tender	 adj. 脆弱的，娇嫩的；温柔的 v. 提供，投标
tension	 n. 紧张局势；情绪紧张；不安状态
tentacle	 n. (动物)触角
tentative	 adj. 暂时的；试验性的
term	 n. 期；学期；条件
tissue	 n. 生理组织；薄纸；棉纸；织物；一套
title	 n. 标题；题目；称号；法律权利，所有权
toast	 n. 烤面包，烤火 v. 为祝酒，敬酒
toddle	 v. (如小孩)蹒跚学步
toil	 v. 辛劳工作，艰难地行动 n. 苦工，难事
token	 n&a. 标专，记号；象征性的
tolerance	 n. 容忍；宽恕
tolerable	 adj. 可忍受的，可容许的，尚好的
toll	 n. (道路，桥梁)通行费；损失，代价；税收
toneless	 adj. 单调的，沉闷的
tongue	 n. 舌头；语言；舌状物（火舌）
tonic	 n&a. 滋补品，补药；强身的，健体的
torch	 n. 火把；手电筒
torment	 n. 剧烈痛苦；折磨，烦扰 v. 折磨；纠缠
tornado	 n. 飓风，龙卷风
torrent	 n. (湍，激，洪)流
torture	 vt&n. 拷打，折磨，使受剧烈痛苦
toss	 v&n. 扔，掷；摇摆
touchy	 adj. 暴躁的；易怒的
tough	 adj. 坚韧的，咬不动的；强壮的；粗暴的
tourism	 n. 旅游事业
tournament	 n. 比赛，联赛
tow	 vt&n. 拖；拉
tunnel	 n. 地道；隧道
turbulent	 adj. 狂暴的，骚乱的，汹涌的
turf	 n. 草地，草皮
turmoil	 n. 骚动，骚乱
turnover	 n. 营业收入；营业额；人员调整，人员更替率
tutor	 n. 私人教师；[英]大学导师
tweezers	 n. 镊子
twig	 n. 嫩枝, 细枝 "
twilight	 n. 黎明，黄昏；曙光
twinkle	 v. 闪烁，闪耀；闪闪发光
twist	 v. 捻；搓；扭转；盘旋 n. 搓，扭拧；怪癖
typical	 adj. 典型的
typhoon	 n. 台风，强热带风暴
tyrannical	 adj. 暴君的，专制的
tyre	 n. 轮胎
ugly	 adj. 险恶的，丑陋的
ultimately	 adv. 最后，最终
ultimatum	 n. 最后通牒
ultraviolet	 adj. 紫外线的
unanimous	 adj. 一致同意的；全体一致的
unconditional	 adj. 绝对的，无条件的
unconscious	 adj. 无畏的，大胆的
verge	 n. 边缘，边界
versatile	 adj. 多才多艺的；技术超群的
version	 n. 描述，译文；说法
versus	 prep. [略作v或vs](诉讼或比赛中)对
vertical	 adj. 垂直的 n. 垂直线
vessel	 n. 容器；船
veteran	 n. 老练者；老手；老兵；老式古董车
veto	 n. 否决，否决权，禁止 v. 否决，禁止
vex	 v. 使烦恼，使苦恼
via	 prep. 径，由
viable	 adj. 能活的，能生存的
vibrate	 v. 摆动；振动
vice	 n. 罪恶；不道德行为
vicinity	 n. 邻近，附近
vicious	 adj. 邪恶的，堕落的；恶意的
vigilant	 adj. 警戒的；警惕的
vigorous	 adj. 强有力的，精力充沛的
vindicate	 v. 为辩白；证明正确
violate	 v. 违犯，侵犯
violent	 adj. 猛烈的，凶暴的；由暴力引起的；强烈的
virtually	 adv. 实际上，事实上
wreathe	 vt&vi. 覆盖，包围
wreck	 n. 破坏，船舶失事；失事船只
wrench	 n&vt. 猛扭，猛拉
wrestle	 v. 摔跤，角斗；斗争，努力
wretched	 adj. 不幸的，可怜的；令人难受的
wrinkle	 n. 皱纹
wrought	 adj. 锤炼的
yacht	 n. 小帆船，快艇；帆船
yard	 n. 院，场地；码
yarn	 n. 纱线；故事，奇谈
yawn	 v. 打呵欠；张开
yearn	 v. 想念，渴望
yield	 vt&vi. 生产；让步；投降；屈服 n. 产量
yoke	 n. 牛轭；枷锁；纽带
zeal	 n. 热心，热情
zest	 n. 乐趣；滋味，风味; 兴趣
zoology	 n. 动物学
accommodate	 v. 提供住宿；使适应
accommodation	 n. 住宿
accompany	 v. 陪伴，伴奏
acute	 adj. 厉害的，敏锐的，(疾病等)急性的
adapt	 v. 使适应，改编
addict	 v. 使沉迷，使嗜好
address	 n. 住址；致词 v. 向致词；在信封上写姓名
affirm	 v. 断定，肯定
affix	 v. 附加；贴上；盖印 n. 词缀
afflict	 v. 使痛苦，使苦恼
afford	 v. 冒险；得起；供给
agency	 n. 代理商(社)
agenda	 n. 议事日程
aggravate	 v. 使恶化；使加剧；使气恼
aggregate	 n. 共计，合计
aggressive	 adj. 侵略的，有闯劲的
agitation	 n. 摇动，焦虑
agony	 n. 极度痛苦
agreeable	 adj. 令人愉快的；乐于同意的
agreement	 n. 同意；协议
annihilate	 v. 歼灭；消灭
anniversary	 n. 周年纪念
annoy	 v. 使烦恼，使生气
annual	 adj. 每年的，一年生的 n. 年刊；一年生植物
annuity	 n. 年金
anonymous	 adj. 无名的；匿名的
antagonism	 n. 反对，不喜欢
antecedent	 a&n. 先行的；祖先；履历
anthem	 n. 赞美诗，圣歌
anthology	 n. 诗集
anthropology	 n. 人类学
antibiotic	 n&a. 抗生素；抗菌的
anticipate	 v. 占先，预先处理；预料
anticipation	 n. 预期；预料
antique	 a&n. 古代的；古玩；古物
antonym	 n. 反义词
anxiety	 n. 忧虑；渴望
anyhow	 adv. 不论用何种方法；无论如何
apologetic	 adj. 表示歉意的
apparatus	 n. 仪器；设备
assign	 v. 分配；确定时间或地点；指派
assimilate	 v. 同化；吸收
associate	 n. 伙伴，同事，同伴
assorted	 adj. 各式各样的
assume	 v. 假定；承担；使用
assumption	 n. 假定之事；承担，担任
assurance	 n. 自信；承诺；保险
assure	 v. 断言，使确信；保(人寿)险
astound	 v. 使震惊
astronomy	 n. 天文学
asylum	 n. 避难所；疯人院；避难
athlete	 n. 运动员；体育家
atlas	 n. 地图册；图表集
attach	 v. 系上；附上；依恋；认为
attack	 n&vt. 攻击；非难；疾病发作
attain	 v. 取得，得到
attempt	 vt&n. 尝试，企图
attend	 v. 专心；照顾
attendance	 n. 到场；出席人数
attendant	 n. 服务员；仆人
attorney	 n. 律师
casual	 adj. 偶然的，碰巧的；随便的；临时的
casualty	 n. 伤亡人员
catalogue	 n&vt. 目录；编目
catalyst	 n. 催化剂；造成变化的人或事
catastrophe	 n. 大灾难，大祸
catch	 v. 抓；接球；逮住；赶(车)
catching	 adj. 传染性的
category	 n. 种类，类目
cater	 v. 供应伙食；提供娱乐节目
cathedral	 n. 总教堂；大教堂
Catholic	 n. 天主教教徒
caustic	 adj. 腐蚀性的；刻薄的；苛刻的
caution	 n&vt. 小心；告诫，警告
cautious	 adj. 谨慎的，小心的
cavity	 n. 洞
cease	 v. 停止
cellar	 n. 地窖；酒窖
cement	 n. 水泥；结合剂 v. 黏结，胶合
cemetery	 n. 公墓，墓地
clasp	 n&v. 扣子；紧握；拥抱
classic	 adj. 第一流的，最优秀的；传统的 n. 古典作品
classical	 adj. 一流的；古典的
classify	 v. 把分类(归类)；分等级
clause	 n. 条款，从句
clear	 a&ad. 清楚的(地)，清白的(地) v. 清除
clearance	 n. 清除，清理，净空；许可
chiche	 n. 陈腐思想，陈词滥调
click	 vi&n. 咔嗒一声
client	 n. 律师等的当事人，委托人；商店的顾客
climax	 n. 顶点；小说等的高潮 v. 达到高潮
cling	 v. 抱紧，坚守
clinic	 n. 诊所，门诊所
clip	 v. 剪短；猛击，痛打 n. 回形针；夹子，剪
clockwise	 adv. 顺时针方向地
closet	 n. 小储藏室
clue	 n. 线索
clash	 v&n. 金属碰撞声；互碰；时间冲突；抵触
commotion	 n. 混乱，动乱
communication	 n. 通讯，交往，交流，传达的消息；交通
commute	 v. 交换，兑换；减轻；经常往来
commuter	 n. 乘公交车辆上下班者
compact	 adj. 紧密的，紧凑的
company	 n. 伴随；人群；同伴；公司
comparable	 adj. 可比较的
compare	 v. 比较，对照；喻为
compartment	 n. 分隔间；火车车厢的分隔间
compass	 n. 指南针；圆规；界限
compatible	 adj. 可兼容的，可和谐共存的
compel	 v. 强迫，迫使
compensate	 v. 赔偿，补偿
compensation	 n. 赔偿
competence	 n. 能力，胜任，权限
competition	 n. 比赛，比赛会
competitive	 adj. 比赛的
compile	 v. 编辑，编写
complement	 n. 补足物，船上的定员；补语 v. 补充，补足
complex	 adj. 复杂的 n. 复合体；变态心理
complexion	 n. 肤色；情况；局面；气质
considerable	 adj. 相当大的；重要的
considerate	 adj. 考虑周到的；体谅别人的
consign	 v. 运送；交付
consist	 v. 组成; 存在
console	 n. 控制台，仪表板；落地柜 v. 安慰，慰问
consolidate	 v. 巩固; 加强；把. 合为一体
conspicuous	 adj. 明显的，引人注目的
conspiracy	 n. 阴谋，同谋
constant	 adj. 不变的；经常的；坚定的
constituent	 adj. 有选举权的；组成的 v. 选民；成份
constitute	 v. 组成; 构成; 任命
constitution	 n. 宪法；体格；构造
constrain	 v. 强迫；限制；克制
constrict	 v. 压缩，缩小
consult	 v. 请教；咨询，查阅
consumer	 n. 消费者，用户
consumption	 n. 消费；结核病
contact	 v. 接触 n. 接触；联络；会晤的人；(电)接点
contaminate	 v. 弄脏；污染
crash	 v. 碰撞，坠毁，冲过 n. 突然坠落；事故
crater	 n. 火山口; 弹坑
crawl	 v. 爬行;缓慢地行进，爬满 n. 爬行；自由泳
crease	 n. 折缝，皱痕 v. 起折痕
create	 v. 创造；创作；产生；造成
creation	 n. 创作，创造，创造物
credentials	 n. 信任状，证书
credible	 adj. 可信任的，可靠的
credit	 n. 信任，信誉；存款；信用贷款 v. 相信
creep	 v. 爬行；缓慢移行；(时间)悄悄过去；蔓延
crevice	 n. (岩石、墙等)裂缝
cricket	 n. 板球；蟋蟀
criminal	 n. 罪犯 adj. 犯罪的，刑事上的
cripple	 n. 跛子；残疾人 v. 使跛，使残疾
crisis	 n. 转折点；危机
crisp	 adj. 脆的；干脆的 n. 油炸马铃薯片 v. (使)发脆
criterion	 n. 判断的标准(pl-ria)
critical	 adj. 危急的；批评的；苛求的，关键的
craft	 n. 工艺；手工业；船；技巧；诡计
dean	 n. (大学)院长，系主任，教务长
dearth	 n. 缺乏，供应不足
debris	 n. 碎片，瓦砾堆
decade	 n. 十年
decay	 vi&n. 腐朽，腐烂，衰微
deceive	 v. 欺骗，诓骗
decent	 adj. 正当的，合适的；文雅的，尚可的
decimal	 adj. 十进法的，小数的
decipher	 v. 译解(密码等)
deck	 n. 甲板；公共汽车一层的车厢；纸牌 v. 装饰
declaration	 n. 宣布，宣言；声明
declare	 v. 宣告，声明；断言；申报应纳税物品
decline	 n&v. 下降，衰退，减弱；拒绝
decompose	 v. 腐败；分解，腐烂
decorate	 v. 装饰；油漆；授勋
decrease	 v&n. 减少，减少，减少量
decree	 v&n. 法令，判决
decrepit	 adj. 老弱的，衰老的
dedicate	 v. 奉献，供奉，题献(著作)
dedicated	 adj. 献身的，一心一意的，热诚的
deduce	 v. 演绎，推论
despair	 n&vi. 绝望，丧失信心
desperate	 adj. 绝望的；不顾一切的；危急的
despise	 v. 鄙视，看不起
destination	 n. 目的地
destine	 v. 命中注定；预定
destiny	 n. 命运
destructive	 adj. 破坏的，破坏性的
detach	 v. 使分开；拆卸；派遣
detain	 v. 留住；扣押，拘留
detect	 v. 发现，发觉；侦察
detective	 adj. 侦探的，发觉者的
deter	 v. 阻止，使不敢，吓住
detergent	 n. 去垢剂，清洁剂
deteriorate	 v. 恶化，败坏
determination	 n. 决心；决定；确定
detest	 v. 痛恨, 憎恶"
detriment	 n. 损害，损伤
