reproduce	 v. 复制；再生；生殖；使…在脑海中重现
employ	 v. 使用，采用；雇用；使忙于，使从事于 n. 使用；雇用
voluminous	 adj. 大量的；多卷的，长篇的；著书多的
briefly	 adv. 短暂地；简略地；暂时地
admire	 v. 钦佩；赞美
message	 n. 消息；差使；启示；预言；广告词 v. 报信，报告；[通信] 报文
fungus	 n. 真菌，霉菌；菌类
contingent	 adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；[逻]有条件的 n. 分遣队；偶然事件；分得部分；代表团
diagonal	 adj. 斜的；对角线的；斜纹的 n. 对角线；斜线
fight	 v. 打架；与…打仗，与…斗争；反对…提案 n. 打架；战斗，斗志
thoroughbred	 n. 受过严格训练的人；良种动物 adj. 良种的；受过严格训练的；优秀的
electroplate	 v. 电镀 n. 电镀物品
tenor	 n. 男高音；要旨，大意；票据的限期；稳定的进程 adj. 男高音的
crave	 v. 渴望；恳求 n. (Crave)人名；(法)克拉夫
puff	 v. 喷出，张开；使膨胀；夸张；使骄傲自满 n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
far	 adv. 很；遥远地；久远地；到很远的距离；到很深的程度 adj. 远的；久远的 n. 远方
people	 n. 人；人类；民族；公民 v. 居住于；使住满人
shine	 v. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众 n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计
run	 v. 经营；奔跑；运转 n. 奔跑；赛跑；趋向；奔跑的路程
damper	 n. [航][电子][机] 阻尼器；[车辆] 减震器；气闸
physicist	 n. 物理学家；唯物论者
onto	 prep. 在…之上；对…了解；映射到…上 adj. 映射的；自身的；映成的
bookshop	 n. 书店
aquarium	 n. 水族馆；养鱼池；玻璃缸
mantle	 n. 地幔；斗篷；覆盖物 v. 覆盖；脸红
amateur	 n. 爱好者；业余爱好者；外行 adj. 业余的；外行的
fingerprint	 n. 指纹；手印 v. 采指纹
fathom	 v. 看穿；彻底了解；测量…的深度 n. 英寻（测量水深的长度单位）
biochemistry	 n. 生物化学
Allah	 n. 阿拉；真主
helm	 n. 舵；舵柄；领导地位；驾驶盘 vt. 指挥；给掌舵
deny	 v. 否定，否认；拒绝给予；拒绝…的要求
preserve	 v. 保存；保护；维持；腌；禁猎 n. 保护区；禁猎地；加工成的食品
transmission	 n. 传动装置，[机] 变速器；传递；传送；播送
miniature	 adj. 微型的，小规模的 n. 缩图；微型画；微型图画绘画术 vt. 是…的缩影
archer	 n. 弓箭手
impediment	 n. 口吃；妨碍；阻止
cholera	 n. [内科] 霍乱
boiler	 n. 锅炉；烧水壶，热水器；盛热水器
shrinkage	 n. 收缩；减低
chronology	 n. 年表；年代学
dialogue	 n. 对话；意见交换 vi. 对话 vt. 用对话表达
feebleminded	 adj. 低能的；意志薄弱的；精神薄弱的
ensign	 n. 旗；海军少尉；徽章
missing	 adj. 失踪的；缺少的 v. 错过（miss的ing形式）；想念；漏掉 n. (Missing)人名；(德)米辛
gynaecology	 n. 妇科医学
devilish	 adj. 邪恶的；精力旺盛的；魔鬼似的 adv. 非常；极度地
stabilize	 v. 使稳固，使安定
rinse	 v. 漱；冲洗掉；漂净 n. 冲洗；漂洗；[轻] 染发剂；染发
slang	 n. 俚语；行话 adj. 俚语的 v. 用粗话骂
majority	 n. 多数；成年
backyard	 n. 后院；后庭
aromatic	 adj. 芳香的，芬芳的；芳香族的 n. 芳香植物；芳香剂
six	 num. 六，六个 n. 六，六个
armpit	 n. 腋窝
dispense	 v. 分配，分发；免除；执行
owl	 n. 猫头鹰；枭；惯于晚上活动的人
esoteric	 adj. 秘传的；限于圈内人的；难懂的
arise	 v. 出现；上升；起立 n. (Arise)人名；(西)阿里塞；(日)在濑(姓)
navy	 n. 海军
unpredictable	 adj. 不可预知的；不定的；出乎意料的 n. 不可预言的事
rodent	 adj. 啮齿类的；咬的，嚼的；侵蚀性的 n. [脊椎] 啮齿动物
sniper	 n. 狙击兵
cedar	 n. 雪松；香柏；西洋杉木
learn	 v. 学习；得知；认识到
birth	 n. 出生；血统，出身；起源
sterility	 n. [泌尿] 不育；[妇产] 不孕；无菌；不毛；内容贫乏
is	 v. 是（be的三单形式） n. 存在
chapter	 n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期 vt. 把…分成章节
inability	 n. 无能力；无才能
melody	 n. 旋律；歌曲；美妙的音乐
ravish	 v. 强夺；强奸；使着迷 n. (Ravish)人名；(印)拉维什
induce	 v. 诱导；引起；引诱；感应
sixty	 num. 六十；六十个
constituent	 n. 成分；选民；委托人 adj. 构成的；选举的
legal	 adj. 法律的；合法的；法定的；依照法律的 n. (Legal)人名；(法)勒加尔
streetcar	 n. 有轨电车
meant	 v. 意味；打算（mean的过去式和过去分词）；表示…的意思
leaf	 n. 叶子；（书籍等的）一张；扇页 v. 生叶；翻书页
dusk	 n. 黄昏，薄暮；幽暗，昏暗 adj. 微暗的 v. 使变微暗
mail	 n. 邮件；邮政，邮递；盔甲 v. 邮寄；给…穿盔甲
reaffirm	 v. 再肯定，重申；再断言
sailcloth	 n. 帆布
memorable	 adj. 显著的，难忘的；值得纪念的
executive	 adj. 行政的；经营的；执行的，经营管理的 n. 总经理；执行委员会；执行者；经理主管人员
orbit	 n. 轨道；眼眶；势力范围；生活常规 v. 盘旋；绕轨道运行
bossy	 adj. 专横的；浮雕装饰的；爱指挥他人的 n. 母牛；牛犊
coed	 adj. 男女同校的 n. 男女同校的学生
crypt	 n. 土窖，地下室；腺窝
bane	 n. 毒药；祸害；灭亡的原因
happen	 v. 发生；碰巧；偶然遇到
statistician	 n. 统计学家，统计员
languish	 v. 憔悴；凋萎；失去活力；苦思
dynasty	 n. 王朝，朝代
intentional	 adj. 故意的；蓄意的；策划的
coherent	 adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
future	 n. 未来；前途；期货；将来时 adj. 将来的，未来的
benchmark	 n. 基准；标准检查程序 v. 用基准问题测试（计算机系统等）
graduation	 n. 毕业；毕业典礼；刻度，分度；分等级
discussion	 n. 讨论，议论
tag	 n. 标签；名称；结束语；附属物 v. 尾随，紧随；连接；起浑名；添饰
glamourous	 adj. 富有魅力的；迷人的
reunite	 v. 使重聚；使再结合；使再联合
capital	 n. 首都，省会；资金；大写字母；资本家 adj. 首都的；重要的；大写的
owner	 n. [经] 所有者；物主
headstone	 n. 基石；墓石
amiable	 adj. 和蔼可亲的，亲切的 n. (Amiable)人名；(法)阿米亚布勒；(英)阿米娅布尔
centre	 v. 以…为中心 n. 中心 adj. 中央的
astrophysics	 n. 天体物理学
thanksgiving	 n. 感恩
satin	 n. 缎子；缎子衣服 adj. 光滑的；绸缎做的；似缎的
childish	 adj. 幼稚的，孩子气的
tacit	 adj. 缄默的；不言而喻的；心照不宣的；默许的
escalate	 v. 逐步增强；逐步升高
manage	 v. 管理；经营；控制；设法
furthermore	 adv. 此外；而且
follower	 n. 追随者；信徒；属下
unprecedented	 adj. 空前的；无前例的
recruit	 n. 招聘；新兵；新成员 v. 补充；聘用；征募；使…恢复健康
thunder	 n. 雷；轰隆声；恐吓 v. 打雷；怒喝
affirm	 v. 肯定；断言
lump	 n. 块，块状；肿块；瘤；很多；笨人 v. 混在一起；使成块状；忍耐；笨重地移动 adj. 成团的；总共的 adv. 很；非常
susceptibility	 n. 敏感性；感情；磁化系数
innovate	 v. 创新；改革；革新
constructive	 adj. 建设性的；推定的；构造上的；有助益的
headset	 n. 耳机；头戴式受话器
handout	 n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
shrewd	 adj. 精明的；狡猾的；机灵的 n. 精明（的人）；机灵（的人）
blemish	 n. 瑕疵；污点；缺点 v. 玷污；损害；弄脏
maxim	 n. 格言；准则；座右铭
triumph	 n. 胜利，凯旋；欢欣 v. 获得胜利，成功
serial	 adj. 连续的；连载的；分期偿还的 n. 电视连续剧；[图情] 期刊；连载小说
employer	 n. 雇主，老板
stun	 v. 使震惊；打昏；给以深刻的印象 n. 昏迷；打昏；惊倒；令人惊叹的事物
smog	 n. 烟雾
reflection	 n. 反射；沉思；映象
arrive	 v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫
adhere	 v. 坚持；依附；粘着；追随
rain	 n. 雨；下雨；雨天；雨季 v. 下雨；降雨
separatist	 n. 分离主义者；独立派 adj. 分离主义者的
next	 adv. 然后；下次；其次 adj. 下一个的；其次的；贴近的 n. 下一个 prep. 靠近；居于…之后
creation	 n. 创造，创作；创作物，产物
greeting	 n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）
decrease	 n. 减少，减小；减少量 v. 减少，减小
often	 adv. 常常，时常
ally	 n. 同盟国；伙伴；同盟者；助手 v. 使联盟；使联合
complexity	 n. 复杂，复杂性；复杂错综的事物
abound	 v. 富于；充满
reservation	 n. 预约，预订；保留
gramophone	 n. 留声机 vt. 用唱片录制；用唱机播放
scurf	 n. 头皮屑
periphery	 n. 外围，边缘；圆周；圆柱体表面
annoy	 v. 骚扰；惹恼；打搅 n. 烦恼（等于annoyance）
eyewash	 n. 无稽之谈；骗局；洗眼水；表面文章
prairie	 n. 大草原；牧场
hypothesis	 n. 假设
die	 v. 死亡；凋零；熄灭 n. 冲模，钢模；骰子
shorthand	 n. 速记；速记法 adj. 速记法的
dentist	 n. 牙科医生
sermon	 n. 布道；训诫；启示；冗长的讲话 vt. 对…布道；对…说教 vi. 布道
odd	 adj. 奇数的；古怪的；剩余的；临时的；零散的 n. 奇数；怪人；奇特的事物
traffic	 n. 交通；运输；贸易；[通信] 通信量 v. 用…作交换；在…通行
furnish	 v. 提供；供应；装备
prosperous	 adj. 繁荣的；兴旺的
envision	 v. 想象；预想
mainstay	 n. 支柱；中流砥柱；主要的依靠；主桅支索
purse	 n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
hinder	 v. 成为阻碍 adj. 后面的 n. (Hinder)人名；(芬)欣德
deft	 adj. 灵巧的；机敏的；敏捷熟练的
strident	 adj. 刺耳的；尖锐的；吱吱尖叫的；轧轧作响的
tsar	 n. 沙皇（大权独揽的人物）
projector	 n. [仪] 投影仪；放映机；探照灯；设计者
feel	 v. 感觉；认为；触摸；试探 n. 感觉；触摸
undercut	 v. 廉价出售；较便宜的工资工作；从下边削球 n. 底切；牛腰部下侧嫩肉；砍口；切球
contraceptive	 n. 避孕用具；[药] 避孕剂 adj. 避孕的
prostitute	 v. 使沦为妓女 adj. 卖淫的；堕落的 n. 妓女
arrest	 v. 逮捕；阻止；吸引 n. 逮捕；监禁
waistcoat	 n. 背心；[服装] 马甲
airily	 adv. 轻盈地，快活地
malpractice	 n. 玩忽职守；不法行为；治疗不当
centimetre	 n. 厘米；公分
scent	 n. 气味；嗅觉；痕迹；察觉能力 v. 闻到；发觉；使充满…的气味；循着遗臭追踪
stool	 n. 凳子；粪便；厕所 v. 长新枝；分檗
disqualify	 v. 取消…的资格
labour	 n. 劳动力，人工；分娩 v. 劳动；分娩；费力地前进
lock	 v. 锁，锁上；隐藏 n. 锁；水闸；刹车
mire	 n. 泥潭；[地理] 泥沼 v. 陷于泥坑；陷入困境
homogeneous	 adj. 均匀的；[数] 齐次的；同种的；同类的，同质的
stab	 v. 刺；刺伤；戳；刺穿；直入 n. 刺；戳；尝试；突发的一阵
grant	 v. 授予；允许；承认 n. 拨款；[法] 授予物
again	 adv. 又，此外；再一次；再说；增加 n. （英、保）阿盖恩
saloon	 n. 酒吧；大厅；展览场；公共大厅；大会客室；轿车（英国用法）
pie	 n. 馅饼；饼图；爱说话的人 vt. 使杂乱
relaxation	 n. 放松；缓和；消遣
everywhere	 adv. 到处 n. 每个地方
each	 adj. 每；各自的 adv. 每个；各自 pron. 每个；各自
close	 adj. 紧密的；亲密的；亲近的 v. 关；结束；使靠近 adv. 紧密地 n. 结束
juice	 n. （水果）汁，液；果汁
aggregate	 v. 集合；聚集；合计 n. 合计；集合体；总计 adj. 聚合的；集合的；合计的
witch	 n. 巫婆，女巫 v. 迷惑；施巫术
strontium	 n. [化学] 锶
humble	 adj. 谦逊的；简陋的；（级别或地位）低下的；不大的 v. 使谦恭；轻松打败（尤指强大的对手）；低声下气
seldom	 adv. 很少，不常
Metro	 n. 麦德龙
reliability	 n. 可靠性
continual	 adj. 持续不断的；频繁的
momentous	 adj. 重要的；重大的
prelude	 n. 前奏；序幕；前奏曲 v. 成为…的序幕；演奏…作为前奏曲
mutter	 v. 咕哝；喃喃自语 n. 咕哝；喃喃低语
physiotherapy	 n. 物理疗法
toy	 n. 玩具；小装饰品；不值钱的东西 v. 玩弄；调情；随随便便地对待 adj. 作为玩具的；玩物似的
ambulance	 n. [车辆][医] 救护车；战时流动医院
rotary	 adj. 旋转的，转动的；轮流的 n. 旋转式机器；[动力] 转缸式发动机
clock	 n. 时钟；计时器 v. 记录；记时
afflict	 v. 折磨；使痛苦；使苦恼
extinguisher	 n. 灭火器；消灭者；熄灭者
retrospect	 n. 回顾，追溯 v. 回顾，追溯；回想
rendezvous	 n. 约会；约会地点；集结地 v. 会合；约会
wave	 v. 波动；起伏；挥手示意；摇动；呈波形 n. 波动；波浪；高潮；挥手示意；卷曲
assassinate	 v. 暗杀；行刺
angry	 adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
immune	 adj. 免疫的；免于……的，免除的 n. 免疫者；免除者
pheasant	 n. 野鸡；雉科鸟
desperation	 n. 绝望的境地；不顾一切拼命
rely	 v. 依靠；信赖
sentiment	 n. 感情，情绪；情操；观点；多愁善感
paradigm	 n. 范例；词形变化表
insurrection	 n. 暴动；叛乱
intersect	 v. 相交，交叉
pneumonia	 n. 肺炎
proficient	 adj. 熟练的，精通的 n. 精通；专家，能手
house	 n. 住宅；家庭；机构；议会；某种用途的建筑物 v. 覆盖；给…房子住；把…储藏在房内
subconscious	 adj. 潜意识的；下意识的 n. 潜在意识；下意识心理活动
verge	 v. 濒临，接近；处在边缘 n. 边缘
corridor	 n. 走廊
set	 n. [数] 集合；一套；布景；[机] 装置 v. 树立；点燃；点缀； adj. 固定的；规定的；固执的
gallant	 adj. 英勇的，勇敢的；华丽的；雄伟的 n. (Gallant)人名；(法)加朗；(英)加伦特
spleen	 n. 脾脏；坏脾气；怒气
subtitle	 n. 副标题；说明或对白的字幕 v. 在…上印字幕；给…加副标题
payroll	 n. 工资单；在册职工人数；工资名单
authority	 n. 权威；权力；当局
plea	 n. 恳求，请求；辩解，辩护；借口，托辞
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
rearmament	 n. [军] 重整军备；改良装备
satirical	 adj. 讽刺性的；讥讽的；爱挖苦人的
temperature	 n. 温度；体温；气温；发烧
manure	 v. 施肥于；耕种 n. 肥料；粪肥
dragonfly	 n. [昆] 蜻蜓
professional	 adj. 专业的；职业的；职业性的 n. 专业人员；职业运动员
season	 n. 时期；季节；赛季 v. 给…调味；使适应
sometimes	 adv. 有时，间或
ceiling	 n. 天花板；上限
tailor	 v. 剪裁；使合适 n. 裁缝
impromptu	 n. 即兴曲；即席演出 adv. 即席地 adj. 即席的
disbelieve	 v. 不信；怀疑
grain	 n. 粮食；颗粒；[作物] 谷物；纹理 v. 成谷粒
grumpy	 adj. 脾气暴躁的；性情乖戾的 n. 脾气坏的人；爱抱怨的人
shiny	 adj. 有光泽的，擦亮的；闪耀的；晴朗的；磨损的
street	 n. 街道 adj. 街道的
barbecue	 n. 烤肉；吃烤肉的野宴 v. 烧烤；烤肉
reef	 n. 暗礁；[地质] 矿脉；收帆 v. 收帆；缩帆
metallic	 adj. 金属的，含金属的
teacup	 n. 茶碗，茶杯；一茶杯容量；心理极其脆弱、不堪一击的人
holy	 adj. 圣洁的，神圣的；至善的 n. 神圣的东西
tolerable	 adj. 可以的；可容忍的
regime	 n. 政权，政体；社会制度；管理体制
complimentary	 adj. 赠送的；称赞的；问候的
manual	 adj. 手工的；体力的 n. 手册，指南
vote	 n. 投票，选举；选票；得票数 v. 提议，使投票；投票决定；公认
join	 v. 参加；结合；连接 n. 结合；连接；接合点
movement	 n. 运动；活动；运转；乐章
running	 n. 运转；赛跑；流出 adj. 连续的；流动的；跑着的；运转着的 v. 跑；运转（run的ing形式）；行驶
fuse	 v. 融合；熔化，熔融 n. 保险丝，熔线；导火线，雷管
hosiery	 n. 针织品；袜类
maverick	 n. 没打烙印的动物；持不同意见的人 vt. 用不正当手段获取 vi. 迷途；背离 adj. 未打烙印的；行为不合常规的；特立独行的
grisly	 adj. 可怕的；厉害的；严重的
snob	 n. 势利小人，势利眼；假内行
forthcoming	 adj. 即将来临的 n. 来临
fairness	 n. 公平；美好；清晰；顺利性
peanut	 n. 花生
fire	 n. 火；火灾；炮火；炉火；热情；激情；磨难 v. 点燃；解雇；开除；使发光；烧制；激动；放枪
leather	 n. 皮革；皮革制品 v. 用皮革包盖；抽打 adj. 皮的；皮革制的
money	 n. 钱；货币；财富
ditch	 v. 在…上掘沟；把…开入沟里；丢弃 n. 沟渠；壕沟
senate	 n. 参议院，上院；（古罗马的）元老院
intrigue	 n. 阴谋；诡计；复杂的事；私通 v. 用诡计取得；激起的兴趣
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
plaintiff	 n. 原告
simultaneously	 adv. 同时地
wish	 n. 希望；祝福；心愿 v. 祝愿；渴望；向…致问候语
excess	 n. 超过，超额；过度，过量；无节制 adj. 额外的，过量的；附加的
pane	 n. 窗格；边；面；窗格玻璃；嵌板 vt. 装窗玻璃于；镶嵌板于
converse	 adj. 相反的，逆向的；颠倒的 v. 交谈，谈话；认识 n. 逆行，逆向；倒；相反的事物
sympathize	 v. 同情，怜悯；支持
lend	 v. 贷；增添，提供；把……借给 n. (Lend)人名；(德)伦德
bullish	 adj. 看涨的；上扬的；似公牛的
desolation	 n. 荒芜；忧伤；孤寂；废墟
reliance	 n. 信赖；信心；受信赖的人或物
formative	 adj. 形成的；造型的；格式化的 n. 构词要素
crusade	 n. 改革运动；十字军东侵 v. 加入十字军；从事改革运动
gauge	 n. 计量器；标准尺寸；容量规格 v. 测量；估计；给…定规格
tuition	 n. 学费；讲授
tackle	 n. 滑车；装备；用具；扭倒 v. 处理；抓住；固定；与…交涉
preface	 n. 前言；引语 v. 为…加序言；以…开始
sincerity	 n. 真实，诚挚
parable	 n. 寓言，比喻；隐晦或谜般的格言
obligatory	 adj. 义务的；必须的；义不容辞的
haunch	 n. 腰部，腰；臀部
ether	 n. 乙醚；[有化] 以太；苍天；天空醚
nightmare	 n. 恶梦；梦魇般的经历 adj. 可怕的；噩梦似的
creature	 n. 动物，生物；人；创造物
colonialist	 n. 殖民主义者 adj. 殖民主义者的
pan	 n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘 v. 淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评
phosphorous	 adj. 磷的，含磷的；发磷光的
playwright	 n. 剧作家
publish	 v. 出版；发表；公布
plump	 v. 使丰满；使鼓起；突然放下 adv. 沉重地；突然地 adj. 圆胖的，丰满的；鼓起的 n. 扑通声
cholesterol	 n. [生化] 胆固醇
literacy	 n. 读写能力；精通文学
exploration	 n. 探测；探究；踏勘
bluff	 n. 吓唬；绝壁；断崖 v. 吓唬；愚弄 adj. 直率的；陡峭的
host	 n. [计] 主机；主人；主持人；许多 v. 主持；当主人招待
marble	 n. 大理石；大理石制品；弹珠 adj. 大理石的；冷酷无情的
counterfeit	 v. 伪造，仿造；假装，伪装 n. 赝品；冒牌货；伪造品 adj. 假冒的，伪造的；虚伪的
overthrow	 n. 推翻；倾覆；瓦解 v. 推翻；打倒；倾覆
cook	 v. 烹调，煮 n. 厨师，厨子
resourceful	 adj. 资源丰富的；足智多谋的；机智的
marine	 adj. 船舶的；海生的；海产的；航海的，海运的 n. 海运业；舰队；水兵；（海军）士兵或军官
damned	 adj. 该死的；可恶的；糟透的 adv. 极；非常 v. 咒骂；诅咒…下地狱（damn的过去式）
glaring	 adj. 耀眼的；瞪视的；炯炯的
dandelion	 n. 蒲公英
ripple	 n. 波纹；涟漪；[物] 涟波 v. 起潺潺声
hypodermic	 n. 皮下注射；皮下注射器 adj. 皮下的
depot	 n. 仓库；停车场；航空站 vt. 把…存放在储藏处 adj. 药性持久的
unquestioning	 adj. 不提出疑问的；不犹豫的；盲目的；无异议的；无条件的
invest	 v. 投资；覆盖；耗费；授予；包围
reminiscence	 n. 回忆；怀旧；引起联想的相似事物
combat	 v. 反对；与…战斗 n. 战斗；争论 adj. 战斗的；为…斗争的
ragged	 adj. 衣衫褴褛的；粗糙的；参差不齐的；锯齿状的；刺耳的；不规则的
verbatim	 adv. 逐字地 adj. 逐字的
theorem	 n. [数] 定理；原理
stir	 n. 搅拌；轰动 v. 搅拌；激起；惹起
stratum	 n. （组织的）层；[地质] 地层；社会阶层
band	 n. 带，环；[物] 波段；(演奏流行音乐的) 乐队 v. 用带绑扎；给镶边
sadism	 n. 虐待狂；性虐待狂；病态的残忍
massacre	 v. 残杀；彻底击败 n. 大屠杀；惨败
affair	 n. 事情；事务；私事；（尤指关系不长久的）风流韵事
bowels	 n. 内脏（尤指人的肠）；同情心；勇气（bowel的复数） v. 取出…的肠子（bowel的第三人称单数）
captive	 adj. 被俘虏的；被迷住的 n. 俘虏；迷恋者
chaos	 n. 混沌，混乱
imprison	 v. 监禁；关押；使…下狱
mute	 adj. 哑的；沉默的；无声的 v. 减弱……的声音；使……柔和 n. 哑巴；弱音器；闭锁音
surely	 adv. 当然；无疑；坚定地；稳当地
idealism	 n. 唯心主义，理想主义；理念论
serf	 n. 农奴；奴隶；被压迫者
forgery	 n. 伪造；伪造罪；伪造物
appropriate	 adj. 适当的；恰当的；合适的 v. 占用，拨出
justice	 n. 司法，法律制裁；正义；法官，审判员
hippopotamus	 n. [脊椎] 河马
bourgeoisie	 n. 资产阶级；中产阶级
landmark	 n. [航]陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事 adj. 有重大意义或影响的
apex	 n. 顶点；尖端
scissors	 n. 剪刀；剪式跳法 v. 剪开；删除（scissor的第三人称单数）
tale	 n. 故事；传说；叙述；流言蜚语
ribbon	 n. 带；缎带；（勋章等的）绶带；带状物；勋表 vi. 形成带状 vt. 把…撕成条带；用缎带装饰
arson	 n. 纵火；纵火罪
pop	 abbr. 卖点广告（Point of Purchase）
lopsided	 adj. 不平衡的，倾向一方的
captivate	 v. 迷住，迷惑
directory	 n. [计] 目录；工商名录；姓名地址录 adj. 指导的；咨询的
anxious	 adj. 焦虑的；担忧的；渴望的；急切的
explicable	 adj. 可解释的，可说明的
adaptation	 n. 适应；改编；改编本，改写本
vessel	 n. 船，舰；[组织] 脉管，血管；容器，器皿
veil	 n. 面纱；面罩；遮蔽物；托词 v. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
champion	 n. 冠军；拥护者；战士 v. 支持；拥护 adj. 优胜的；第一流的
undulate	 v. 起伏，波动；震动；呈波浪形 adj. 波动的；起伏的；波浪形的
humility	 n. 谦卑，谦逊
solid	 adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
regain	 v. 恢复；重新获得；收回 n. 收复；取回
refine	 v. 精炼，提纯；改善；使…文雅
underground	 adv. 在地下；秘密地 adj. 地下的；秘密的；先锋派的 n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
informed	 adj. 消息灵通的；见多识广的 v. 通知；使了解；提供资料（inform的过去分词）
select	 v. 挑选；选拔 adj. 精选的；挑选出来的；极好的 n. 被挑选者；精萃
grammar	 n. 语法；语法书
title	 n. 冠军；标题；头衔；权利；字幕 v. 加标题于；赋予头衔；把…称为 adj. 冠军的；标题的；头衔的
zenith	 n. 顶峰；顶点；最高点
social	 adj. 社会的，社交的；群居的 n. 联谊会；联欢会
evergreen	 n. 常绿树；常绿植物 adj. [植] 常绿的；永葆青春的
demonstrative	 adj. 说明的；证明的；公开表露感情的 n. 指示词
staunch	 adj. 坚定的；忠诚的；坚固的 v. 止住；止血 n. (Staunch)人名；(英)斯汤奇
dignified	 adj. 庄严的；有尊严的；高贵的 v. 使高贵（dignify的过去式）
idiosyncrasy	 n. （个人独有的）气质，性格，习惯，癖好
Englishwoman	 n. 英国女人；英格兰妇女
sleek	 adj. 圆滑的；井然有序的 v. 使…光滑；掩盖
rearrange	 v. 重新排列；重新整理
genius	 n. 天才，天赋；精神
clip	 n. （塑料或金属的）夹子；回纹针；修剪；剪报 v. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上
bear	 v. 结果实，开花（正式） n. 熊
colour	 v. 把…涂颜色，粉饰；歪曲；使脸红 n. 颜色；风格；气色，面色；外貌
towel	 n. 毛巾，手巾；[纸] 纸巾 v. 用毛巾擦
mansion	 n. 大厦；宅邸
subway	 n. 地铁；地道 vi. 乘地铁
overly	 adv. 过度地；极度地 n. (Overly)人名；(英)奥弗利
assent	 v. 同意；赞成 n. 同意；赞成
insomnia	 n. 失眠症，失眠
sage	 n. 圣人；贤人；哲人 adj. 明智的；贤明的；审慎的
veer	 v. 转向；改变观点；风向顺时针转；调转船尾向上风 n. 转向；方向的转变
grievance	 n. 不满，不平；委屈；冤情
chargeable	 adj. 应支付的；可以控诉的；可充电的；应课税的
shaft	 n. 拍杆；[机] 轴；箭杆；杆状物 v. 利用；在……上装杆
reassure	 v. 使…安心，使消除疑虑
cage	 n. 笼，兽笼；牢房，监狱 v. 把…关进笼子；把…囚禁起来
aim	 v. 目的在于；引导；把…对准 n. 目的；目标；对准
sack	 n. 麻布袋；洗劫 v. 解雇；把……装入袋；劫掠
wean	 v. 使断奶；使断念；使放弃 n. （苏格兰）幼儿
defile	 v. 污损，弄脏；染污 n. 狭谷；隘路
vault	 n. 拱顶；撑竿跳；地下室 v. 跳跃；成穹状弯曲
lily	 n. 百合花，百合；类似百合花的植物；洁白之物 adj. 洁白的，纯洁的
suburb	 n. 郊区；边缘
bout	 n. 回合；较量；发作；一阵
manpower	 n. 人力；人力资源；劳动力
fabricate	 v. 制造；伪造；装配
fluent	 adj. 流畅的，流利的；液态的；畅流的
regency	 n. 摄政；摄政统治；摄政权
lichen	 n. 地衣；青苔 vt. 使长满地衣
lawsuit	 n. 诉讼（尤指非刑事案件）；诉讼案件
bearing	 n. [机] 轴承；关系；方位；举止 v. 忍受（bear的ing形式）
flax	 n. 亚麻；亚麻纤维；亚麻布；亚麻织品
shortage	 n. 缺乏，缺少；不足
imperialism	 n. 帝国主义
provisional	 adj. 临时的，暂时的；暂定的 n. 临时邮票
tablecloth	 n. 桌布；台布
warning	 n. 警告；预兆；预告 adj. 警告的；引以为戒的 v. 警告（warn的ing形式）
German	 adj. 德国的；德语的，德国人的 n. 德语；德国人
maltreat	 v. 虐待；滥用；粗暴对待
rodeo	 n. 竞技表演；竞技者 vi. 竞技
sibling	 n. 兄弟姊妹；民族成员
thatch	 n. 茅草，杂草；浓密的头发；茅草屋顶 v. 用茅草覆盖屋顶
soccer	 n. 英式足球，足球
yawn	 n. 哈欠；裂口 v. 打哈欠；裂开
mast	 n. 桅杆；柱；橡树果实 vt. 在…上装桅杆
enlighten	 v. 启发，启蒙；教导，开导；照耀
cottage	 n. 小屋；村舍；（农舍式的）小别墅
crate	 n. 板条箱；篓 v. 将某物装入大木箱或板条箱中
coddle	 v. 娇养；溺爱（等于mollycoddle）；用文火煮
drummer	 n. 鼓手；旅行推销员；跑街
promising	 adj. 有希望的，有前途的 v. 许诺，答应（promise的现在分词形式）
zest	 n. 风味；热心；强烈的兴趣 v. 给…调味
dire	 adj. 可怕的；悲惨的；极端的
existence	 n. 存在，实在；生存，生活；存在物，实在物
peace	 n. 和平；平静；和睦；秩序
