refuse	 v. 拒绝
continual	 adj. 不断的；连续的
image	 n. 图像；映像；形象；印象
insult	 v. 侮辱，凌辱 n. 侮辱，凌辱
unexpected	 adj. 想不到的，意外的
art	 n. 艺术，美术；技术
reward	 n. 报答；报酬 v. 报答
simplicity	 n. 简单，简易；朴素
interview	 n. 接见；会见；面谈
buy	 v. 买，购买
opposite	 adj. 对面的 n. 对立物
girl	 n. 女孩子，姑娘；女儿
chess	 n. 棋；国际象棋
quote	 v. 引用，引证；报价
exhibit	 v. 陈列，展览；显示
resistant	 adj. 抵抗的；反抗的
kite	 n. 风筝
stroke	 n. 中风；打，击；鸣声
move	 v. 移动；感动 n. 动
beneficial	 adj. 有利的，有益的
sow	 v. 播（种）
prepare	 v. 准备，预备
millimetre	 n. 毫米
council	 n. 理事会，委员会
grocery	 n. 食品杂货店
interfere	 v. 干涉，干预；妨碍
glue	 n. 胶，胶水 v. 胶合
imaginary	 adj. 想象中的，假想的
contemporary	 adj. 当代的；同时代的
at	 prep. 在…里；在…时
crow	 n. 鸦，乌鸦 v. 啼
depend	 v. 依靠，依赖；相信
item	 n. 一项，一件，一条
entire	 adj. 全部的，整个的
charge	 v. 索价；控告 n. 费用
behavior	 n. 行为，举止，态度
provided	 conj. 以…为条件
thus	 adv. 如此，这样；因而
agreement	 n. 协定，协议；同意
device	 n. 器械，装置
clothing	 n. 衣服
cube	 n. 立方形；立方
marriage	 n. 结婚，婚姻；婚礼
kingdom	 n. 王国；界
bow	 n. 鞠躬；弓；蝴蝶结
vessel	 n. 船，飞船；管；容器
automatic	 adj. 自动的；机械的
trace	 n. 痕迹；丝毫 v. 跟踪
overnight	 adv. 一夜；突然
feather	 n. 羽毛；翎毛；羽状物
Monday	 n. 星期一
export	 v. 出口；输出
badminton	 n. 羽毛球
arrival	 n. 到达；到来；到达者
knock	 v. 敲，击，打 n. 敲，击，打
fifteen	 num. 十五；十五个
aunt	 n. 伯母，婶母，姑母
motive	 n. 动机，目的
capture	 v. 捕获，俘获；夺得
handful	 n. 一把；少数，一小撮
being	 n. 存在；生物；生命
contract	 n. 契约，合同
collective	 adj. 集体的；集合性的
building	 n. 建筑物，大楼；建筑
crew	 n. 全体船员
postman	 n. 邮递员
corresponding	 adj. 相应的；符合的
restless	 adj. 不安定的，焦虑的
tempt	 v. 引诱，诱惑；吸引
fix	 v. 决定；使固定
classroom	 n. 教室，课堂
corridor	 n. 走廊，回廊，通路
daughter	 n. 女儿
out	 adv. 出，在外；现出来
outdoors	 adv. 在户外，在野外
universal	 adj. 全世界的；全体的；共同的；普遍的
garage	 n. 车库；加油站
mark	 n. 斑点；记号 v. 标明
outcome	 n. 结果，后果，成果
duration	 n. 持续，持久
consideration	 n. 考虑，思考；体贴
mould	 n. 模子，模型 v. 浇铸
already	 adv. 早已，已经
tune	 n. 调子 v. 调音
logical	 adj. 逻辑的；符合逻辑的
book	 n. 书，书籍 v. 预定
heavy	 adj. 重的；大的；充满的
loan	 n. 贷款；暂借 v. 借出
peach	 n. 桃子，桃树
danger	 n. 危险；危险事物
horsepower	 n. 马力
prevent	 v. 预防，防止；阻止
yield	 v. 出产 n. 产量
punch	 v. 用拳猛击 n. 冲压机
calculator	 n. 计算器，计算者
plate	 n. 盘 v. 电镀
disclose	 v. 揭开，揭发；透露
communication	 n. 通讯；传达；交通
slide	 v. 滑 n. 滑
candidate	 n. 候选人；投考者
mount	 v. 登上，爬上 n. …山
rat	 n. 老鼠，耗子
neighbour	 n. 邻居，邻人；邻国
ceremony	 n. 典礼，仪式；礼节
fiction	 n. 小说；虚构，杜撰
determine	 v. 查明；决定；决心
plan	 n. 计划，打算 v. 计划；打算
Greek	 adj. 希腊的 n. 希腊人
party	 n. 聚会；党，党派
further	 adv. 更远地 adj. 更远的
radio	 n. 无线电；收音机
contribute	 v. 捐献，捐助；投稿
catalog	 n. 目录，目录册
coward	 n. 懦夫；胆怯者
apply	 v. 应用，实施，使用
throat	 n. 咽喉，喉咙；嗓音
ice	 n. 冰，冰块 v. 冰敷
piano	 n. 钢琴
discuss	 v. 讨论，谈论；论述
neat	 adj. 整洁的
refresh	 v. 使清新；恢复精神
curiosity	 n. 好奇，好奇心；珍品
divide	 v. 分；分开；分配
leader	 n. 领袖，领导人；首领
fibre	 n. 纤维质；纤维
trim	 adj. 整齐的 v. 使整齐
baby	 n. 婴儿；孩子气的人
wooden	 adj. 木制的；呆板的
clap	 v. 拍手；拍，轻拍
vibrate	 v. 使颤动
honest	 adj. 诚实的
necklace	 n. 项链，项圈
blame	 v. 责备，把…归咎于
substance	 n. 物质；实质；本旨
merry	 adj. 欢乐的，愉快的
fountain	 n. 泉水，喷泉；源泉
surroundings	 n. 周围的事物，环境
chair	 n. 椅子；主席
procession	 n. 队伍，行列
back	 adv. 回原处；回；在后
jacket	 n. 短上衣，茄克衫
rifle	 n. 步枪，来复枪
our	 pron. 我们的
low	 adj. 低的；矮的；低下的
opponent	 n. 对手，敌手；对抗者
pretend	 v. 假装
bathroom	 n. 浴室；盥洗室
champion	 n. 冠军，得胜者
jump	 v. 跳；暴涨
count	 v. 计算；数，计数
vivid	 adj. 生动的；鲜艳的
biscuit	 n. （英）饼干；（美）软饼
orange	 n. 橙（树）；柑（树）
advantage	 n. 优势；优点；好处
upper	 adj. 上面的；地位较高的
senior	 adj. 地位较高的
regular	 adj. 规则的；整齐的
majority	 n. 多数，大多数
blossom	 n. 花；开花 v. 开花
heading	 n. 标题，题词，题名
fridge	 n. 电冰箱
destruction	 n. 破坏，毁灭，消灭
commerce	 n. 商业，贸易；社交
transmission	 n. 传送；传动；发射
German	 adj. 德国的 n. 德国人
elsewhere	 adv. 在别处，向别处
British	 adj. 不列颠的，英联邦的
discover	 v. 发现
series	 n. 连续，系列；丛书
personnel	 n. 全体人员，全体职员
faulty	 adj. 有缺点的；有错误的
inherit	 v. 继承（传统等）
famous	 adj. 著名的，出名的
only	 adv. 只，仅仅 adj. 唯一的
resolve	 v. 解决；决心 n. 决心
gold	 n. 金 adj. 金制的
leisure	 n. 空闲时间；悠闲
breathe	 v. 呼吸
metre	 n. 米，公尺
rainbow	 n. 虹，彩虹
furniture	 n. 家具
outer	 adj. 外部的，外面的
college	 n. 学院；大学
mother	 n. 母亲，妈妈
hour	 n. 小时；时间；时刻
respective	 adj. 各自的，各个的
crop	 n. 农作物，庄稼；一熟：一季的收成
feel	 v. 有知觉；触，摸
ounce	 n. 盎司，英两
handle	 n. 柄，把手 v. 拿，触
active	 adj. 活跃的；积极的
conservation	 n. 保存，保护
game	 n. 游戏；比赛；猎物
devil	 n. 魔鬼，恶魔
imagination	 n. 想象；想象力；空想
opinion	 n. 意见，看法，主张
maid	 n. 女佣，女仆；少女
admire	 v. 钦佩，羡慕，赞赏
yard	 n. 院子，庭院；场地
doctor	 n. 医生，医师；博士
dam	 n. 水坝，水堤；障碍物
ripe	 adj. 熟的；时机成熟的
soil	 v. 弄脏
earth	 n. 地球；陆地，地面
alphabet	 n. 字母表，字母系统
lucky	 adj. 幸运的；吉祥的
waggon	 n. 四轮运货马车
restore	 v. 恢复；修补；归还
complicated	 adj. 难懂的；复杂的
regret	 v. 懊悔；抱歉 n. 懊悔
rack	 n. 搁物架；行李架
lace	 n. 鞋带，系带；花边
jolly	 adj. 快活的；令人高兴的
area	 n. 地区；面积；领域
Oceania	 n. 大洋洲
chemical	 adj. 化学的 n. 化学制品
ocean	 n. 海洋；洋
lord	 n. 贵族；上帝
intelligent	 adj. 聪明的；理智的
loop	 n. 圈，环，环孔
greedy	 adj. 贪吃的；贪婪的
everything	 pron. 每件事，事事
feedback	 n. 反馈
total	 adj. 总的 v. 合计，总共
ad	 n. 广告
check	 v. 检查；制止 n. 检查
create	 v. 创造；引起，产生
cheap	 adj. 廉价的；劣质的
reject	 v. 拒绝；驳回；丢掉
anyway	 adv. 无论如何
decorate	 v. 装饰，装璜，修饰
string	 n. 线，细绳；一串
moisture	 n. 潮湿，湿气
memory	 n. 记忆；回忆；存储
accept	 v. 接受；同意
behind	 prep. 在…后面
investment	 n. 投资，投资额；投入
false	 adj. 不真实的；伪造的
increase	 v. 增加 n. 增加
guest	 n. 客人，宾客；旅客
constitution	 n. 章程；体质；构造
illegal	 adj. 不合法的，非法的
carriage	 n. 四轮马车；客车厢
summarize	 v. 概括，概述，总结
raw	 adj. 未煮过的；未加工的
extension	 n. 延长部分；伸展
polite	 adj. 有礼貌的；有教养的
broom	 n. 扫帚
thereby	 adv. 因此，从而，由此
threat	 n. 威胁，恐吓；凶兆
justify	 v. 证明…是正当的
strategy	 n. 战略；策略
box	 n. 箱，盒；包厢
simplify	 v. 简化，使单纯
usage	 n. 使用，对待；惯用法
aloud	 adv. 出声地；大声地
delight	 n. 快乐 v. 使高兴
cripple	 n. 跛子；残疾人
cigaret	 n. 香烟，纸烟，卷烟
square	 n. 正方形；广场
pray	 v. 祈祷；请求
attraction	 n. 吸引；吸引力；引力
reputation	 n. 名誉，名声；好名声
decrease	 v. 减少 n. 减少
cave	 n. 山洞，洞穴，窑洞
banana	 n. 香蕉；芭蕉属植物
unknown	 adj. 不知道的；未知的
despite	 prep. 尽管，虽然，任凭
transportation	 n. 运输，运送，客运
collar	 n. 衣领；项圈
lean	 v. 倾斜，屈身；靠
undergraduate	 n. 大学在校生
material	 n. 材料；素材 adj. 物质的
neutral	 adj. 中立的；中性的
male	 adj. 男的，雄的 n. 男子
circle	 n. 圆；圆周；圈子
thickness	 n. 厚（度）；密（度）
news	 n. 新闻；消息
wicked	 adj. 坏的；令人厌恶的
suspicious	 adj. 怀疑的；可疑的
shoot	 v. 发射；射中 n. 芽
publication	 n. 出版；出版物；公布
possibility	 n. 可能；可能的事
lie	 v. 躺；平放；位于
quarrel	 n. 争吵，吵架，口角
here	 adv. 这里；向这里
scrape	 v. 刮；擦 n. 刮；擦伤；擦痕
example	 n. 例子，实例；模范
Bible	 n. 基督教《圣经》
stability	 n. 稳定；稳定性
equip	 v. 装备，配备
forest	 n. 森林；森林地带
reasonable	 adj. 合情合理的；公道的
quit	 v. 离开，退出；退出；停止
lower	 adj. 较低的 v. 放下
beneath	 prep. 在…下方
transform	 v. 改变；改造；变换
musician	 n. 音乐家；作曲家
attribute	 v. 把…归因于 n. 属性
saddle	 n. 鞍子，马鞍
trunk	 n. 树干；大衣箱，皮箱
submit	 v. 服从
customer	 n. 顾客，主顾
observation	 n. 注意；观察；观察力
moderate	 adj. 温和的；有节制的
cope	 v. 对付，应付
king	 n. 国王，君主
reaction	 n. 反应；反作用力
outlook	 n. 观点，看法；展望
member	 n. 成员，会员
passport	 n. 护照
reduction	 n. 减少，减小，缩减
childhood	 n. 童年，幼年；早期
corner	 n. 角；边远地区
grandmother	 n. 祖母，外祖母
lightning	 n. 闪电，闪电放电
of	 prep. …的；由于
classification	 n. 分类；分级；分类法
tension	 n. 紧张，不安；拉紧；张力
strip	 v. 剥去；除去 n. 条，带
interpretation	 n. 解释
condemn	 v. 谴责，指责；判刑
previous	 adj. 先的；前的
hopeful	 adj. 有希望的
invisible	 adj. 看不见的；无形的
occasion	 n. 场合；时刻；时机
noun	 n. 名词
blend	 v. 混和 n. 混和物
colleague	 n. 同事，同僚
electronic	 adj. 电子的
fire	 n. 火；火灾 v. 开火
layer	 n. 层；层次
fade	 v. 逐渐消失；褪色
ahead	 adv. 向前；在前；提前
chop	 v. 砍，劈；切细
gulf	 n. 海湾
convenient	 adj. 便利的；近便的
eleven	 num. 十一，十一个
by	 prep. 在…旁；被，由
Australian	 adj. 澳大利亚的
main	 adj. 主要的，最重要的
candy	 n. 糖果
bacteria	 n. 细菌
repeatedly	 adv. 重复地；一再
explanation	 n. 解释，说明；辩解
impact	 n. 影响，作用；冲击
mainly	 adv. 主要地，大体上
administration	 n. 管理；管理部门
skillful	 adj. 灵巧的，娴熟的
data	 n. 数据；资料
pollution	 n. 污染
possession	 n. 有，所有；占有物
manly	 adj. 男子气概的，果断的
reverse	 v. 颠倒；翻转 n. 背面
gallon	 n. 加仑
have	 aux v. （与过去分词连用构成完成时） v. 有；吃
boy	 n. 男孩，少年；家伙
Mister	 n. 先生
crawl	 v. 爬，爬行
employment	 n. 工作；职业；雇用；使用
dread	 n. 畏惧；恐怖 v. 惧怕
difficult	 adj. 困难的；难对付的
aggressive	 adj. 侵略的；好斗的
elder	 adj. 年龄较大的 n. 长者
twin	 adj. 孪生的 n. 孪生儿
furnace	 n. 炉子，熔炉；鼓风炉
political	 adj. 政治的，政治上的
statue	 n. 塑像，雕像，铸像
geometry	 n. 几何，几何学
union	 n. 协会；联合
accord	 v. 给予；使一致
terminal	 adj. 末端的 n. 〔飞机、公共汽车、轮船客运或货物运输的〕集散站，终点站
petroleum	 n. 石油
northwest	 n. 西北 adj. 位于西北的
wool	 n. 羊毛；毛线，绒线
hollow	 adj. 空的；空洞的
mission	 n. 使命，任务；使团
lantern	 n. 提灯，灯笼
earnest	 adj. 认真的，诚恳的
lavatory	 n. 盥洗室，厕所
oneself	 pron. 自己；亲自
familiar	 adj. 熟悉的
rocket	 n. 火箭，火箭发动机
veteran	 n. 老兵；老手
declare	 v. 断言；声明；表明
span	 n. 持续时间；跨距
bunch	 n. 束，串；一群
approve	 v. 批准；赞成，称许
hobby	 n. 业余爱好，癖好
pea	 n. 豌豆；豌豆属植物
collapse	 v. 倒坍；崩溃，瓦解
insect	 n. 昆虫，虫
he	 pron. （主格）他
eat	 v. 吃
add	 v. 添加，附加，掺加
growth	 n. 增长；增长量；生长
strange	 adj. 陌生的；奇怪的
invention	 n. 发明，创造；捏造， 假话
female	 n. 雌性的动物；女性
disaster	 n. 灾难，灾祸；天灾
headache	 n. 头痛；头痛的事
comment	 n. 评论，意见；批评；指责
damage	 v. 损害，毁坏 n. 损害
assure	 v. 使确信；向…保证
store	 n. 商店；贮藏；贮存品
withdraw	 v. 撤退；收回；撤回
conduct	 n. 举止，行为
bulb	 n. 电灯泡
alcohol	 n. 酒精，乙醇
bitter	 adj. 痛苦的；严寒的
respond	 v. 作答；响应
naked	 adj. 裸体的；无遮敝的
radar	 n. 雷达，无线电探测器
birthday	 n. 生日；诞生的日期
precise	 adj. 精确的，准确的
emerge	 v. 出现，涌现；冒出
reality	 n. 现实；真实
wing	 n. 翼，翅膀，翅
gauge	 v. 量，测量 n. 量器
give	 v. 做，作；送给
end	 n. 末端；目标 v. 结束
rust	 n. 锈 v. 生锈，氧化
disagree	 v. 有分歧；不一致
engineer	 n. 工程师，技师
expert	 n. 专家 adj. 熟练的
plain	 n. 平原 adj. 清楚的
philosopher	 n. 哲学家
eastern	 adj. 朝东的；东方的
automobile	 n. 汽车，机动车
noon	 n. 正午，中午
region	 n. 地区，地带；领域
transformation	 n. 变化；改造；转变
benefit	 n. 利益；恩惠；津贴
least	 det,pron. 最少的 adv. 最少
grind	 v. 磨（碎）；磨利
do	 aux. （用于实义动词前构成否定句和疑问句） v. 做，干，办
national	 adj. 民族的；国家的
excursion	 n. 远足；短途旅行
haste	 n. 急速，急忙；草率
suit	 n. 起诉，诉讼 v. 适合
stock	 n. 库存品；股本
needless	 adj. 不需要的
laser	 n. 激光
boot	 n. 靴子，长统靴
pain	 n. 痛，疼痛；辛苦
stale	 n. 陈腐的；走了气的
habitual	 adj. 习惯性的，惯常的
erect	 v. 建造；使竖立
noticeable	 adj. 显而易见的
hate	 v. 恨，憎恨；不喜欢
orderly	 adj. 整洁的；有秩序的
menu	 n. 菜单
fair	 adj. 公平的；相当的
point	 n. 点；要点；细目；分
live	 v. 居住；活 adj. 活的
altitude	 n. 高，高度；高处
horizon	 n. 地平线；眼界，见识
similarly	 adv. 类似地，相似地
protein	 n. 蛋白质，朊
miserable	 adj. 痛苦的；悲惨的
influence	 n. 影响；势力 v. 影响
July	 n. 七月
sake	 n. 缘故，理由
tendency	 n. 倾向；趋向，趋势
giant	 n. 〔儿童故事中的〕巨人；巨人；巨物
father	 n. 父亲；神父；创始人
specimen	 n. 样本，标本，样品
upward	 adj. 上升的；向上的
ready	 adj. 准备好的；愿意的
path	 n. 路，小道；道路
helmet	 n. 头盔，钢盔
adverb	 n. 副词
information	 n. 消息，信息；通知
exterior	 adj. 外部的
setting	 n. 环境；安装，调整
tidy	 adj. 整洁的；整齐的
eagle	 n. 鹰
variable	 adj. 易变的 n. 变量
belt	 n. 带，腰带；皮带；区
open	 adj. 开的；开放的 v. 开
relative	 adj. 有关系的；相对的
cage	 n. 笼；鸟笼，囚笼
revolt	 n. 反抗；造反 v. 反抗；造反
exist	 v. 存在；生存，生活
width	 n. 宽度
argue	 v. 争论；争辩，辩论
herself	 pron. 她自己；她亲自
potato	 n. 马铃薯，土豆
aspect	 n. 方面；样子，外表
fertile	 adj. 肥沃的
chamber	 n. 〔人体内或某些机器中的〕室，腔；会议室；房间
rotary	 adj. 旋转的，转动的
elbow	 n. 肘，肘部；弯管
dye	 v. 染 n. 染料；染色
condition	 n. 状况，状态；环境
deaf	 adj. 聋的；不愿听的
prize	 n. 奖赏，奖金 v. 珍视
knit	 v. 把…编结
neither	 adj. （两者）都不的
register	 n. 登记，注册 v. 登记，注册
flu	 n. 流行性感冒
petrol	 n. （英）汽油
continent	 n. 大陆；陆地；洲
echo	 n. 回声，反响 v. 重复
boil	 v. 沸腾；汽化；煮沸
accident	 n. 意外事件；事故
log	 n. 原木，木料
cheat	 v. 骗取；哄
grass	 n. 草；牧草；草地
desire	 v. 中文释义；想要：要求 n. 愿望
dense	 adj. 密集的；浓厚的
tank	 n. 大容器，槽；坦克
restrict	 v. 限制，限定；约束
first	 num. 第一 adv. 最初
deliver	 v. 投递，送交；发表
reduce	 v. 减少，减小
aircraft	 n. 飞机，飞行器
specific	 adj. 特有的；具体的
scout	 n. 侦察员，侦察机
instant	 n. 瞬间 adj. 立即的
involve	 v. 使卷入；牵涉
layout	 n. 布局，安排，设计
business	 n. 商业，生意；事务；事务
torture	 n. 拷问；折磨 v. 拷打
shiver	 v. 颤抖，哆嗦 n. 冷颤
contradiction	 n. 矛盾，不一致；否认
photograph	 n. 照片，相片
sophisticated	 adj. 老于世故的；高级的
exploit	 v. 剥削；利用；开拓
likewise	 adv. 同样地；也，又
ratio	 n. 比，比率
textile	 n. 纺织品
employer	 n. 雇佣者，雇主
fisherman	 n. 渔民，渔夫，打鱼人
love	 v. 爱，喜欢 n. 爱
arrive	 v. 到达；来临；达到
preferable	 adj. 更可取的，更好的
indifferent	 adj. 冷漠的；不积极的
impatient	 adj. 不耐烦的，急躁的
vapour	 n. 汽，蒸气
chemist	 n. 化学家；药剂师
novel	 n. 小说 adj. 新的
forward	 adv. 向前；今后，往后
civilize	 v. 使文明；教育
nail	 n. 钉；指甲 v. 钉
harsh	 adj. 严厉的；刺耳的
fail	 v. 失败；不能；失灵
disturb	 v. 打扰，扰乱；弄乱
favourable	 adj. 赞成的；有利的
exciting	 adj. 令人兴奋的
seize	 v. 抓住；夺取；逮捕
day	 n. （一）天；白昼，白天
onto	 prep. 到…上
ninety	 num. 九十，九十个
application	 n. 请求，申请；施用
plot	 n. 小块土地 v. 密谋
hotel	 n. 旅馆
encourage	 v. 鼓励，支持；助长
concentrate	 v. 集中；聚集；浓缩
achievement	 n. 成就，成绩；完成
comparison	 n. 比较，对照；比拟
build	 v. 建筑；建立；创立
bosom	 n. 胸，胸部；内心
bother	 v. 烦扰，迷惑 n. 麻烦
festival	 n. 〔电影、戏剧、音乐等的〕节，节庆，会演；节日
ensure	 v. 保证；保护；赋予
face	 n. 脸；表面
handy	 adj. 便于使用的；手边的
honesty	 n. 诚实，正直
genuine	 adj. 真的；真正的
cycle	 n. 循环；自行车
parent	 n. 父亲，母亲，双亲
graph	 n. （曲线）图，图表
seal	 n. 印记；封蜡 v. 封
strengthen	 v. 加强，巩固
deny	 v. 否定；拒绝相信
empire	 n. 帝国
surgery	 n. 外科，外科手术
fortune	 n. 运气；巨款；命运
interesting	 adj. 有趣的，引人入胜的
project	 n. 方案，工程 v. 伸出
again	 adv. 又一次；而且
favour	 n. 恩惠；赞同
fleet	 n. 舰队；机群
mankind	 n. 人类
liter	 n. 升（容量单位）
mechanics	 n. 力学
schedule	 n. 计划表；时间表
crystal	 n. 结晶体；晶粒；水晶
letter	 n. 信；字母
effective	 adj. 有效的；有影响的
eye	 n. 眼睛；眼力
card	 n. 卡；卡片；名片
bush	 n. 灌木，灌木丛，矮树
rouse	 v. 唤醒，唤起；惊起
reflexion	 n. 映象；反映；反射
Arabian	 adj. 阿拉伯的
widen	 v. 变宽；加宽
violent	 adj. 暴力的；强暴的；猛烈的；狂暴的
basic	 adj. 基本的，基础的
director	 n. 理事；导演；指导者；负责人
own	 adj. 自己的 v. 有，拥有
commit	 v. 犯（错误）；干（坏事）
ampere	 n. 安培
blast	 n. 爆炸，冲击波 v. 炸
doubtless	 adv. 无疑地；很可能
cloak	 n. 斗篷；覆盖（物）
comprehensive	 adj. 广泛的
mistress	 n. 女主；夫人
mathematics	 n. 数学
housewife	 n. 家庭主妇
headmaster	 n. 校长
oak	 n. 栎属植物；栎木，橡木
available	 adj. 可利用的
no	 adv. 不；并不 adj. 没有
somebody	 pron. 某人，有人
rotation	 n. 旋转，转动
virtue	 n. 善；美德；优点
urban	 adj. 都市的，住在都市的
hardware	 n. 硬件；五金器具
annoy	 v. 使恼怒；打搅；打扰
centigrade	 adj. 百分度的
ink	 n. 墨水，油墨
parallel	 adj. 平行的；相同的
naughty	 adj. 顽皮的，淘气的
cassette	 n. 盒式录音带
fifth	 num. 第五 n. 五分之一
organization	 n. 组织；团体，机构
hall	 n. 门厅；过道；会堂
prevail	 v. 流行；胜，优胜
continue	 v. 继续，连续；延伸
microcomputer	 n. 微型计算机，微机
persist	 v. 坚持，固执；持续
unless	 conj. 除非，如果不
manage	 v. 管理；设法；成功应付，对付
owner	 n. 物主，所有人
weep	 v. 哭泣，流泪
vacuum	 n. 真空；真空吸尘器
realize	 v. 认识到；实现
predict	 v. 预言，预告，预测
portable	 adj. 轻便的；手提的
ditch	 n. 沟，沟渠，渠道
relief	 n. 减轻；救济；援救
accommodate	 v. 容纳；供应，供给，提供住宿
laboratory	 n. 实验室，研究室
brush	 n. 刷子，毛刷；画笔
microscope	 n. 显微镜
emperor	 n. 皇帝
render	 v. 使得；表示，给予
plug	 n. 塞子；插头 v. 塞
consult	 v. 请教；查阅
candle	 n. 蜡烛
range	 n. 一系列；范围；山脉
adult	 n. 成年人 adj. 成年的
approach	 v. 向…靠近 n. 靠近
eventually	 adv. 终于；最后
glad	 adj. 高兴的；乐意的
conclude	 v. 推断出；结束
radiation	 n. 辐射；辐射能
accidental	 adj. 偶然的；非本质的
dog	 n. 狗，犬；犬科动物
automation	 n. 自动，自动化
huge	 adj. 巨大的，庞大的
few	 adj. 很少的；少数的
angel	 n. 天使；安琪儿，天使〔指仁慈、善良或美丽的人〕
handsome	 adj. 英俊的；相当大的
class	 n. 班，班级；阶级；等级
nation	 n. 国家；民族
complaint	 n. 抱怨；怨言；控告
era	 n. 时代，年代；纪元
port	 n. 港，港口
column	 n. 柱，支柱，圆柱
message	 n. 信息，消息；启示，要旨，寓意
pack	 v. （把…）打包；（把…）装箱；挤满 n. 包
black	 adj. 黑色的；黑暗的
scan	 v. 细看；浏览；扫描
variation	 n. 变化，变动；变异
planet	 n. 行星
lend	 v. 把…借给；贷（款）
reflection	 n. 映象；反射；反映
acre	 n. 英亩
removal	 n. 移动；移走；除掉；搬迁
sail	 n. 帆；船 v. 航行
France	 n. 法国，法兰西
superior	 adj. 有优越感的；较高的
cafeteria	 n. 自助食堂
costly	 adj. 昂贵的；代价高的
ideal	 adj. 理想的
sample	 n. 样品；标本
continuous	 adj. 连续不断的，持续的
joy	 n. 欢乐，喜悦；乐事
navy	 n. 海军
fabric	 n. 织物，纺织品；结构
evolve	 v. 使进化；使发展
eliminate	 v. 消灭，消除；排除
staff	 n. 全体职员，员工；工作人员；参谋
repeat	 v. 重说，重做 n. 重演，重现
narrow	 adj. 狭的，狭窄的
freight	 n. 货运；货物；运费
educate	 v. 教育；培养；训练；教导
fence	 n. 栅栏
lick	 v. 舔；舔吃
necessary	 adj. 必要的；必然的
primitive	 adj. 原始的；老式的，简陋的
read	 v. 读，看懂
and	 conj. 和，又，并；则，那么
complain	 v. 抱怨，诉苦；控告
thrust	 v. 插，刺 n. 猛冲，猛刺；推进
junior	 adj. 青少年的 n. 晚辈
leading	 adj. 最主要的
spur	 n. 刺激物 v. 刺激
commercial	 adj. 商业的；商品化的
extraordinary	 adj. 非同寻常的；特别的（会议）
inspire	 v. 鼓舞；给…以灵感
climate	 n. 气候；地带；风气
outward	 adj. 外面的；向外的
pessimistic	 adj. 悲观的；厌世的
frost	 n. 冰冻，严寒；霜
curse	 n. 诅咒，咒骂
heroic	 adj. 英雄的；英勇的
dive	 v. 跳水；潜水；俯冲
survey	 v. 调查；测量
leak	 v. 漏；泄露 n. 漏洞
democratic	 adj. 民主的，民主政体的
apart	 adv. 相隔；分开；除去
resort	 vi. 求助，凭借；诉诸于 n. 诉诸
utter	 adj. 完全的，彻底的
penetrate	 v. 穿过
passenger	 n. 乘客，旅客
compete	 v. 竞争；对抗；比赛
boast	 v. 自夸，吹嘘
breadth	 n. 宽度，幅度；幅面
unique	 adj. 唯一的，独一无二的
opportunity	 n. 机会，良机
precious	 adj. 珍贵的，宝贵的
accurate	 adj. 准确的，正确无误的
feeble	 adj. 虚弱的；微弱的
kind	 n. 种类
helpful	 adj. 给予帮助的；有用的
apology	 n. 道歉，认错，谢罪
lighten	 v. 照亮，使明亮
hot	 adj. 热的；刺激的；辣的
hasty	 adj. 急速的；仓促的
civil	 adj. 公民的；普通公民的；平民的
able	 adj. 有能力的；出色的
drive	 v. 驾驶；打入；驱
eleventh	 adj. 第十一（个）
friction	 n. 摩擦；摩擦力
expectation	 n. 期待，预期；期望
commission	 n. 委员会；委任状
old	 adj. 老的；…岁的
night	 n. 夜，夜间
joyful	 adj. 十分喜悦的，快乐的
highly	 adv. 很，非常；高度地
full	 adj. 满的；完全的
detail	 n. 细节；枝节
foot	 n. 脚；最下部；英尺
tag	 n. 标签；附加语
cash	 n. 现金，现款
vanish	 v. 突然不见，消失
movie	 n. 电影；电影院
convert	 v. 使转变；使改变
although	 conj. 尽管，虽然
submerge	 v. 浸没；潜入水中
event	 n. 事件，大事；事变
jam	 n. 果酱
display	 v. 陈列，展览；显示
mutton	 n. 羊肉
exhaust	 v. 使筋疲力尽；用尽
pot	 n. 锅；壶，罐，盆
murder	 n. 谋杀，凶杀 v. 谋杀，凶杀
language	 n. 语言；语言课程
wire	 n. 金属线；电缆
honourable	 adj. 光荣的
nationality	 n. 国籍；民族，族
remove	 v. 移动，搬开；脱掉
spacecraft	 n. 航天器，宇宙飞船
channel	 n. 海峡；渠道；频道
lunch	 n. 午餐，（美）便餐
form	 n. 形式；形状 v. 形成
soak	 v. 浸，泡
mobile	 adj. 运动的；流动的
dim	 adj. 昏暗的；朦胧的
death	 n. 死，死亡；灭亡
inevitable	 adj. 不可避免的，必然的
host	 n. 主人；东道主
Marxist	 adj. 马克思主义的
pork	 n. 猪肉
expect	 v. 预料，预期；等待
disorder	 n. 骚乱；混乱，杂乱
triumph	 n. 凯旋；胜利 v. 成功
jaw	 n. 颌，颚
peak	 n. 山顶，巅 adj. 最高的
practically	 adv. 实际上；几乎
exclusively	 adv. 专门地
noble	 adj. 贵族的；高尚的
liberty	 n. 自由；释放；许可
graceful	 adj. 优美的，优雅的
joint	 n. 关节；接头，接缝
sweep	 v. 扫；刮起；扫过
session	 n. 一段时间；会议
countryside	 n. 乡下，农村
miss	 n. 小姐
hundred	 num. 百，百个 n. 许多
tube	 n. 管；电子管，显像管
jungle	 n. 丛林，密林，莽丛
