sensible	 adj. 可感觉的；明智的
frontier	 n. 国境；尖端；新领域
equity	 n. 公平；公正；无固定利息的股票
generous	 adj. 慷慨的，丰盛的
juvenile	 adj. 青少年的，幼稚的 n. 青少年
fend	 v. 抵挡
longitude	 n. 经度
sting	 n&v. 刺；刺痛
escalate	 v. 升级，逐渐发展
poverty	 n. 贫困，贫穷
cassette	 n. 磁带盒；照相软片盒
date	 n&v. 日期；约会
hedge	 n&v. 围树篱；障碍；躲闪；推诿
hospitality	 n. 好客，殷勤
declaration	 n. 宣布，宣言；声明
detest	 v. 痛恨, 憎恶"
incite	 v. 激励；煽动
innovation	 n. 创新，改革
liability	 n. 义务；不利；阻碍；债务
strenuous	 adj. 费劲的，用力的
principal	 adj. 主要的 n. 校长
exhaust	 n. 排气 v. 抽空，汲光
drain	 v. 排水，耗尽 n. 排水管，排水沟；消耗
export	 v. 输出，出口 n. 出口，出口企业，出口品
log	 n. 原木，圆木
superstructure	 n. 上层建筑；统治阶层
taboo	 n. (宗教迷信)禁忌 adj. 禁忌的，禁止的
spatial	 adj. 空间的，关于空间的
objection	 n. 厌恶，反对；反对的理由
tornado	 n. 飓风，龙卷风
pin	 n. 大头针 v. 用别针别住；钉住，使不能行动
style	 n. 风格；文体；式样
ultimatum	 n. 最后通牒
presentation	 n. 赠送；提出；显示；描述
neglect	 v. 忽视，搁置未做 n. 忽略，疏忽
carrot	 n. 胡萝卜
linear	 adj. 线的，直线的，长度的
sweater	 n. 厚运行衫，毛线衫
precarious	 adj. 不稳定的，不安全的
amends	 n. (pl)赔偿，道歉
approval	 n. 允许，赞同；批准
faculty	 n. 才能；(大学的)系科；学院全体教员
avoid	 v. 避免，逃避
chat	 n&v. 闲谈; 聊天
surpass	 v. 超过，超越，胜过
appliance	 n. 用具，设备，装置
despise	 v. 鄙视，看不起
plunge	 v&n. 投入，插入；跳水
disguise	 vt/n. 假扮；隐蔽；掩饰
deflect	 v. 偏斜
optional	 adj. 非强制的，自愿的，自发的
elementary	 adj. 基本的，初级的
mar	 v. 毁坏，弄糟
compute	 v. 计算，估计
dramatic	 adj. 戏剧性的，戏剧的
maim	 v. 残害，使残废
partial	 adj. 不完全的；偏袒的
launch	 v. 使(船)下水，发射,开始,开办 n. 下水,汽艇 v. "
hearing	 n. 听力，听力所及距离，被听到机会；审讯
mighty	 adj. 强大的，强有力的，巨大的，浩大的
striking	 adj. 引人注目的，显著的
counterpart	 n. 对应的物或人
unilateral	 adj. 单方面的；片面的
ruinous	 adj. 毁灭性的，破坏性的
jumble	 v&n. 混杂，杂乱，混乱
instalment	 n. 分期连载，分期支付的款子
refreshing	 adj. 使精力恢复的；使耳目一新的
notch	 n. (V字形)槽口，缺口
correspondent	 n. 记者，通信者
peril	 n. (严重的)危险；危险的事物
agency	 n. 代理商(社)
elated	 adj. 欢欣鼓舞的
critical	 adj. 危急的；批评的；苛求的，关键的
picturesque	 adj. 似画的，生动的
tacit	 adj. 心照不宣的
controversial	 adj. 引起争论的
mucous	 adj. 黏液的，似黏液的
perpetual	 adj. 永久的；永恒的
porous	 adj. 多孔的，能渗透的
whirl	 vt&vi. 使旋转；眩晕
swell	 vt&vi. 使膨胀；使增强，使壮大，使隆起
gross	 adj. 粗俗的；过胖的；总的；毛的 v. 计得
defile	 v. 弄脏，污损
virtually	 adv. 实际上，事实上
equivalent	 a&n. 相等的，相同
forte	 n. 长处，特长
tamper	 v. 干预，乱弄
prone	 adj. 俯伏的；有倾向
estimate	 n. n. n. 估计，估价 v. 评价，估量
uniform	 adj. 不变的，一贯的 n. 制服
pupil	 n. 瞳孔，瞳仁
ambulance	 n. 救护车
shallow	 adj. 浅的；肤浅的
fume	 n. 烟，汽 v. 熏，冒烟; v. 发怒
disc	 n. 圆盘，圆面，磁盘；椎间盘
emergency	 n. 紧急情况，突发事件
geology	 n. 地质学；地质
stem	 n. 茎 v. -from起源于
prey	 vi&n. 捕食；被捕食的动物
frost	 n. 严寒，霜v结霜;使(玻璃)具有光泽的表面
gravel	 n. 沙砾，碎石
dividend	 n. 红利，股息
pump	 n. 泵，抽水机vt&vi抽取；盘问；灌注
strain	 n. 拉紧，紧张，拉力；劳累 vt&vi. 尽量利用
nibble	 v. 啃，一点一点咬
ally	 n&vt. 同盟者，伙伴；结盟
facilitate	 v. 使便利
twig	 n. 嫩枝, 细枝 "
gape	 v. 张口，张开，裂开 n. 目瞪口呆
ample	 adj. 宽敞的，丰富的
contingency	 n. 偶然，偶然事件
validity	 n. 有效，正当
monotonous	 adj. 单调的，无变化的
peel	 v&n. 剥皮；皮
lay	 v. 放，放置，安置；下蛋
leap	 v. 扑向，欣然接受 n. 跳，跃
necessitate	 v. 使成为必需
conviction	 n. 定罪；深信
dread	 n&v. 畏惧；恐惧
script	 n. 手迹，笔迹; 手稿; 剧本
devote	 v. 把奉献给
supersonic	 adj. 超声的，超声速的
scale	 n. 鳞；尺度；等级；比例规模；天平
alien	 n&a. 外侨；外国人的；不相容的
axis	 n. (plaxes)轴，轴心
fluent	 adj. 说话流利的，(演说等)流畅的
design	 n&v. 设计，构思；设计制图术
mundane	 adj. 世间的；世俗的
withdraw	 vt&vi. 收回，取回；撤回；撤退
synchronize	 v. 使同时发生，使同步发生
individual	 adj. 个人的，个别的；个体的 n. 个人，个体
afford	 v. 冒险；得起；供给
light	 adj. 明亮的；轻的；不重要的 n. 光，光线
perceptible	 adj. 察觉得到的，看得出的
luxury	 n. 奢侈，奢侈品
derive	 v. 得到，起源于
executive	 adj. 执行的，行政的 n. 行政部门，行政人员
soar	 v. 鸟高飞，翱翔；[喻]高涨，猛增
abundance	 n. 丰富
susceptible	 adj. 敏感的；易受感动的
automatic	 adj. 自动的，无意识的 n. 小型自动武器
corrupt	 adj. 腐败的，贪污的 v. (使)腐败，贿赂
multilateral	 adj. 多边的；多国参加的
formulate	 v. 精确地表达；制订；用公式表示
facet	 n. 刻面，(问题的)一个方面
supersede	 v. 代替
hostile	 adj. 敌对的，敌方的，不友好的
solo	 n. 独唱，独奏
ruthless	 adj. 残忍的，无情的
click	 vi&n. 咔嗒一声
contest	 v. 争论，争义，斗争 n. 争夺，竞争；比赛
agreeable	 adj. 令人愉快的；乐于同意的
tube	 n. 管；(伦敦)地下铁道
flourish	 v&n. 繁荣，挥舞
detect	 v. 发现，发觉；侦察
tarnish	 vt&vi. (尤指金属表面)失去光泽；玷污
counterfeit	 adj. 伪造的 n. 伪造 v. 伪造，仿造
chew	 v&n. 嚼；咀嚼
devour	 v. 狼吞虎咽地吃；挥霍，耗尽
offend	 n. 犯罪；冒犯；攻击
item	 n. 条款，项目，一条(新闻)
confidence	 n. 信任，信心，自信 adj. 骗得信任的
cosy	 adj. 温暖而舒适的，安逸的
suck	 n&v. 吸，舔
employment	 n. 职业；雇用；使用
amend	 v. 改进，修正
update	 v. 使现代化；使靠最近
vengeance	 n. 报仇
factor	 n. 因素，要素
abort	 v. 取消；流产
scapegoat	 n. 替罪羊
imposing	 adj. 壮观的，气势雄伟的
toll	 n. (道路，桥梁)通行费；损失，代价；税收
irritate	 v. 激怒；使烦躁，使感到不适
assassination	 n. 暗杀
subjective	 adj. 主观的
surgery	 n. 外科，外科手术
yoke	 n. 牛轭；枷锁；纽带
multiply	 vt&vi. [数]乘；增加，增多；繁殖
overthrow	 v. 击败，推翻，使毁灭
soak	 v. 浸，使浸透；淋湿
poise	 v. 平衡，保持平衡 n. 泰然自若，自信
interim	 adj. 临时的，暂时的
prompt	 adj. 迅速的 v. 敦促
applaud	 v. 鼓掌欢迎；赞成
adequate	 adj. 充分的；可胜任的
amplify	 v. 详述；引申；增强
cling	 v. 抱紧，坚守
jail	 n&v. 监狱; 监禁
paradox	 n. 似是而非的论点；看似悖谬实则正确的观点
flock	 n. (鸟兽)群，一群人；群集
divert	 v. 转向
filth	 n. 污秽，淫猥
enquire	 v. 询问，打听
haste	 n. 急速，仓促
attractive	 adj. 有吸引力的，讨人喜欢的
plantation	 n. 种植园
reclaim	 v. 开垦，开拓；要求归还
muddle	 vt&vi. 使混乱；弄糟
metallic	 adj. 金属的
obvious	 adj. 明显的，清楚的
sentiment	 n. 思想感情；情操；情绪
harass	 v. 使烦恼, 折磨，骚扰"
constrain	 v. 强迫；限制；克制
wretched	 adj. 不幸的，可怜的；令人难受的
resent	 v. 怨恨
offence	 n. 犯罪，犯规；冒犯
go	 v. without sth在缺少. 的情况下勉强对付
precise	 adj. 精确的
overlap	 v. 与…互搭，与重叠，与部分相同
episode	 n. 一系列事件中的一个事件
malice	 n. 恶意，怨恨
palatable	 adj. 可口的，美味的；惬意的
carve	 v. 雕刻；切(熟肉等)
mentality	 n. 智力，心理状态
proposition	 n. 陈述，主张；报价
steep	 adj. 陡峭的
hitchhike	 v. 免费搭乘他人便车
tumour	 n. 肿瘤
alliance	 n. 联盟，同盟
chic	 n&a. 漂亮(的)，时式(的)
denomination	 n. 命名 取名 单位
frown	 vi&n. 皱眉，不赞成
coerce	 v. 强迫，迫使
cumbersome	 adj. 笨重的，不便携带的
credit	 n. 信任，信誉；存款；信用贷款 v. 相信
rhythm	 n. 韵律，格律；有规律的反复(循环)，周期性
crash	 v. 碰撞，坠毁，冲过 n. 突然坠落；事故
toneless	 adj. 单调的，沉闷的
vomit	 vt&vi. 呕吐；大量喷出
electrician	 n. 电工，电学家
articulate	 a&v. 发音清晰的；说话表达力强
porch	 n. 门廊，走廊
fortnight	 n. 两星期
arouse	 v. 唤醒；唤起
champion	 n. 战士；拥护者；冠军 v. 支持，拥护；保卫
hazard	 n&vt. 危险，危害，冒险；做出
clause	 n. 条款，从句
enthusiastic	 adj. 热情的，热心的
original	 n. 起源；原件，原稿 adj. 最初的；有独创性的
output	 n. 产量；产出
plausible	 adj. 似乎有道理的
nausea	 n. 恶心，晕船 vt. 使恶心
discount	 n. 折扣 v. 不全信，低估，漠视
thunder	 n. 雷，雷声；轰隆声
outcome	 n. 结果，后果
dial	 n. 表面，钟面；拨号盘 v. 打电话
confidential	 adj. 机密的；信任的
hinge	 "n. 合页，铰链，关键 v. 给安铰链,随而定 n. "
adore	 v. 崇拜；非常喜爱
finite	 adj. 有限的，限定的
masculine	 adj. 男性的，阳性的
mutter	 v&n. 轻声低语；怨言
competition	 n. 比赛，比赛会
recipient	 n. 接受者
embargo	 n&v. 禁止贸易
digital	 adj. 数字的，计数的
scholarship	 n. 学问；奖学金
impose	 v. 把…强加于；征(税)，利用
complex	 adj. 复杂的 n. 复合体；变态心理
consent	 vi&n. 同意，允许
hubbub	 n. 吵闹，喧哗
shaft	 n. 矛；矿井；车辕；轴；光线
caption	 n. 报纸文章的标题；照片说明
harbour	 n. 港，港口，安全处，避难所 v. 隐匿，包庇
tumble	 vt&vi. 跌倒，跌落；摇摇欲坠；使倾覆
sink	 n. 洗涤漕
patron	 n. 赞助人；资助人；老顾客，主顾
flu	 n. 流感
column	 n. 柱; 柱状物；书报上的栏；纵列
overrun	 v. 否决，驳回
etiquette	 n. 礼仪, 礼节 "
deduct	 v. 扣除，减去
dense	 adj. 浓密的，密集的；愚笨的
tinge	 v. (较淡)着色于，染色；使带有气息
congruent	 adj. 适合的，一致的，全等的
crouch	 vi&n. 蹲伏
conserve	 v. 保存，保藏 n. 果酱，蜜饯
fahrenheit	 n. 华氏温度计
corporation	 n. 市镇自治机关；法人；公司
quench	 v. 熄灭，扑灭
alarm	 n. 警报，惊慌 v. 使忧虑
nasty	 adj. 令人作呕的，令人不快的，下流的
shovel	 n. 铁锨，铲 v. 铲起
suspicious	 adj. 可疑的，疑心的
trunk	 n. 树干；人躯干；大衣箱
ovation	 n. 热烈欢迎，欢呼
saddle	 n. 马鞍，鞍座；鞍状山脊
tragedy	 n. 悲剧；惨事
meteorology	 n. 气象学
saturate	 v. 浸透，浸湿；使满，使饱和
elbow	 n. 肘；衣服肘部 v. 用肘推、挤
formidable	 adj. 可怕的，难以对付的
structural	 adj. 结构的，构造的
kindle	 v. 点燃，引起，激发
decline	 n&v. 下降，衰退，减弱；拒绝
enroll	 v. 招收，入伍，入学
slope	 n. 斜线，斜度；倾斜面，斜坡
distend	 v. (使)扩张；膨胀
exert	 v. 发挥，行使，尽力
appreciable	 adj. 可见的；明显的
aggregate	 n. 共计，合计
thirst	 vt&n. 渴；渴望
hurricane	 n. 飓风
miracle	 n. 奇迹
nightmare	 n. 恶梦；可怕的经历
opposite	 adj. 对面的；相反的，对立的 prep. 在对面
dedicated	 adj. 献身的，一心一意的，热诚的
tender	 adj. 脆弱的，娇嫩的；温柔的 v. 提供，投标
pervert	 v. 误用，使人堕落 n. 堕落者，反常者
idiot	 n. 白痴
forge	 n. 锻工车间，铁匠店 v. 锻造，伪造
conscious	 adj. 清醒的；故意的
concise	 adj. 简明的，简要的
cartoon	 n. 漫画，动画片
overtake	 v. 超过，赶上；突然降临
layout	 n. 布置，设计
outdated	 adj. 过时的，不流行的
sigh	 v&n. 叹气
consequent	 adj. 随之发生的
chop	 n&v. 砍，劈；剁
exposition	 n. 阐述，讲解；展览会
outlet	 n. 河流等出口，出路；发泄(感情等)的方法
wardrobe	 n. 衣柜，衣橱，全部服装；剧服，行头
molecule	 n. 分子
tablet	 n. 碑，书板；药片
observatory	 n. 天文台，气象台，了望台
distinct	 adj. 不同的，清楚的，独特的
telex	 n. 用户电报；直通专用电传
monarchy	 n. 君主，最高统治者；君主政体，君主国
negative	 adj. 否定的；消极的；负的；阴性的；底片的
graze	 v. (牲畜)吃草；放牧；擦过(牲畜)n擦伤
starve	 v. 挨饿
tide	 n. 潮汐，(舆论，公众情绪)潮流趋势
parasite	 n. 寄生虫，寄生植物；靠他人为生的人
layer	 n. 层
strengthen	 vt&vi. 加强；巩固
vogue	 n. 流行物，时髦
nevertheless	 adv. 然而，不过，仍然
chiche	 n. 陈腐思想，陈词滥调
levy	 n&v. 征收, 征税"
encyclopedia	 n. 百科全书
drainage	 n. 排水系统，下水道，排水
tunnel	 n. 地道；隧道
excel	 v. 杰出，胜过，优于
circuit	 n. 周游；电路；协会
thrust	 n. 猛推；冲锋，突击；推力
modify	 v. 减轻，修改
utmost	 adj. 最远的，最大的，极度的
endurance	 n. 忍耐力，忍耐
mount	 v. 爬上，骑上；增加 n. 山
consensus	 n. 一致，合意
enforce	 v. 强迫服从；实施；加强
tag	 n. 标签
concede	 v. 承认; 给予
grit	 n. 粗砂；刚毅，勇气 v. 铺沙砾于
elevate	 v. 升高，抬起，提高
horizon	 n. 地平线，眼界，视野
crawl	 v. 爬行;缓慢地行进，爬满 n. 爬行；自由泳
mingle	 v. 使混合；交往
substantial	 adj. 坚固的，巨大的；富有的
marginal	 adj. 很少的，微量的
foresee	 v. 预见，预知
soil	 v. 弄脏 n. 泥土
awful	 adj. 可怕的；糟糕的；极度的
regime	 n. 政体，政权；政治制度
divine	 adj. 神的，极好的 v. 占卜
assume	 v. 假定；承担；使用
Easter	 n. 复活节
shatter	 v. vi粉碎，毁损
inquire	 v. 打听，询问
annuity	 n. 年金
cynical	 adj. 愤世嫉俗的
affix	 v. 附加；贴上；盖印 n. 词缀
compress	 v. 使语言精炼，压缩
verge	 n. 边缘，边界
crumb	 n. 面包屑；一点点
sustenance	 n. 食物，营养
diminish	 v. 减少，减小，缩小
itinerary	 n. 旅行计划，旅行日记，旅程
array	 n. 展示；一系列
planetarium	 n. 天文馆
gland	 n. 腺
exquisite	 adj. 优美的，精巧的
deputy	 n. 代表，代理人
ridiculous	 adj. 荒谬的，可笑的
reconcile	 v. 使和解；使复交；调解，调停
funnel	 n. 漏斗，烟囱 v. 汇集
shell	 n&v. 壳，剥壳
succinct	 adj. 简明的，扼要的
eminent	 adj. 著名的，卓越的
jam	 v. 压紧，夹住，发生故障，塞进 n. 阻塞物
terminate	 vt&vi. 终止，结束
temporary	 adj. 暂时的；临时的
rage	 n&vi. 狂怒
span	 n&v. 跨度；跨越
dialect	 n. 方言，俚语
proficiency	 n. 熟练，进步
pilgrim	 n. 香客，朝圣者
shrink	 vt&vi. 收缩；退缩；畏缩
radius	 n. 半径；以半径度量的面积
oar	 n. 桨；橹
web	 n. 网
diplomat	 n. 外交家
database	 n. 数据库
standing	 adj. 永存的，常务的 n. 持续，期间；地位
cellar	 n. 地窖；酒窖
cooperate	 v. 合作，协作
dictate	 v. 听写，命令，支配
partisan	 n. 党派人士
weed	 vt&vi. 除草；除去，剔除
chief	 n. 领袖，部门主任 adj. 主要的，首席的
lap	 n. (跑道的)一圈；腰以下及大腿的前面部分
surrender	 v&n. 投降，自首；放弃；屈服
misconceive	 vt&vi. 误解
fervent	 adj. 热烈的；热情的
aisle	 n. 通道
configuration	 n. 配置，布局；构造
reap	 vt&vi. 收割，收获
missile	 n. 发射物；导弹
oncoming	 adj. 即将来临的；接近的
mature	 adj. 成熟的，充分发展的 v. 使成熟，使成长
occasion	 n. 的时刻；机会；需要 v. 引起，导致
pretentious	 adj. 自负的，自命不凡的
mischance	 n. 不幸，灾难
conquer	 v. 征服；攻克
nourish	 v. 养育，怀有(希望)
tourism	 n. 旅游事业
valuation	 n. 定价，估价；评定的价值
compromise	 n. 妥协，折衷 v. 妥协；使遭受危害
shield	 n. 盾；保护者，保护物 v. 保护，庇护
greedy	 adj. 贪吃的；贪婪的
diet	 n&vi. 饮食，规定的饮食，忌食
pigment	 n. 颜料，色素
ascend	 v. 登(山等)；上升
sour	 adj. 酸的
fury	 n. 狂怒，愤怒的爆发
guy	 "n. 家伙, 人 "
nullify	 v. 使无效，废弃，取消
presumption	 n. 假定，推测；无理，傲慢
stumble	 v. 绊跌，绊倒；结结巴巴说话
nucleus	 n. 核心；原子核
thrive	 v. 兴旺，繁荣
languid	 adj. 没精打采的，倦怠的
homogeneous	 adj. 同类的，同族的
scant	 adj. 不足的，不够多的，缺乏的
versatile	 adj. 多才多艺的；技术超群的
conspicuous	 adj. 明显的，引人注目的
tighten	 vt&vi. (使)变紧，(使)绷紧，扣紧
haul	 v&n. 用力拉，拖；捕获量；拖运的距离
rejoice	 vt&vi. 欣喜，高兴
comet	 n. 慧星
phonetic	 adj. 语音的
ambitious	 adj. 有抱负的
abnormal	 adj. 反常的；变态的
maneuver	 n. 调动，机动；演习；策略；总括 v. 使调动
primitive	 adj. 原始的，简单的
valve	 n. 阀，活门
vanity	 n. 自大，虚荣；无价值，空虚
reception	 n. 接待处；招待会；接收
cordial	 adj. 热诚的，衷心的
noxious	 adj. 有害的，有毒的
reimburse	 v. 偿还；付还
exacerbate	 v. 加重；恶化
object	 n. 物体，目标；目的 v. 反对
palpitate	 v. 心脏急速跳动；人擅抖
tick	 n. (钟表)滴答声；一刹那 v. 用勾作为记号
certificate	 n. 证书，执照
exploit	 n. 英雄行为，辉煌功绩 v. 开拓，开采，剥削
vigilant	 adj. 警戒的；警惕的
grand	 adj. 最重大的；豪华的；傲慢的；美妙的
congress	 n. 代表会议，(C-)(美国等)议会
academic	 adj. 学术的；学校的
correspond	 v. 符合，通信，相当于
passive	 adj. 被动的
discord	 n. 不和，争吵，(声音)不和谐
defer	 v. 推迟，延期
gloomy	 adj. 黑暗的；郁闷的
fanatic	 a&n. 狂热的，狂热者
trick	 n. 诡计；恶作剧；技艺
abandon	 v. 离弃；放弃
therapy	 n. 治疗；疗法
forfeit	 vt&n. 没收，丧失(物)
execution	 n. 演奏技巧；死刑
majority	 n. 多数；多得票数，法定年龄
fertile	 adj. 肥沃的，创造力丰富的，能结果实的
treatment	 n. 对待，待遇；处理，治疗
coin	 n. 硬币，铸币 v. 铸造，创造
vertical	 adj. 垂直的 n. 垂直线
erroneous	 adj. 错误的，不正确的
alloy	 n. 合金
feasible	 adj. 可行的，可信的
collide	 v. 猛冲，冲突，抵触
triangle	 n. 三角，三角形；三角关系
innumerable	 adj. 数不清的
holocaust	 n. 大破坏
dawn	 n&v. 黎明；开始；发生
adverse	 adj. 不利的；劣的
prescription	 n. 规定，指定；药方，处方
notorious	 adj. 自名昭著的，声名狼藉的
obnoxious	 adj. 非常讨厌的；可憎的
desperate	 adj. 绝望的；不顾一切的；危急的
reign	 vi&n. (君主)统治，存在，现存
lane	 n. 小径，行车道，巷
cruise	 v. 巡航；以节省燃料的速度前进 n. 乘船巡游
fastidious	 adj. 难讨好的，爱挑剔的
expertise	 n. 专门知识，专门技能
restless	 adj. 焦躁不安的
undo	 v. 解开，拨开；败坏(名声，成果)
courier	 n. (旅行)服务员；信使；送急件的人
grab	 v&n. 掠夺, 攫取, 抓取"
frantic	 adj. 激动得发狂似的；狂暴的
yacht	 n. 小帆船，快艇；帆船
doze	 vi&n. 打盹儿，小睡
relapse	 vi&n. (病等)复发
contact	 v. 接触 n. 接触；联络；会晤的人；(电)接点
astound	 v. 使震惊
ostensible	 adj. (指理由)表面的；假装的
equal	 a&n&vt. 相等的，相等于，相等匹敌
terminal	 n. 终点站；航空枢纽 adj. 每期的；终点的
fall	 n&vi. 落下，降落，倒坍，垂下
alleviate	 v. 减轻(痛苦等)
sociable	 adj. 友好的，喜好交际的
wholesome	 adj. 健康的，有益于健康的
cube	 n. 立方(体)
provoke	 v. 激怒；引起
acquire	 v. 取得；获得
resemble	 v. 类似，像
coherent	 adj. 黏着的；连贯的
margin	 n. (页边)空白；边缘；(时间，金钱)多余
depart	 v. 离开，启程
mode	 n. 方法；样式
preliminary	 adj. 初步的，开端的
intrinsic	 adj. 固有的，内在的
enclose	 v. 把围起来，把封入信封
entail	 v. 使必需
heart	 n. 心脏；感情；内心
positive	 adj. 确定的；确信的，实际的；正的；阳性的
collapse	 v&n. 倒塌；(精神)垮下来
statesman	 n. 政治家，政客
jeer	 v. 嘲笑 n. 讥笑的言语
sack	 n. 麻袋，解雇 v. 解雇；劫掠
narcotic	 n. 麻醉剂 adj. 麻醉的，麻醉剂的
ponder	 v. 深思，考虑
argue	 v. 不同意；辩论
sound	 adj. 健康的，健全的；可靠的，充分的；彻底的
irrigation	 n. 灌溉
despair	 n&vi. 绝望，丧失信心
dentist	 n. 牙医
focus	 n&v. 焦点，集中
inundate	 v. 淹没，泛滥，压倒
cherish	 v. 爱护，抱有(希望)；怀有(情感)
pointless	 adj. 无意义的，无目标的
rhetoric	 n. 修辞学
humanity	 n. 人类；仁慈，仁爱
disgust	 n&vt. 厌恶，讨厌
wager	 n. 赌注 v. 押注，打赌
promise	 n&v. 诺言；指望；前途
aspiration	 n. 渴望；抱负
fee	 n. 费，报名费，会费
fault	 n. 缺点；毛病，过错；(地质)断层
envy	 n&vt. 忌妒，妒忌的对象；羡慕
yield	 vt&vi. 生产；让步；投降；屈服 n. 产量
erratic	 adj. 古怪的，反复无常的，不稳定的
intent	 adj. (目光)不能移的，集中的，专心的，坚决的
steak	 n. 肉片，鱼片，牛排
clan	 n. 氏族，部落；宗派
anthropology	 n. 人类学
credible	 adj. 可信任的，可靠的
spotlight	 n. 聚光灯 v. 聚光照明，使显著
lag	 v. 走得慢，落后 n. 相隔时间
piston	 n. 活塞
comment	 n&v. 评论；批评
metabolism	 n. 新陈代谢
inclination	 n. 倾向，意愿
mackintosh	 n. (英国英语)雨衣；苹果计算机的一种型号
appendix	 n. 附录；阑尾
cathedral	 n. 总教堂；大教堂
assorted	 adj. 各式各样的
possession	 n. 所有，拥有；财产
width	 n. 宽阔，宽度
variation	 n. 变化，改变；变量；变异
commemorate	 v. 纪念
mosaic	 n&a. 镶嵌细工的，镶嵌工艺品的，嵌花式的
misdeed	 n. 不端行为
mitigate	 v. 使缓和；使镇静
mesh	 n. 网，筛孔
float	 n. 浮子，浮标，(游行中的)彩车 v. 漂浮
illuminate	 v. 照亮；用灯装饰；阐明
quarry	 n. 采石场；猎物
compound	 n&a. 混合物(的)，复合词(的)；院子(的)
confuse	 v. 使混乱，弄错
dean	 n. (大学)院长，系主任，教务长
gossip	 n. 流言蜚语；报上社会新闻；爱传流言的人
succumb	 v. 屈服，屈从，死
obsess	 v. 使着迷，使烦扰
distraction	 n. 消遣，娱乐，精神涣散
miscarriage	 n. 误判，误罚；流产；失败
dormant	 adj. 休眠的，暂死的
economy	 n. 经济；节约
aesthetic	 adj. 美学的；艺术的
facility	 n. 灵巧，熟练；设备
armour	 n. 盔甲；装甲部队
hamper	 v. 妨碍，阻碍，牵制
commitment	 n. 所承诺之事
professional	 adj. 职业的 n. 专业人员
attack	 n&vt. 攻击；非难；疾病发作
exasperate	 v. 激怒，使恼火
trial	 n. 试验；试用；审讯，受审
mess	 n. 混乱，污垢，杂乱 vt&v. 瞎忙；草率处理
tear	 n. 眼泪 vt&vi. 撕裂，撕碎；破坏安宁
dose	 n. (药)一剂，一服 v. 给服药
dreadful	 adj. 令人担心的，遭透的
maternal	 adj. 母亲的，母系的
feeble	 adj. 虚弱的，无力的
depression	 n. 沮丧 消沉 凹陷 萧条时期
sparse	 adj. 稀少的；稀疏的
polish	 v. 磨光，擦光；润饰，使优美 n. 擦光剂
trim	 adj. 整洁的，整齐的
massacre	 n&vt. 大屠杀，残杀
waver	 v. 摆，摇晃；动摇；犹豫不决
decrepit	 adj. 老弱的，衰老的
mortgage	 v. 抵押，按揭，贷款购房
hypothesis	 n. (逻辑)前提，假说
all	 adv. 完全地 pron. 全部，全体
finance	 n&vt. 财政，金融；资金
take	 vt&vi. 紧跟，尾随
legislate	 v. 立法
permeate	 v. 弥漫，透过
cavity	 n. 洞
definite	 adj. 确切的，明确的
skeleton	 n. 骨骼；(建筑物、计划的)骨架；纲要
quarterly	 adj. 季度的；季刊
textile	 a&n. 纺织的，纺织品
conception	 n. 概念的形成，概念，想法；怀孕
jury	 n. 陪审团
murmur	 n&v. 低沉连续的声音；诉怨
virus	 n. 病毒
gasp	 n&v. 喘气，气喘吁吁地说
fatal	 adj. 致命的，命运的，注定的
altitude	 n. (海拔)高度
outdo	 v. 超过；胜过
opinion	 n. 意见，鉴定
decay	 vi&n. 腐朽，腐烂，衰微
audit	 n&vt. 审计；查账
forthcoming	 adj. 即将出现的；现有的
anthology	 n. 诗集
yarn	 n. 纱线；故事，奇谈
plaintive	 adj. 哀伤的，忧伤的
misrepresent	 v. 误传，歪曲，曲解
warranty	 n. 书面担保书，保证书
rigorous	 adj. 严格的，严厉的，严酷的(气候条件)
auxiliary	 adj. 辅助的，协助的
terse	 adj. (说话，文笔)精炼的，简明的
orchard	 n. 果园
dissertation	 n. (博士学位)论文，学术演讲，专题论文
vivid	 adj. 鲜艳的；活泼的，有生气的；清晰的
grumble	 vi&n. 埋怨，咕哝，发牢骚
phenomenon	 n. 现象；非凡的人；奇迹(pl-na)
rally	 v&n. 集合
ceramic	 adj. 陶瓷的；陶器的
tongue	 n. 舌头；语言；舌状物（火舌）
initiative	 n. 发端，创始，主动性
formula	 n. 俗套话；公式，程式
incipient	 adj. 开始的；早期的
coincidence	 n. 巧合，符合，巧合的事例
envisage	 v. 想象；期望；设想
precaution	 n. 预防
challenge	 n&v. 挑战；提出异议
annihilate	 v. 歼灭；消灭
addict	 v. 使沉迷，使嗜好
conservative	 adj. 守旧的，保守的 n. 保守主义，保守党人
edge	 n. 加；边界 v. 给加上边，徐徐移动
rumour	 n&v. 传闻；谣传
misuse	 v. 误用, 滥用；虐待"
propaganda	 n. 宣传；宣传方法
inherit	 v. 继承，经遗传而得(特性等)
secretion	 n. 分泌，分泌物
attendance	 n. 到场；出席人数
illiterate	 n&a. 文盲(的)
turmoil	 n. 骚动，骚乱
denote	 v. 是的符号，提示，表示
adhere	 v. 粘着；忠于；坚持
pinch	 v. 捏，拧，掐，夹痛，紧压 n. 压力，重压
pulp	 n. 果肉，木浆，纸浆
pierce	 vt&vi. 刺穿，戳人；（喻）寒冷刺骨；感动
contribution	 n. 贡献; 捐献
analogy	 n. 类推，类似
policy	 n. 政策，保险单
elegant	 adj. 优美的，雅致的
witness	 n. 目击者；证人；证明
