boat	 n. 小船；轮船 v. 划船
lift	 v. 举起；提升；鼓舞；空运；抄袭 n. 电梯；举起；起重机；搭车
lay	 v. 躺下；产卵；搁放；放置；铺放；涂，敷 adj. 世俗的；外行的；没有经验的 n. 位置；短诗；花纹方向；叙事诗；性伙伴
guess	 v. 猜测；认为；推测；猜中 n. 猜测；推测
just	 adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要 adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的 n. (Just)人名；(英)贾斯特；(法)朱斯特；(德、匈、波、捷、挪)尤斯特；(西)胡斯特
ever	 adv. 永远；曾经；究竟 n. (Ever)人名；(英)埃弗；(俄)叶韦尔；(西、法)埃韦尔
able	 adj. 能；[经管] 有能力的；能干的 n. (Able)人名；(伊朗)阿布勒；(英)埃布尔
hers	 pron. 她的（所有格） n. (Hers)人名；(法)埃尔
today	 adv. 今天；现今 n. 今天；现今
chairman	 n. 主席，会长；董事长
government	 n. 政府；政体；管辖
camera	 n. 照相机；摄影机
of	 prep. 关于；属于；…的；由…组成的
bamboo	 n. 竹，竹子 vt. 为…装上篾条 adj. 竹制的；土著居民的
work	 n. 工作；[物] 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品 v. 使工作；操作；经营；使缓慢前进
about	 prep. 关于；大约 adj. 在附近的；四处走动的；在起作用的 adv. 大约；周围；到处 n. 大致；粗枝大叶；不拘小节的人
family	 n. 家庭；亲属；家族；子女；[生]科；语族；[化]族 adj. 家庭的；家族的；适合于全家的
cheer	 v. 欢呼；使高兴；为…加油 n. 欢呼；愉快；心情；令人愉快的事
December	 n. 十二月
ago	 adv. 以前，以往 adj. 以前的；过去的 n. (Ago)人名；(英、西、意、塞、瑞典)阿戈
potato	 n. [作物] 土豆，[作物] 马铃薯
OK	 adj. 好的；不错的 adv. 行；很好 int. 好；可以 v. 对…表示同意 n. 同意
own	 v. 拥有；承认 adj. 自己的；特有的 n. 自己的
achieve	 v. 取得；获得；实现；成功
full	 adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的 adv. 十分，非常；完全地；整整 v. 把衣服缝得宽大 n. 全部；完整
cooker	 n. 炊具；烹饪用水果；窜改者
discuss	 v. 讨论；论述，辩论
enough	 adv. 足够地，充足地 n. 很多；充足 adj. 充足的 int. 够了！
hill	 n. 小山；丘陵；斜坡；山冈
banana	 n. 香蕉；喜剧演员；大鹰钩鼻
people	 n. 人；人类；民族；公民 v. 居住于；使住满人
notebook	 n. 笔记本，笔记簿；手册
agreement	 n. 协议；同意，一致
review	 n. 回顾；复习；评论；检讨；检阅 v. 回顾；检查；复审
China	 n. 中国 adj. 中国的；中国制造的
it	 pron. [指无生命的东西、动物、植物]它；这；那 abbr. 信息技术information technology
tea	 n. 茶叶；茶树；茶点 vt. 给…沏茶 vi. 喝茶；进茶点
prevent	 v. 预防，防止；阻止
clear	 adj. 清楚的；清澈的；晴朗的；无罪的 v. 通过；清除；使干净；跳过 adv. 清晰地；完全地 n. 清除；空隙
rush	 n. 冲进；匆促；急流；灯心草 adj. 急需的 v. 使冲；突袭；匆忙地做；飞跃
ancient	 adj. 古代的；古老的，过时的；年老的 n. 古代人；老人
handbag	 n. 手提包
suggest	 v. 提议，建议；启发；使人想起；显示；暗示
worth	 adj. 值…的 n. 价值；财产
plane	 n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
three	 n. 三，三个 num. 三 adj. 三的，三个的
greeting	 n. 问候，招呼；祝贺 v. 致敬，欢迎（greet的现在分词）
whatever	 adj. 不管什么样的 pron. 无论什么；诸如此类 conj. 无论什么
repeat	 v. 重复；复制；背诵 n. 重复；副本
January	 n. 一月
orange	 adj. 橙色的；橘色的 n. 橙；橙色；桔子
October	 n. [天] 十月
during	 prep. 在…的时候，在…的期间 n. (During)人名；(法)迪兰；(瑞典、利比)杜林
hamburger	 n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
answer	 v. 回答；符合 n. 回答；答案；答辩
something	 pron. 某事；某物 n. 重要的人；值得重视的事 adv. 非常；有点；大约 adj. 大约；有点象
notice	 n. 通知，布告；注意；公告 v. 通知；注意到；留心
proud	 adj. 自豪的；得意的；自负的 n. (Proud)人名；(英)普劳德
introduce	 v. 介绍；引进；提出；采用
fat	 adj. 肥的，胖的；油腻的；丰满的 n. 脂肪，肥肉 v. 养肥；在…中加入脂肪
beach	 n. 海滩；湖滨 v. 将…拖上岸
ruler	 n. 尺；统治者；[测] 划线板，划线的人
study	 n. 学习，研究；课题；书房；学问 v. 学习；考虑；攻读；细察
sure	 adj. 确信的；可靠的；必定的 adv. 当然；的确 n. (Sure)人名；(英)休尔
pardon	 n. 原谅；赦免；宽恕 v. 原谅；赦免；宽恕
decide	 v. 决定；解决；判决
diary	 n. 日志，日记；日记簿
grandchild	 n. 孙子；孙女；外孙；外孙女
excite	 v. 激起；刺激…，使…兴奋
square	 adj. 平方的；正方形的；直角的；正直的 v. 使成方形；与…一致 n. 平方；广场；正方形 adv. 成直角地
CD	 abbr. 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
century	 n. 世纪，百年；（板球）一百分
suppose	 v. 假设；认为；让（虚拟语气）；推想 conj. 假使…结果会怎样
mention	 v. 提到，谈到；提及，论及；说起 n. 提及，说起
motorcycle	 n. 摩托车；机动车 v. 骑摩托车
radio	 n. 收音机；无线电广播设备 v. 用无线电进行通信
service	 n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 v. 维修，检修；保养
look	 v. 看；期待；注意；面向；看上去像 n. 看；样子；面容
chance	 n. 机会，际遇；运气，侥幸；可能性 v. 偶然发生；冒……的险
by	 prep. 通过；被；依据；经由；在附近；在……之前 adv. 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
rubber	 n. 橡胶；橡皮；合成橡胶；按摩师 adj. 橡胶制成的 v. 涂橡胶于；用橡胶制造
us	 pron. 我们
early	 adj. 早期的；早熟的 adv. 提早；在初期 n. (Early)人名；(英)厄尔利
someone	 pron. 有人，某人
primary	 adj. 主要的；初级的；基本的 n. 原色；最主要者
difference	 n. 差异；不同；争执
whale	 v. 猛揍；使惨败 n. 鲸；巨大的东西
true	 adj. 真实的；正确的 adv. 真实地；准确地 n. 真实；准确 v. 装准
grape	 n. 葡萄；葡萄酒；葡萄树；葡萄色
Indian	 adj. 印度的；印第安人的；印第安语的 n. 印度人；印第安人；印第安语
communicate	 v. 通讯，传达；相通；交流；感染
yard	 n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁 vt. 把…关进或围在畜栏里
secret	 n. 秘密；秘诀；机密 adj. 秘密的；机密的
jump	 n. 跳跃；暴涨；惊跳 v. 跳跃；使跳跃；跳过；突升
I	 pron. 我 n. 碘元素；英语字母I
ant	 n. 蚂蚁
industry	 n. 产业；工业；勤勉
into	 prep. 到…里；深入…之中；成为…状况；进入到…之内 n. (Into)人名；(芬、英)因托
while	 conj. 虽然；然而；当……的时候 n. 一会儿；一段时间 v. 消磨；轻松地度过
wood	 n. 木材；木制品；树林 vi. 收集木材 vt. 植林于；给…添加木柴
behind	 prep. 落后于；支持；晚于 adv. 在后地；在原处 n. 屁股
teacher	 n. 教师；导师
American	 n. 美国人，美洲人；美国英语 adj. 美国的，美洲的；地道美国式的
that	 pron. 那；那个 adv. 那么；那样 conj. 因为；以至于 adj. 那；那个 n. (That)人名；(德)塔特
advertisement	 n. 广告，宣传
task	 v. 分派任务 n. 工作，作业；任务
board	 n. 董事会；木板；甲板；膳食 v. 上（飞机、车、船等）；用板盖上；给提供膳宿
lemonade	 n. 柠檬水
pet	 n. 宠物；生气；受宠爱的人 v. 宠爱 adj. 宠爱的
some	 adj. 一些；某个；大约；相当多的 pron. 一些；若干；其中的一部分；（数量不确切时用）有些人 adv. 非常；相当；<美>稍微
somebody	 n. 大人物；重要人物 pron. 有人；某人
stop	 v. 停止；堵塞；断绝 n. 停止；车站；障碍；逗留
follow	 v. 跟随；遵循；追求；密切注意，注视；注意；倾听 n. 跟随；追随
across	 prep. 穿过；横穿 adv. 横过；在对面
experiment	 v. 尝试；进行实验 n. 实验，试验；尝试
taste	 n. 味道；品味；审美 v. 尝；体验
arrive	 v. 到达；成功；达成；出生 n. (Arrive)人名；(法)阿里夫
tower	 n. 塔；高楼；堡垒 v. 高耸；超越
change	 v. 改变；交换 n. 变化；找回的零钱
passage	 n. 一段（文章）；走廊；通路
company	 n. 公司；陪伴，同伴；连队 v. 交往
city	 n. 城市，都市 adj. 城市的；都会的
ticket	 n. 票；入场券，标签；（美）候选人名单；证明书；交通罚款单 v. 加标签于；指派；对…开出交通违规罚单
ache	 v. 疼痛；渴望 n. 疼痛
knowledge	 n. 知识，学问；知道，认识；学科
hat	 n. 帽子 v. 给……戴上帽子
who	 pron. 谁；什么人
decision	 n. 决定，决心；决议
around	 adv. 大约；到处；在附近 prep. 四处；在…周围
mark	 n. 标志；马克；符号；痕迹；分数 v. 作记号
row	 n. 行，排；划船；街道；吵闹 v. 划船；使……成排
fifth	 adj. 第五的；五分之一的 n. 第五；五分之一 num. 第五
manager	 n. 经理；管理人员
leg	 n. 腿；支柱
old	 adj. 陈旧的，古老的；年老的 n. 古时
bed	 n. 床；基础；河底， 海底 v. 使睡觉；安置，嵌入；栽种
safety	 n. 安全；保险；安全设备；保险装置；安打
library	 n. 图书馆，藏书室；文库
yourself	 pron. 你自己
palace	 n. 宫殿；宅邸；豪华住宅
month	 n. 月，一个月的时间
land	 n. 国土；陆地；地面 v. 使…登陆；使…陷于；将…卸下
last	 n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；仅剩的；最不可能…的 v. 持续；维持，够用；持久 adv. 最后地；上次，最近；最后一点
dear	 adj. 亲爱的；尊敬的；昂贵的 adv. 高价地；疼爱地 int. 哎呀 n. 亲爱的人
western	 adj. 西方的，西部的；有西方特征的 n. 西方人；西部片，西部小说
speech	 n. 演讲；讲话；[语] 语音；演说
birth	 n. 出生；血统，出身；起源
thin	 adj. 薄的；瘦的；稀薄的；微弱的 v. 使瘦；使淡；使稀疏 adv. 稀疏地；微弱地 n. 细小部分
excellent	 adj. 卓越的；极好的；杰出的
bitter	 adj. 苦的；痛苦的；尖刻的；充满仇恨的 n. 苦味；苦啤酒 adv. 激烈地；严寒刺骨地 v. 使变苦
himself	 pron. 他自己；他亲自，他本人
expect	 v. 期望；指望；认为；预料
club	 n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花 v. 用棍棒打；募集 adj. 俱乐部的
snow	 n. 雪，积雪；下雪 v. 降雪
receive	 v. 收到；接待；接纳
mountain	 n. 山；山脉
serious	 adj. 严肃的，严重的；认真的；庄重的；危急的
two	 n. 两个 adj. 两个的 num. 二
normal	 adj. 正常的；正规的，标准的 n. 正常；标准；常态
unless	 conj. 除非，如果不 prep. 除…之外
third	 num. 第三；三分之一 adj. 第三的；三分之一的
cap	 n. 盖；帽子 v. 脱帽致意
law	 n. 法律；规律；法治；法学；诉讼；司法界 vi. 起诉；控告 vt. 控告；对…起诉
playground	 n. 运动场，操场；游乐场
cold	 adj. 寒冷的；冷淡的，不热情的；失去知觉的 n. 寒冷；感冒 adv. 完全地
thread	 n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线 v. 穿过；穿线于；使交织
iron	 n. 熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的
six	 num. 六，六个 n. 六，六个
knock	 v. 敲；打；敲击 n. 敲；敲打；爆震声
art	 n. 艺术；美术；艺术品 adj. 艺术的；艺术品的 v. 是（be的变体）
hurry	 n. 匆忙，急忙 v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理
human	 adj. 人的；人类的 n. 人；人类
rock	 n. 岩石；摇滚乐；暗礁 v. 摇动；使摇晃
another	 adj. 又一，另一；另外的；不同的 pron. 另一个；又一个 prep. 另一个；另一个人
recorder	 n. 录音机；记录器；记录员；八孔直笛
eighteen	 n. 十八，十八个 adj. 十八个的，十八的 num. 十八
recite	 v. 背诵；叙述；列举
kind	 n. 种类；性质 adj. 和蔼的；宽容的；令人感激的
cloudy	 adj. 多云的；阴天的；愁容满面的
background	 n. 背景；隐蔽的位置 v. 作…的背景 adj. 背景的；发布背景材料的
age	 n. 年龄；时代；寿命，使用年限；阶段 v. 成熟；变老
name	 n. 名称，名字；姓名；名誉 v. 命名，任命；指定；称呼；提名；叫出 adj. 姓名的；据以取名的
add	 v. 加；增加；加起来；做加法 n. 加法，加法运算
year	 n. 年；年度；历年；年纪；一年的期间；某年级的学生
prison	 n. 监狱；监禁；拘留所 vt. 监禁，关押
sentence	 n. [语][计] 句子，命题；宣判，判决 v. 判决，宣判
trousers	 n. 裤子，长裤
anyway	 adv. 无论如何，不管怎样；总之
light	 n. 光；光线；灯；打火机；领悟；浅色；天窗 adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的 v. 点着；变亮；着火 adv. 轻地；清楚地；轻便地
offer	 v. 提供；出价；试图 n. 提议；出价；意图；录取通知书
dangerous	 adj. 危险的
red	 n. 红色，红颜料；赤字 adj. 红色的；红肿的，充血的
kilometer	 n. [计量] 公里；[计量] 千米（等于kilometre）
Asia	 n. 亚洲
window	 n. 窗；窗口；窗户
temperature	 n. 温度；体温；气温；发烧
medical	 adj. 医学的；药的；内科的 n. 医生；体格检查
nature	 n. 自然；性质；本性；种类
chopsticks	 n. 筷子
increase	 n. 增加，增长；提高 v. 增加，增大；繁殖
conference	 n. 会议；讨论；协商；联盟；（正式）讨论会；[工会、工党用语]（每年的）大会 vi. 举行或参加（系列）会议
praise	 n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
nor	 conj. 也不；也不是 adv. 也不；也没有 n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺
gym	 n. 健身房；体育；体育馆
wound	 n. 创伤，伤口 v. 使受伤
your	 pron. 你的，你们的
agree	 v. 同意，赞成；承认；约定，商定
question	 n. 问题，疑问；询问；疑问句 v. 询问；怀疑；审问
pilot	 n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
aloud	 adv. 大声地；出声地
eleven	 n. 十一；十一个 adj. 十一的；十一个的 num. 十一；十一个
boring	 adj. 无聊的；令人厌烦的 n. 钻孔 v. 钻孔；使厌烦；挖空（bore的ing形式）
cruel	 adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
nervous	 adj. 神经的；紧张不安的；强健有力的
yes	 adv. 是, 是的 n. 是（表示肯定）
river	 n. 河，江
Australia	 n. 澳大利亚，澳洲
hospital	 n. 医院
training	 n. 训练；培养；瞄准；整枝 v. 训练；教养（train的ing形式）
clone	 n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物 v. 无性繁殖，复制
message	 n. 消息；差使；启示；预言；广告词 v. 报信，报告；[通信] 报文
sixty	 num. 六十；六十个
exercise	 n. 运动；练习；运用；操练；礼拜；典礼 v. 锻炼；练习；使用；使忙碌；使惊恐
village	 n. 村庄；村民；（动物的）群落
safe	 adj. 安全的；可靠的；平安的 n. 保险箱；冷藏室；纱橱
bear	 v. 结果实，开花（正式） n. 熊
sweater	 n. 毛线衣，运动衫；大量出汗的人，发汗剂
game	 n. 游戏；比赛 adj. 勇敢的 v. 赌博
price	 n. 价格；价值；代价 v. 给……定价；问……的价格
Thursday	 n. 星期四
soap	 n. 肥皂 v. 将肥皂涂在……上；对……拍马屁（俚语）
intention	 n. 意图；目的；意向；愈合
action	 n. 行动；活动；功能；战斗；情节
mind	 n. 理智，精神；意见；智力；记忆力 v. 介意；专心于；照料
food	 n. 食物；养料
insist	 v. 坚持，强调
plan	 n. 计划；平面图 v. 计划；设计；打算
farmer	 n. 农夫，农民
mend	 v. 修理，修补；改善；修改 n. 好转，改进；修补处
chest	 n. 胸，胸部；衣柜；箱子；金库
warn	 v. 警告，提醒；通知 n. (Warn)人名；(英)沃恩；(德)瓦恩
eye	 n. 眼睛；视力；眼光；见解，观点 v. 注视，看
speaker	 n. 演讲者；扬声器；说话者；说某种语言的人
piano	 n. 钢琴
medicine	 n. 药；医学；内科；巫术 v. 用药物治疗；给…用药
soldier	 n. 军人；[昆] 兵蚁；懒汉；一片烤面包 v. 当兵；磨洋工；坚持干；假称害病
picnic	 n. 野餐 v. 去野餐
master	 v. 控制；精通；征服 n. 硕士；主人；大师；教师 adj. 主人的；主要的；熟练的
salt	 n. 盐；风趣，刺激性 adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的 v. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化
Australian	 adj. 澳大利亚的，澳大利亚人的 n. 澳大利亚人
score	 n. 分数；二十；配乐；刻痕 v. 获得；评价；划线，刻划；把…记下
tenth	 num. 第十；十分之一 adj. 十分之一的；第十个的
invent	 v. 发明；创造；虚构
else	 adv. 其他；否则；另外 adj. 别的；其他的 n. (Else)人名；(英)埃尔斯；(德)埃尔泽；(芬、丹)埃尔塞
simple	 adj. 简单的；单纯的；天真的 n. 笨蛋；愚蠢的行为；出身低微者
depend	 v. 依赖，依靠；取决于；相信，信赖
truth	 n. 真理；事实；诚实；实质
enter	 v. 进入；开始；参加 n. [计] 输入；回车
when	 conj. 考虑到；既然；当…时；在…时；如果 adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时 pron. 那时；什么时侯 n. 时间，时候；日期；场合
pacific	 adj. 和平的；温和的；平静的 n. 太平洋
side	 n. 方面；侧面；旁边 v. 支持；赞助；偏袒 adj. 旁的，侧的
sister	 n. 姐妹；（称志同道合者）姐妹；修女；护士 adj. 姐妹般的；同类型的
passport	 n. 护照，通行证；手段
London	 n. 伦敦
for	 prep. 为，为了；因为；给；对于；至于；适合于 conj. 因为
large	 adj. 大的；多数的；广博的 adv. 大大地；夸大地 n. 大
use	 n. 使用；用途；发挥 v. 利用；耗费
fine	 adj. 好的；优良的；细小的，精美的；健康的；晴朗的 n. 罚款 v. 罚款；澄清 adv. 很好地；精巧地
