a	 art. 一(个)；每一(个)
metric	 adj. 公制的，米制的
microcomputer	 n. 微型计算机，微机
microphone	 n. 话筒，麦克风
microscope	 n. 显微镜
midday	 n. 正午，中午
middle	 n. 中部 adj. 中部的
midnight	 n. 午夜，子夜，夜半
midst	 n. 中部，中间，当中
might	 v. aux可能，会，也许
mild	 adj. 和缓的；温柔的
mile	 n. 英里
military	 adj. 军事的；军人的
milk	 n. 乳，牛奶 v. 挤(奶)
mill	 n. 磨坊；制造厂
millimetre	 n. 毫米
million	 num. 百万 n. 许多
mind	 n. 头脑；理智；记忆
mine	 pron. 我的
miner	 n. 矿工
mineral	 n. 矿物 adj. 矿物的
minimum	 n. 最小量 adj. 最小的
minister	 n. 部长，大臣；公使
ministry	 n. (政府的)部
minor	 adj. 较小的；较次要的
minority	 n. 少数；少数民族
minus	 adj. 负的 prep. 减(去)
minute	 n. 分，分钟；一会儿
miracle	 n. 奇迹，令人惊奇的人
mirror	 n. 镜子 v. 反映，反射
miserable	 adj. 痛苦的，悲惨的
mislead	 v. 使误入岐途
miss	 n. 小姐
missile	 n. 发射物；导弹
missing	 adj. 缺掉的，失去的
mission	 n. 使命，任务；使团
mist	 n. 薄雾
mistake	 n. 错误 v. 误解，弄错
Mister	 n. 先生
mistress	 n. 女主人；夫人
misunderstand	 v. 误解，误会，曲解
mix	 v. 使混合，混淆
mixture	 n. 混合；混合物
moan	 n. 呻吟声 v. 呻吟
mobile	 adj. 运动的；流动的
mode	 n. 方式，样式
model	 n. 模型；模式；模特儿
moderate	 adj. 温和的；有节制的
modern	 adj. 现代的，近代的
modest	 adj. 有节制的；谦虚的
modify	 v. 更改，修改；修饰
moist	 adj. 湿润的；多雨的
moisture	 n. 潮湿，湿气；温度
molecule	 n. 分子，克分子
moment	 n. 片刻，瞬间，时刻
Monday	 n. 星期一
money	 n. 货币；金钱，财富
monitor	 n. 班长；监视器
monkey	 n. 猴子，猿
month	 n. 月，月份
monthly	 adj. 每月的 adv. 每月
monument	 n. 纪念碑；纪念馆
mood	 n. 心情，情绪；语气
moon	 n. 月球，月亮；卫星
moral	 adj. 道德的；合乎道德的
more	 adj. 更多的 adv. 更
moreover	 adv. 再者，加之，此外
morning	 n. 早晨，上午
mortal	 adj. 终有一死的；致死的
mosquito	 n. 蚊子
most	 adj. 最多的 adv. 最，很
mostly	 adv. 主要的，大部分
mother	 n. 母亲，妈妈
motion	 n. 运动；手势；提议
motivate	 v. 促动；激励，激发
motive	 n. 动机，目的
motor	 n. 发动机；机动车
mould	 n. 模子，模型 v. 浇铸
mount	 v. 登上，爬上 n. …山
mountain	 n. 山，山岳；山脉
mourn	 v. 哀痛，哀悼
mouse	 n. 鼠，耗子
mouth	 n. 嘴，口，口腔
mouthful	 n. 满口，一口，少量
move	 v. 移动；感动 n. 动
movement	 n. 动作，活动；移动
movie	 n. 电影；电影院
much	 adv. 非常，很 adj. 许多的
mud	 n. 软泥，泥浆
muddy	 adj. 多泥的，泥泞的
mug	 n. 大杯
multiple	 adj. 复合的；并联的
multiply	 v. 使增加；乘
murder	 n&vi. 谋杀，凶杀
murderer	 n. 杀人犯，凶手
muscle	 n. 肌肉，肌；体力
museum	 n. 博物馆；展览馆
mushroom	 n. 蘑菇，菌类植物
music	 n. 音乐，乐曲，乐谱
musical	 adj. 音乐的；和谐的
musician	 n. 音乐家；作曲家
must	 v. aux必须；必然要
mute	 adj. 缄默的 n. 哑巴
mutter	 v. 轻声低语；抱怨
mutton	 n. 羊肉
mutual	 adj. 相互的；共同的
my	 pron. 我的
myself	 pron. 我自己；我亲自
mysterious	 adj. 神秘的；难以理解的
mystery	 n. 神秘；神秘的事物
nail	 n. 钉；指甲 v. 钉
naked	 adj. 裸体的；无遮敝的
name	 n. 名字；名誉 v. 说出
namely	 adv. 即，也就是
nap	 n. 小睡，打盹，瞌睡
narrow	 adj. 狭的，狭窄的
nasty	 adj. 龌龊的；淫猥的
nation	 n. 民族；国家
national	 adj. 民族的；国家的
nationality	 n. 国籍；民族，族
native	 adj. 本土的 n. 本地人
natural	 adj. 自然界的；天然的
naturally	 adv. 自然地；天然地
nature	 n. 大自然；本性；性质
naughty	 adj. 顽皮的，淘气的
naval	 adj. 海军的，军舰的
navigation	 n. 航行；航海术；导航
navy	 n. 海军
near	 adv. 近，接近 adj. 近的
nearby	 adj. 附近的 adv. 在附近
nearly	 adv. 差不多；密切地
neat	 adj. 整洁的；熟练的
necessarily	 adv. 必然，必定
necessary	 adj. 必要的；必然的
necessity	 n. 必要性；必然性
neck	 n. 颈，脖子
necklace	 n. 项链，项圈
need	 v. 需要 v. aux需要
needle	 n. 针，缝补，编织针
needless	 adj. 不需要的
negative	 adj. 否定的；消极的
neglect	 v. 忽视，忽略；疏忽
Negro	 n. 黑人
neighbour	 n. 邻居，邻国，邻人
neighbourhood	 n. 邻居关系；邻近
neither	 adj. (两者)都不的
nephew	 n. 侄子，外甥
nerve	 n. 神经；勇敢，胆量
nervous	 adj. 神经的；易激动的
nest	 n. 巢，窝，穴
net	 n. 网，网状物；通信网
network	 n. 网状物；网络
neutral	 adj. 中立的；中性的
never	 adv. 永不，决不；不
nevertheless	 conj. 然而 adv. 仍然
new	 adj. 新的；新近出现的
newly	 adv. 新近，最近
news	 n. 新闻，消息
newspaper	 n. 报纸，报
next	 adj. 紧接的；贴近的
nice	 adj. 美好的，令人愉快的
niece	 n. 侄女，外甥女
night	 n. 夜，夜间
nine	 num. 九，九个
nineteen	 num. 十九，十九个
ninety	 num. 九十，九十个
ninth	 num. 第九；九分之一
nitrogen	 n. 氮
no	 adv. 不；并不 adj. 没有
noble	 adj. 贵族的；高尚的
nobody	 pron. 谁也不；无人
nod	 v. 点(头)；点头表示
noise	 n. 喧闹声；响声；噪声
noisy	 adj. 嘈杂的；喧闹的
none	 pron. 没有人 adv. 毫不
nonsense	 n. 胡说，废话
noon	 n. 正午，中午
nor	 conj. 也不；不
normal	 adj. 正常的，普通的
normally	 adv. 通常，正常地
north	 n. 北，北方 adj. 北方的
northeast	 n. 东北 adj. 位于东北的
northern	 adj. 北方的，北部的
northwest	 n. 西北 adj. 位于西北的
nose	 n. 鼻子；突出部分
not	 adv. 不，没有
note	 n. 笔记；便条；注释
notebook	 n. 笔记本，期票簿
nothing	 n. 没有东西 adv. 毫不
notice	 v. 注意 n. 通知；注意
noticeable	 adj. 显而易见的；重要的
noun	 n. 名词
novel	 n. 小说 adj. 新的
November	 n. 十一月
now	 adv. 现在；立刻；于是
nowadays	 adv. 现今，现在
nowhere	 adv. 任何地方都不
nuclear	 adj. 原子核的；核心的
nucleus	 n. 核，核心；(原子)核
nuisance	 n. 讨厌的东西
number	 n. 数，数字；号码
numerous	 adj. 为数众多的；许多
nurse	 n. 保姆；护士 v. 看护
nursery	 n. 托儿所；苗圃
nut	 n. 坚果，干果；螺母
nylon	 n. 尼龙，耐纶
oak	 n. 栎属植物；栎木
oar	 n. 浆，橹
obey	 v. 顺从 v. 服从
object	 n. 物，物体；目的
objection	 n. 反对，异议；不喜欢
objective	 adj. 客观的；无偏见的
oblige	 v. 迫使；施恩惠于
observation	 n. 注意；观察；观察力
observe	 v. 遵守；看到；说
observer	 n. 观察员，观测者
obstacle	 n. 障碍，障碍物，妨害
obtain	 v. 获得，得到，买到
obvious	 adj. 明显的，显而易见的
obviously	 adv. 明显地，显然地
occasion	 n. 场合，时刻；时机
occasional	 adj. 偶然的；临时的
occasionally	 adv. 偶然；非经常地
occupation	 n. 占领，占据；职业
occupy	 v. 占领；占，占有
occur	 v. 发生；出现，存在
occurrence	 n. 发生，出现；事件
ocean	 n. 海洋；洋
Oceania	 n. 大洋洲
October	 n. 十月
odd	 adj. 奇数的；单只的
odour	 n. 气味，香气；味道
of	 prep. …的；由于
off	 adv. (离)开；(停)止
offend	 v. 冒犯 v. 犯过错
offer	 v. 提供；提出 n. 提供
office	 n. 办公室；处，局，社
officer	 n. 官员；干事；军官
official	 adj. 官员的；官方的
often	 adv. 经常，常常
oh	 int. 嗬，哦，唉呀
oil	 n. 油；石油 v. 加油于
okay	 (缩作OK)a&ad. 对，好
old	 adj. 老的；…岁的
omit	 v. 省略，省去；遗漏
on	 prep. 在…上；在…旁
once	 adv. 一次；曾经 n. 一次
one	 num. 一 pron. 一个人
oneself	 pron. 自己；亲自
onion	 n. 洋葱，洋葱头
only	 adv. 只，仅仅 adj. 唯一的
onto	 prep. 到…上
open	 adj. 开的；开放的 v. 开
opening	 adj. 开始的 n. 开始
opera	 n. 歌剧
operate	 v. 操作；施行手术
operation	 n. 操作；手术；运算
operational	 adj. 操作上的；可使用的
operator	 n. 操作人员，接线员
opinion	 n. 意见，看法，主张
opponent	 n. 对手，敌手；对抗者
opportunity	 n. 机会，良机
oppose	 v. 反对；反抗
opposite	 adj. 对面的 n. 对立物
oppress	 v. 压迫，压制；压抑
optical	 adj. 眼的；光学的
optimistic	 adj. 乐观的；乐观主义的
option	 n. 选择，选择权
optional	 adj. 可以任意选择的
or	 conj. 或，或者；即
oral	 adj. 口头的；口的
orange	 n. 橙(树)；柑(树)
orbit	 n. 运行轨道 v. 环绕
orchestra	 n. 管弦乐队
order	 n. 次序；整齐 v. 命令
orderly	 adj. 整洁的；有秩序的
ordinary	 adj. 平常的；平凡的
ore	 n. 矿，矿石，矿砂
organ	 n. 器官；机构；管风琴
organic	 adj. 有机体的；器官的
organism	 n. 生物体；有机体
organization	 n. 组织；团体，机构
organize	 v. 组织，编组
oriental	 adj. 东方的；东方国家的
origin	 n. 起源，由来；出身
original	 adj. 最初的；新颖的
ornament	 n. 装饰物；装饰
orphan	 n. 孤儿
other	 adj. 另外的；其余的
otherwise	 adv. 另外；要不然
ought	 v. aux应当，应该
ounce	 n. 盎司，英两
our	 pron. 我们的
ours	 pron. 我们的
ourselves	 pron. 我们自己
out	 adv. 出，在外；现出来
outcome	 n. 结果，后果，成果
outdoor	 adj. 户外的，室外的
outdoors	 adv. 在户外，在野外
outer	 adj. 外部的，外面的
outlet	 n. 出口，出路；排遣
outline	 n. 轮廓；略图；大纲
outlook	 n. 观点，看法；展望
output	 n. 产量；输出量；输出
outset	 n. 开始，开端
outside	 n. 外部；外表a外部的
outskirt	 n. 外边，郊区
outstanding	 adj. 突出的，杰出的
outward	 adj. 外面的；向外的
outwards	 adv. 向外，往海外
oven	 n. 炉，灶；烘箱
over	 prep. 在…上方；超过
overall	 n. 工装裤 adj. 全面的
overcoat	 n. 外衣，大衣
overcome	 v. 战胜，克服
overhead	 adj. 在头顶上的；架空的
overlook	 v. 眺望；看漏；放任
overnight	 adv. 一夜；突然
overseas	 adv. 海外 adj. 在海外的
overtake	 v. 追上，赶上；压倒
overtime	 adj. 超时的，加班的
owe	 v. 欠；应把…归功于
owl	 n. 猫头鹰，枭
own	 adj. 自己的 v. 有，拥有
owner	 n. 物主，所有人
ownership	 n. 所有(权)，所有制
ox	 n. 牛；公牛，阉牛
pace	 n. 步，步速 v. 踱步
pacific	 adj. 和平的 n. 太平洋
pack	 v. 捆扎；挤满 n. 包
package	 n. 包裹，包，捆
packet	 n. 小包(裹)，小捆
pad	 n. 垫；本子 v. 填塞
page	 n. 页
pain	 n. 痛，疼痛；辛苦
painful	 adj. 使痛的；费力的
paint	 v. 画；油漆 v. 绘画
painter	 n. 漆工，画家，绘画者
painting	 n. 油画；绘画；着色
pair	 n. 一对 v. 成对，配对
palace	 n. 宫，宫殿
pale	 adj. 苍白的；浅的
palm	 n. 手掌，手心；掌状物
pan	 n. 平底锅，盘子
panel	 n. 专门小组；面，板
paper	 n. 纸；官方文件；文章
parade	 n. 游行；检阅 v. 游行
paragraph	 n. (文章的)段，节
parallel	 adj. 平行的；相同的
parcel	 n. 包裹，小包，邮包
pardon	 n. 原谅；赦免 v. 原谅
parent	 n. 父亲，母亲，双亲
park	 n. 公园；停车场
parliament	 n. 议会，国会
part	 n. 一部分；零件；本份
partial	 adj. 部分的；不公平的
participate	 v. 参与，参加；分享
particle	 n. 粒子，微粒
particular	 adj. 特殊的；特定的
particularly	 adv. 特别，尤其，格外
partly	 adv. 部分地，不完全地
partner	 n. 伙伴；搭挡；配偶
party	 n. 党，党派；聚会
pass	 v. 经过；通过；度过
passage	 n. 通过；通路，通道
passenger	 n. 乘客，旅客，过路人
passion	 n. 激情，热情；爱好
passive	 adj. 被动的；消极的
passport	 n. 护照
past	 adj. 过去的 n. 过去
paste	 n. 糊，酱；浆湖
pat	 n&vt&n. 轻拍
patch	 n. 补钉；碎片 v. 补缀
path	 n. 路，小道；道路
patience	 n. 忍耐，容忍，耐心
patient	 adj. 忍耐的 n. 病人
pattern	 n. 型，式样，模，模型
pause	 n&vi. 中止，暂停
paw	 n. 脚爪，爪子
pay	 v. 支付；付给；给予
payment	 n. 支付，支付的款项
pea	 n. 豌豆；豌豆属植物
peace	 n. 和平；和睦；平静
peaceful	 adj. 和平的；安静的
peach	 n. 桃子，桃树
peak	 n. 山顶，巅 adj. 最高的
pear	 n. 梨子，梨树
peasant	 n. 农民
peculiar	 adj. 特有的；特别的
pen	 n. 钢笔，自来水笔
pencil	 n. 铅笔
penetrate	 vt. 穿过 vi. 穿入
penny	 n. (英)便士；(美)分
people	 n. 人民，民族；人
per	 prep. 每
perceive	 v. 察觉，发觉；理解
percent	 n. 百分之…
percentage	 n. 百分比，百分率
perfect	 adj. 完美的；完全的
perform	 v. 履行，执行；演出
performance	 n. 履行；演出；行为
perhaps	 adv. 也许，可能，多半
period	 n. 时期；学时；句号
permanent	 adj. 永久的，持久的
permission	 n. 允许，许可，同意
permit	 v. 允许 n. 执照
persist	 v. 坚持，固执；持续
person	 n. 人；人身；本人
personal	 adj. 个人的；本人的
personnel	 n. 全体人员，全体职员
perspective	 n. 透视；远景；观点
persuade	 v. 说服 v. 被说服
pessimistic	 adj. 悲观的；厌世的
pet	 n. 爱畜；宠儿a宠爱的
petrol	 n. (英)汽油
petroleum	 n. 石油
phase	 n. 阶段；方面；相位
phenomenon	 n. 现象
philosopher	 n. 哲学家
philosophy	 n. 哲学；哲理；人生观
phone	 n. 电话，电话机；耳机
photo	 n. 照片，相片
photograph	 n. 照片，相片
phrase	 n. 短语；习惯用语
physical	 adj. 物质的；物理的
physician	 n. 医生，内科医生
physicist	 n. 物理学家
physics	 n. 物理学
piano	 n. 钢琴
pick	 n. 镐，鹤嘴锄
picnic	 n. 郊游，野餐 v. 野餐
picture	 n. 画，图片 v. 画
pie	 n. (西点)馅饼
piece	 n. 碎片，块 v. 拼合
pierce	 v. 剌穿 v. 穿入
pig	 n. 猪，小猪，野猪
pigeon	 n. 鸽子
pile	 n. 堆 v. 堆叠，累积
pill	 n. 药丸，丸剂
pillar	 n. 柱，柱子；栋梁
pillow	 n. 枕头
pilot	 n. 领航员；飞行员
pin	 n. 针，饰针 n. 别住
pinch	 v. 捏，拧，掐掉
pine	 n. 松树，松木
pink	 n. 粉红色 adj. 粉红色的
pint	 n. 品脱
pioneer	 n. 拓荒者；先驱者
pipe	 n. 管子，导管；烟斗
pit	 n. 坑，地坑；煤矿
pitch	 n. 沥青
pity	 n. 怜悯；遗憾 v. 同情
place	 n. 地方，地点；住所
plain	 n. 平原 adj. 清楚的
plan	 n&vt. 计划，打算
plane	 n. 平面；飞机
planet	 n. 行星
plant	 n. 植物；工厂 v. 栽种
plantation	 n. 种植园；栽植
plastic	 adj. 可塑的 n. 塑料
plate	 n. 板，片，盘 v. 电镀
platform	 n. 平台；站台；讲台
play	 v. 玩，游戏；演奏
player	 n. 游戏的人；比赛者
playground	 n. 操场，运动场
pleasant	 adj. 令人愉快的，舒适的
please	 v. 使高兴，请vi满意
pleasure	 n. 愉快，快乐；乐事
plentiful	 adj. 丰富的，富裕的
plenty	 n. 丰富，充足，大量
plot	 n. 小块土地 v. 密谋
plough	 n. 犁 vt&vi. 犁，耕
plug	 n. 塞子；插头 v. 塞
plunge	 v. 使投入；使陷入
plural	 adj. 复数的 n. 复数
plus	 prep. 加，加上 adj. 正的
pocket	 n. 衣袋 n. 袖珍的
poem	 n. 诗，韵文，诗体文
poet	 n. 诗人
poetry	 n. 诗，诗歌，诗作
point	 n. 点；要点；细目；分
poison	 n. 毒，毒药 v. 毒害
poisonous	 adj. 有毒的，有害的
pole	 n. 杆，柱
police	 n. 警察；警察当局
policeman	 n. 警察
policy	 n. 政策，方针
polish	 v. 磨光；使优美
polite	 adj. 有礼貌的；有教养的
political	 adj. 政治的，政治上的
politician	 n. 政治家；政客
politics	 n. 政治，政治学；政纲
pollute	 v. 弄脏，污染，沾污
pollution	 n. 污染
pond	 n. 池塘
pool	 n. 水塘，游泳池，水池
poor	 adj. 贫穷的；贫乏的
pop	 n. 流行音乐，流行歌曲
popular	 adj. 民众的；流行的
population	 n. 人口；全体居民
pork	 n. 猪肉
port	 n. 港，港口
portable	 adj. 轻便的；手提的
porter	 n. 搬运工人
portion	 n. 一部分；一分
portrait	 n. 消像，画像
position	 n. 位置；职位；姿势
positive	 adj. 确定的；积极的
possess	 v. 占用，拥有(财产)
possession	 n. 有，所有；占有物
possibility	 n. 可能；可能的事
possible	 adj. 可能的；可能存在的
possibly	 adv. 可能地；也许
post	 n. 柱，桩，杆 v. 贴出
postage	 n. 邮费，邮资
postman	 n. 邮递员
postpone	 v. 延迟，推迟，延缓
pot	 n. 锅，壶，罐，盆
potato	 n. 马铃薯，土豆
potential	 adj. 潜在的 n. 潜力
pound	 n. 磅；英磅
pour	 v. 灌，倒 v. 倾泻
poverty	 n. 贫穷，贫困
powder	 n. 粉末；药粉；火药
power	 n. 能力；力；权；幂
powerful	 adj. 强有力的；有权威的
practical	 adj. 实践的；实用的
practically	 adv. 实际上；几乎
practice	 n. 实践；练习；业务
practise	 v. 练习，实习，训练
praise	 n. 赞扬，赞美 v. 赞扬
pray	 vt&vi. 请求；祈祷
precaution	 n. 预防；警惕
preceding	 adj. 在前的；在先的
precious	 adj. 珍贵的，宝贵的
precise	 adj. 精确的，准确的
precision	 n. 精确，精密，精密度
predict	 v. 预言，预告，预测
preface	 n. 序言，前言，引语
prefer	 v. 宁可，宁愿
preferable	 adj. 更可取的，更好的
preference	 n. 偏爱，优先；优先权
prejudice	 n. 偏见，成见
preliminary	 adj. 预备的，初步的
preparation	 n. 准备，预备；制备
prepare	 vt&vi. 准备，预备
preposition	 n. 前置词，介词
prescribe	 v. 命令；处(方)
presence	 n. 出席，到场；在
present	 adj. 现在的 n. 目前
presently	 adv. 一会儿；目前
preserve	 v. 保护；保存；腌渍
president	 n. 总统；校长；会长
press	 v. 压，按，揿；催促
pressure	 n. 压力；压力；压，按
pretend	 v. 假托，借口vi假装
pretty	 adj. 漂亮的，标致的
prevail	 v. 胜，优胜；流行
prevent	 v. 预防，防止；阻止
previous	 adj. 先的；前的 adv. 在前
price	 n. 价格，价钱；代价
pride	 n. 骄傲；自豪 v. 自夸
primarily	 adv. 首先；主要地
primary	 adj. 最初的；基本的
prime	 adj. 首要的 n. 春，青春
primitive	 adj. 原始的；粗糙的
prince	 n. 王子，亲王
princess	 n. 公主，王妃
principal	 adj. 主要的 n. 负责人
principle	 n. 原则，原理；主义
print	 v. 印刷 n. 印刷；正片
prior	 adj. 在先的；优先的
prison	 n. 监狱，监禁
prisoner	 n. 囚犯
private	 adj. 私人的；私下的
privilege	 n. 特权，优惠
prize	 n. 奖赏，奖金 v. 珍视
probability	 n. 可能性；概率
probable	 adj. 或有的；大概的
probably	 adv. 或许，大概
problem	 n. 问题；习题，问题
procedure	 n. 程序；手续；过程
proceed	 v. 进行；继续进行
process	 n. 过程；工序 v. 加工
procession	 n. 队伍，行列
produce	 v. 生产；产生；展现
product	 n. 产品，产物；(乘)积
production	 n. 生产；产品；总产量
profession	 n. 职业
professional	 adj. 职业的 n. 专业人员
professor	 n. 教授
profit	 n. 益处；利润 v. 得益
program	 n. 节目单；大纲；程序
progress	 n. 前进，进展；进步
progressive	 adj. 进步的；向前进的
prohibit	 v. 禁止，阻止
project	 n. 方案，工程 v. 伸出
prominent	 adj. 实起的；突出的
promise	 n. 诺言；指望 v. 允诺
promote	 v. 促进，发扬；提升
prompt	 adj. 及时的 v. 敦促
pronoun	 n. 代名词
pronounce	 v. 发…的音；宣布
pronunciation	 n. 发音，发音法
proof	 n. 证据；证明；校样
proper	 adj. 适合的；合乎体统的
property	 n. 财产，资产；性质
proportion	 n. 比，比率，部分
proportional	 adj. 比例的；相称的
proposal	 n. 提议，建议；求婚
propose	 v. 提议 v. 求婚
prospect	 n. 展望；前景，前程
prosperity	 n. 繁荣；昌盛，兴旺
prosperous	 adj. 繁荣的，昌盛的
protect	 v. 保护，保卫，警戒
protection	 n. 保护，警戒
protective	 adj. 保护的，防护的
protein	 n. 蛋白质，朊
protest	 vt&vi&n. 抗议
proud	 adj. 骄傲的；自豪的
prove	 v. 证明 v. 结果是
provide	 v. 提供；装备，供给
provided	 conj. 以…为条件
province	 n. 省；领域，部门
provision	 n. 供应；预备；存粮
psychological	 adj. 心理的，心理学的
public	 adj. 公众的 n. 公众
publication	 n. 公布；出版；出版物
publish	 v. 公布；发表；出版
pull	 v. 拉，拖；拉，拉力
pulse	 n. 脉搏；脉冲，脉动
pump	 n. 泵 v. 用抽机抽
punch	 v. 冲出 n. 冲压机
punctual	 adj. 严守时刻的；准时的
punish	 v. 罚，惩罚，处罚
pupil	 n. 学生，小学生
purchase	 n. 买，购买 v. 买
pure	 adj. 纯粹的；纯洁的
purple	 n. 紫色 adj. 紫的
purpose	 n. 目的；意图；效果
purse	 n. 钱包，小钱袋，手袋
pursue	 v. 追赶，追踪；进行
push	 v. 推，逼迫 v. 推
put	 v. 放，摆；使处于
puzzle	 n. 难题；谜 v. 使迷惑
qualify	 v. 使具有资格
quality	 n. 质量；品质，特性
quantity	 n. 量，数量，分量
quarrel	 n. 争吵，吵架，口角
quarter	 n. 四分之一；一刻钟
queen	 n. 王后；女王
question	 n. 发问；问题；疑问
queue	 n. 行列 v. 排队等候
quick	 adj. 快的；敏捷的
quiet	 adj. 寂静的；安静的
quit	 v. 离开，退出；停止
quite	 adv. 完全；相当；的确
quotation	 n. 引用；引文；报价单
quote	 v. 引用，引证；报价
rabbit	 n. 兔子，野兔
race	 n. 比赛，竞赛，竞争
racial	 adj. 种族的，人种的
rack	 n. 搁物架；行李架
radar	 n. 雷达，无线电探测器
radiation	 n. 放射，发射；辐射能
radio	 n. 无线电；收音机
radioactive	 adj. 放射性的
radius	 n. 半径
rag	 n. 破布，碎布，抹布
rail	 n. 横条，横杆；铁轨
railroad	 n. 铁路 v. 由铁路运输
railway	 n. 铁路，铁道
rain	 n. 雨，雨水 v. 下雨
rainbow	 n. 虹，彩虹
rainy	 adj. 下雨的，多雨的
raise	 v. 举起；引起；提高
range	 n. 排，行；山脉；范围
rank	 n. 排，横行；社会阶层
rapid	 adj. 快的 n. 急流
rare	 adj. 稀薄的；稀有的
rarely	 adv. 很少，难得
rat	 n. 老鼠，耗子
rate	 n. 比率；速度；价格
rather	 adv. 宁可，宁愿；相当
ratio	 n. 比，比率
rational	 adj. 理性的；出于理性的
raw	 adj. 未煮过的；未加工的
ray	 n. 光线，射线，辐射线
reach	 v. 抵达；伸出vi达到
react	 v. 起反应；有影响
reaction	 n. 反应；反作用
read	 v. 读，看懂 v. 读
reader	 n. 读者；读物，读本
reading	 n. 读，阅读；读书
ready	 adj. 准备好的；愿意的
real	 adj. 真的；现实的
reality	 n. 现实；真实
realize	 v. 实现；认识到
really	 adv. 真正地；实在
realm	 n. 王国，国土；领域
rear	 n. 后部，后面；背面
reason	 n. 理由；理性 v. 推理
reasonable	 adj. 合情合理的；公道的
rebel	 v. 造反 n. 造反者
recall	 v. 回想；叫回；收回
receipt	 n. 收到；收条，收据
receive	 v. 收到；得到；接待
receiver	 n. 收受者，收件人
recent	 adj. 新近的，最近的
recently	 adv. 最近，新近
reception	 adj. 接待；招待会；接受
recognition	 n. 认出，识别；承认
recognize	 v. 认识，认出；承认
recommend	 v. 推荐，介绍；劝告
recommendation	 n. 推荐，介绍；劝告
record	 n. 记录；履历 v. 记录
recorder	 n. 记录者；录音机
recover	 v. 重新获得；挽回
recovery	 n. 重获；痊愈，恢复
red	 adj. 红色的 n. 红色
reduce	 v. 减少，减小；简化
reduction	 n. 减少，减小，缩减
refer	 v. 使求助于 v. 谈到
reference	 n. 参考；出处；提及
refine	 vt&vi. 精炼，提纯
reflect	 v. 反射；反映；思考
reflection	 n. 反射；映象；反映
reflexion	 n. 反射；映象；反映
reform	 vt&n. 改革，改良
refresh	 v. 使清新vi恢复精神
refrigerator	 n. 冰箱，冷藏库
refusal	 n. 拒绝
refuse	 v. 拒绝 v. 拒绝
regard	 v. 把…看作；尊敬
regarding	 prep. 关于
regardless	 adv. 不顾一切地
region	 n. 地区，地带；领域
register	 n&vt. 登记，注册
regret	 v. 懊悔；抱歉 n. 懊悔
regular	 adj. 规则的；整齐的
regulate	 v. 管理，控制；调整
regulation	 n. 规则，规章；管理
reinforce	 v. 增援，支援；加强
reject	 v. 拒绝；丢掉；驳回
relate	 v. 叙述；使联系
relation	 n. 关系，联系；家属
relationship	 n. 关系，联系
relative	 adj. 有关系的；相对的
relativity	 n. 相关性；相对性
relax	 v. 使松弛 v. 松弛
release	 v. 释放；放松；发表
relevant	 adj. 有关的，贴切的
reliability	 n. 可靠性
reliable	 adj. 可靠的，可信赖的
relief	 n. 减轻；救济；援救
relieve	 v. 减轻，解除；救济
religion	 n. 宗教；宗教信仰
religious	 adj. 宗教的；虔诚的
reluctant	 adj. 不愿的，勉强的
rely	 v. 依赖，依靠；信赖
remain	 v. 剩下，余留；保持
remark	 vt&vi&n. 评论，谈论
remarkable	 adj. 异常的，非凡的
remedy	 n&vt. 治疗；补救
remember	 v. 记得，想起；记住
remind	 v. 提醒，使想起
remote	 adj. 相隔很远的；冷淡的
removal	 n. 移动；迁移；除掉
remove	 v. 移动，搬开；脱掉
render	 v. 表示，给予；使得
renew	 v. 使更新 v. 更新
rent	 n. 租金，租 v. 出租
repair	 vt&n. 修理，修补
repeat	 v. 重说，重做 n. 重复
repeatedly	 adv. 重复地；一再
repetition	 n. 重复，反复
reply	 vi&n. 回答，答复
report	 vt&vi. 报告；汇报
reporter	 n. 记者，通讯员
represent	 v. 描绘；代表；象征
representative	 adj. 代表性的 n. 代表
reproduce	 vt&vi. 繁殖，生殖
republic	 n. 共和国，共和政体
reputation	 n. 名誉，名声；好名声
request	 n&v. 请求，要求
require	 v. 需要；要求，命令
requirement	 n. 需要；要求
rescue	 v. 营救，解救，救援 n. 营救，解救，救援
resemble	 v. 像，类似
reserve	 v. 储备，保留；预定
reservior	 n. 水库；蓄水池
residence	 n. 居住；驻扎；住处
resident	 adj. 居住的 n. 居民
resign	 v. 放弃 v. 辞职
resist	 vt&vi. 抵抗，抵制
resistance	 n. 抵抗；抵制；抵抗力
resistant	 adj. 抵抗的，反抗的
resolution	 n. 坚决，坚定；决定
resolve	 v. 解决；决心 n. 决心
resort	 vi&n. 求助，凭借;诉诸于
respective	 adj. 各自的，各个的
respectively	 adv. 各自地，分别地
respond	 v. 作答；响应
response	 n. 作答，回答；响应
restless	 adj. 不安定的，焦虑的
restore	 v. 恢复；归还；修补
restrain	 v. 抑制，遏制；限制
restraint	 n. 抑制；遏制；克制
restrict	 v. vt限制，限定，约束
resume	 v. 恢复；重新开始
retain	 v. 保持，保留，保有
retire	 v. 退下；引退；就寝
retreat	 v. (被迫)退却，后退
reveal	 v. 展现；揭示，揭露
reverse	 v. 颠倒，翻转 n. 背面
review	 v. 再检查 n. 复习
revise	 v. 修订，校订；修改
revolt	 vi&n. 反抗，造反
revolution	 n. 革命；旋转，绕转
revolutionary	 adj. 革命的 n. 革命者
reward	 n. 报答；报酬 v. 报答
