pharmacy	 n. 药房；配药学，药剂学；制药业；一批备用药品
parcel	 n. 包裹，小包 v. 打包；捆扎
deed	 n. 行动；功绩；证书；[法] 契据 vt. 立契转让
principal	 adj. 主要的；资本的 n. 首长；校长；资本；当事人
government	 n. 政府；政体；管辖
slow	 adj. 慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛
engine	 n. 引擎，发动机；机车，火车头；工具
taxable	 adj. 应纳税的；可征税的
refreshment	 n. 点心；起提神作用的东西；精力恢复
launder	 v. 洗涤；清洗；洗黑钱（把来路可疑的钱弄得貌似合法） n. 流水槽
portfolio	 n. 公文包；文件夹；证券投资组合；部长职务
plate	 n. 碟；金属板；金属牌；感光底片 v. 电镀；给…装甲
courier	 n. 导游；情报员，通讯员；送快信的人
image	 n. 影像；想象；肖像；偶像 v. 想象；反映；象征；作…的像
papers	 n. 文件；证件；论文数
capitalize	 v. 使资本化；以大写字母写；估计…的价值
postcard	 n. 明信片
withstand	 v. 抵挡；禁得起；反抗
ratio	 n. 比率，比例
aim	 v. 目的在于；引导；把…对准 n. 目的；目标；对准
explicit	 adj. 明确的；清楚的；直率的；详述的
reservation	 n. 预约，预订；保留
retain	 v. 保持；雇；记住
air	 n. 空气，大气；天空；样子；曲调 v. 使通风，晾干；夸耀
bearish	 adj. 粗暴的；如熊的；股票看跌的
immense	 adj. 巨大的，广大的；无边无际的；非常好的
introduction	 n. 介绍；引进；采用；入门；传入
review	 n. 回顾；复习；评论；检讨；检阅 v. 回顾；检查；复审
retail	 v. 零售；转述 n. 零售 adv. 以零售方式 adj. 零售的
blackout	 n. 灯火管制；灯火熄灭；暂时的意识丧失
idea	 n. 想法；主意；概念
superior	 adj. 上级的；优秀的，出众的；高傲的 n. 上级，长官；优胜者，高手；长者
raise	 v. 提高；筹集；养育；升起 n. 高地；上升；加薪
satisfy	 v. 令人满意；令人满足
peak	 n. 山峰；最高点；顶点；帽舌 v. 使达到最高点；使竖起 adj. 最高的；最大值的
exclusive	 adj. 独有的；排外的；专一的 n. 独家新闻；独家经营的项目；排外者
indicate	 v. 表明；指出；预示；象征
servant	 n. 仆人，佣人；公务员；雇工
petroleum	 n. 石油
aid	 n. 援助；帮助；助手；帮助者 v. 援助；帮助；有助于
rewarding	 adj. 有益的，值得的；有报酬的，报答的
endow	 v. 赋予；捐赠；天生具有
leave	 v. 离开；留下；遗忘；委托 n. 许可，同意；休假
mad	 adj. 疯狂的；发疯的；愚蠢的；着迷的 n. 狂怒
leasehold	 n. 租赁；租赁权 adj. 租赁的
current	 adj. 现在的；流通的，通用的；最近的；草写的 n. （水，气，电）流；趋势；涌流
runaway	 adj. 逃亡的；逃走的 n. 逃跑；逃走的人
biennial	 adj. 两年一次的 n. [植] 二年生植物
finances	 n. 资产；财源
sheer	 adj. 绝对的；透明的；峻峭的；纯粹的 adv. 完全；陡峭地 v. 偏航 n. 偏航；透明薄织物
logistics	 n. [军] 后勤；后勤学
loom	 n. 织布机；若隐若现的景象 v. 可怕地出现；朦胧地出现；隐约可见
fasten	 v. 使固定；集中于；扎牢；强加于 n. (Fasten)人名；(英)法森
bear	 v. 结果实，开花（正式） n. 熊
safe	 adj. 安全的；可靠的；平安的 n. 保险箱；冷藏室；纱橱
workload	 n. 工作量
beat	 v. 打；打败 n. 拍子；敲击；有规律的一连串敲打 adj. 筋疲力尽的；疲惫不堪的
linear	 adj. 线的，线型的；直线的，线状的；长度的
debt	 n. 债务；借款；罪过
kickback	 n. 回扣，佣金；强烈反应；退回赃物
operator	 n. 经营者；操作员；话务员；行家
unanimous	 adj. 全体一致的；意见一致的；无异议的
independent	 adj. 独立的；单独的；无党派的；不受约束的 n. 独立自主者；无党派者
alienate	 v. 使疏远，离间；让与
yen	 n. 日元（日本货币单位）；渴望 v. 渴望
volume	 n. 量；体积；卷；音量；大量；册 adj. 大量的 vi. 成团卷起 vt. 把…收集成卷
staple	 n. 主要产品；订书钉；主题；主食 adj. 主要的，大宗生产的；常用的；纺织纤维的 v. 把…分级；钉住
successful	 adj. 成功的；一帆风顺的
configuration	 n. 配置；结构；外形
amendment	 n. 修正案；改善；改正
fiscal	 adj. 会计的，财政的；国库的 n. (Fiscal)人名；(法)菲斯卡尔
amalgamation	 n. 融合，混合；合并，联合；[冶] 混汞法，汞齐化法
least	 adj. 最小的；最少的（little的最高级） adv. 最小；最少 n. 最小；最少
normal	 adj. 正常的；正规的，标准的 n. 正常；标准；常态
abroad	 adv. 在国外；到海外 adj. 往国外的 n. 海外；异国
award	 v. 授予；判定 n. 奖品；判决
spite	 n. 不顾；恶意；怨恨 v. 刁难；使恼怒
aware	 adj. 意识到的；知道的；有…方面知识的；懂世故的 n. (Aware)人名；(阿拉伯、索)阿瓦雷
dear	 adj. 亲爱的；尊敬的；昂贵的 adv. 高价地；疼爱地 int. 哎呀 n. 亲爱的人
transportation	 n. 运输；运输系统；运输工具；流放
long	 n. 长时间；[语] 长音节；（服装的）长尺寸；长裤 adj. 长的；过长的；做多头的；长时间的；冗长的，长音 v. 渴望；热望 adv. 长期地；始终
installment	 n. 安装；分期付款；部分；就职
balance	 n. 平衡；余额；匀称 v. 使平衡；结算；使相称
obligation	 n. 义务；职责；债务
conduct	 v. 导电；带领 n. 进行；行为；实施
gilt	 n. 镀金；小母猪；眩目的外表 adj. 镀金的 v. 镀金（gild的过去式和过去分词）
deal	 v. 处理；给予；分配；发牌 n. 交易；（美）政策；待遇；份量
autumn	 n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的
hostess	 n. 女主人，女老板；女服务员；舞女；女房东
expose	 v. 揭露，揭发；使曝光；显示
approximately	 adv. 大约，近似地；近于
liberal	 adj. 自由主义的；慷慨的；不拘泥的；宽大的 n. 自由主义者
capture	 v. 俘获；夺得；捕捉，拍摄,录制 n. 捕获；战利品，俘虏
competitiveness	 n. 竞争力，好竞争
seldom	 adv. 很少，不常
cement	 v. 巩固，加强；用水泥涂；接合 n. 水泥；接合剂
dead	 adj. 无生命的；呆板的；废弃了的 adv. 完全地 n. 死者
watered	 adj. 掺水的；洒有水的，洒了水的；有波纹的；加虚股的（面值增加而实值未按比例增加） v. 浇水，供以水（water的过去式和过去分词）
consequence	 n. 结果；重要性；推论
dignity	 n. 尊严；高贵
ailment	 n. 小病；不安
buoyant	 adj. 轻快的；有浮力的；上涨的
financial	 adj. 金融的；财政的，财务的
reward	 n. [劳经] 报酬；报答；酬谢 v. [劳经] 奖励；奖赏
likely	 adj. 很可能的；合适的；有希望的 adv. 很可能；或许
stress	 n. 压力；强调；紧张；重要性；重读 v. 强调；使紧张；加压力于；用重音读
flavor	 n. 情味，风味；香料；滋味 v. 加味于
burst	 v. 爆发，突发；爆炸 n. 爆发，突发；爆炸
newsagent	 n. 报刊经销商
sanction	 n. 制裁，处罚；认可；支持 v. 制裁，处罚；批准；鼓励
accountant	 n. 会计师；会计人员
interim	 adj. 临时的，暂时的；中间的；间歇的 n. 过渡时期，中间时期；暂定
continual	 adj. 持续不断的；频繁的
classical	 adj. 古典的；经典的；传统的；第一流的 n. 古典音乐
maximum	 n. [数] 极大，最大限度；最大量 adj. 最高的；最多的；最大极限的
lease	 n. 租约；租期；租赁物；租赁权 v. 出租；租得
contemporary	 n. 同时代的人；同时期的东西 adj. 当代的；同时代的；属于同一时期的
billboard	 n. 广告牌；布告板 vt. 宣传；介绍
suggestion	 n. 建议；示意；微量，细微的迹象
bonus	 n. 奖金；红利；额外津贴
laborer	 n. 劳动者；工人
diversification	 n. 多样化；变化
securities	 n. [金融] 有价证券；担保；抵押物（security的复数）；保证人
thrive	 v. 繁荣，兴旺；茁壮成长
lend	 v. 贷；增添，提供；把……借给 n. (Lend)人名；(德)伦德
enforce	 v. 实施，执行；强迫，强制
mobile	 adj. 可移动的；机动的；易变的；非固定的 n. 运动物体
collect	 v. 收集；募捐 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名；(英)科莱克特
debenture	 n. （英）[金融] 公司债券；[税收] 退税证明书
depress	 v. 压抑；使沮丧；使萧条
poise	 n. 平衡；姿势；镇静 v. 使平衡；保持姿势
taxation	 n. 课税，征税；税款
railroad	 v. 由铁道运输；铺设铁路；以捏造不实之罪使入狱 n. 铁路；铁路公司
garage	 n. 车库；汽车修理厂；飞机库 v. 把……送入车库；把（汽车）开进车库
inferior	 adj. 差的；自卑的；下级的，下等的 n. 下级；次品
correction	 n. 改正，修正
odyssey	 n. 奥德赛（古希腊史诗）
adapt	 v. 使适应；改编
routine	 n. [计] 程序；日常工作；例行公事 adj. 日常的；例行的
financially	 adv. 财政上；金融上
recommend	 v. 推荐，介绍；劝告；使受欢迎；托付
statistics	 n. 统计；统计学；[统计] 统计资料
island	 n. 岛；岛屿；安全岛；岛状物 adj. 岛的 vt. 孤立；使成岛状
sack	 n. 麻布袋；洗劫 v. 解雇；把……装入袋；劫掠
legislative	 adj. 立法的；有立法权的 n. 立法权；立法机构
attractive	 adj. 吸引人的；有魅力的；引人注目的
integration	 n. 集成；综合
treaty	 n. 条约，协议；谈判
guru	 n. 古鲁（指印度教等宗教的宗师或领袖）；领袖；专家
defendant	 adj. 辩护的；为自己辩护的 n. 被告
sample	 v. 取样；尝试；抽样检查 n. 样品；样本；例子 adj. 试样的，样品的；作为例子的
earnings	 n. 收入
requirement	 n. 要求；必要条件；必需品
export	 n. 输出，出口；出口商品 v. 输出物资
disappoint	 v. 使失望
speed	 v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
uniform	 adj. 统一的；一致的；相同的；均衡的；始终如一的 n. 制服 v. 使穿制服；使成一样
ahead	 adj. 向前；在前的；领先 adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
ounce	 n. 盎司；少量；雪豹
prediction	 n. 预报；预言
leverage	 n. 手段，影响力；杠杆作用；杠杆效率 v. 利用；举债经营
stimulate	 v. 刺激；鼓舞，激励
sponsor	 n. 赞助者；主办者；保证人 v. 赞助；发起
venue	 n. 审判地；犯罪地点；发生地点；集合地点
memory	 n. 记忆，记忆力；内存，[计] 存储器；回忆
draft	 n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流 v. 起草；制定；征募 adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
shed	 v. 流出；摆脱；散发；倾吐 n. 小屋，棚；分水岭
arrears	 n. [会计] 拖欠；待完成的事；应付欠款
privilege	 n. 特权；优待 v. 给与…特权；特免
approximation	 n. [数] 近似法；接近；[数] 近似值
cooperative	 adj. 合作的；合作社的 n. 合作社
ad	 n. 公元；广告（ad）
debtee	 n. 债权人
approach	 n. 方法；途径；接近 v. 接近；着手处理
arbitrator	 n. 公断人，仲裁人
manner	 n. 方式；习惯；种类；规矩；风俗
amend	 v. 修改；改善，改进 n. (Amend)人名；(德、英)阿门德
growth	 n. 增长；发展；生长；种植
employment	 n. 使用；职业；雇用
swop	 v. 交换；替换 n. 交换；以货易货
inscrutable	 adj. 神秘的；不可理解的；不能预测的；不可思议的
makeup	 n. 化妆品；组成；补充；补考
luggage	 n. 行李；皮箱
sustainable	 adj. 可以忍受的；足可支撑的；养得起的；可持续的
heritage	 n. 遗产；传统；继承物；继承权
marketable	 adj. 市场的；可销售的；有销路的
inclusive	 adj. 包括的，包含的
skimming	 n. 撇取浮沫；浮渣 v. 撇去…的浮物（skim的ing形式）
consultation	 n. 咨询；磋商；[临床] 会诊；讨论会
barrier	 n. 障碍物，屏障；界线 vt. 把…关入栅栏
rework	 v. 重做；修订
correct	 v. 改正；告诫 adj. 正确的；恰当的；端正的
futures	 n. 期货；未来，前途（future的复数形式）
button	 n. 按钮；纽扣 v. 扣住；扣紧；在…上装纽扣
ticket	 n. 票；入场券，标签；（美）候选人名单；证明书；交通罚款单 v. 加标签于；指派；对…开出交通违规罚单
palatial	 adj. 宫殿似的；宏伟的；壮丽的
commercial	 adj. 商业的；营利的；靠广告收入的 n. 商业广告
tramp	 v. 流浪；践踏，踩；脚步沉重地行走 n. 流浪者；沉重的脚步声；徒步旅行
helicopter	 n. [航] 直升飞机 vi. [航] 乘直升飞机 vt. 由直升机运送
limit	 n. 限制；限度；界线 v. 限制；限定
debtor	 n. 债务人；[会计] 借方
commitment	 n. 承诺，保证；委托；承担义务；献身
endorse	 v. 背书；认可；签署；赞同；在背面签名
reality	 n. 现实；实际；真实
board	 n. 董事会；木板；甲板；膳食 v. 上（飞机、车、船等）；用板盖上；给提供膳宿
powerful	 adj. 强大的；强有力的 adv. 很；非常
depression	 n. 沮丧；洼地；不景气；忧愁；低气压区
composite	 n. 复合材料；合成物；菊科 adj. 复合的；合成的；菊科的 vt. 使合成；使混合
threaten	 v. 威胁；恐吓；预示
downsize	 v. 以较小尺寸设计；缩小尺寸；裁减人数
autarky	 n. 自给自足
slowdown	 n. 减速；怠工；降低速度
attn	 abbr. 注意（attention）
VAT	 abbr. 增值税（Value Added Tax）
absolve	 v. 免除；赦免；宣告…无罪
delay	 v. 延期；耽搁 n. 延期；耽搁；被耽搁或推迟的时间
labourer	 n. 劳动者；劳工
accumulate	 v. 累积；积聚
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
region	 n. 地区；范围；部位
evaluate	 v. 评价；估价；求…的值
tiptop	 n. 最高点；绝顶；黄金时代 adj. 极好的；第一流的 adv. 非常好地
hardware	 n. 计算机硬件；五金器具
interval	 n. 间隔；间距；幕间休息
development	 n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄] 显影
relocate	 v. 重新安置；迁移 n. 浮动
arbitration	 n. 公断，仲裁
workplace	 n. 工作场所；车间
aside	 adv. 离开，撇开；在旁边 n. 旁白；私语，悄悄话；离题的话 prep. 在…旁边
thrill	 n. 激动；震颤；紧张 v. 使…颤动；使…紧张；使…感到兴奋或激动
solve	 v. 解决；解答；溶解
streamline	 v. 把…做成流线型；使现代化；组织；使合理化；使简单化 n. 流线；流线型 adj. 流线型的
adjustment	 n. 调整，调节；调节器
withdraw	 v. 撤退；收回；撤消；拉开
rebate	 v. 减少；打折扣 n. 折扣
internal	 adj. 内部的；内在的；国内的
situation	 n. 情况；形势；处境；位置
realise	 v. 认识到，明白
entitle	 v. 称做…；定名为…；给…称号；使…有权利
subsequent	 adj. 后来的，随后的
ideal	 adj. 理想的；完美的；想象的；不切实际的 n. 理想；典范
vague	 adj. 模糊的；含糊的；不明确的；暧昧的 n. (Vague)人名；(法)瓦格；(英)韦格
marriage	 n. 结婚；婚姻生活；密切结合，合并
outcome	 n. 结果，结局；成果
masterpiece	 n. 杰作；绝无仅有的人
illustrate	 v. 阐明，举例说明；图解
irritable	 adj. 过敏的；急躁的；易怒的
route	 v. 按某路线发送 n. 路线；航线；通道
item	 n. 条款，项目；一则；一件商品（或物品） adj. 又，同上 v. 记下；逐条列出
account	 n. 账户；解释；账目，账单；理由；描述 v. 解释；导致；报账
hoard	 v. 积聚钱财；贮藏货物 n. 贮藏物
sometime	 adv. 改天；来日；在某一时候 adj. 以前的；某一时间的
detective	 adj. 侦探的 n. 侦探
dismiss	 v. 解散；解雇；开除；让离开；不予理会、不予考虑
produce	 v. 生产；引起；创作；生育，繁殖 n. 农产品，产品
realize	 v. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
reveal	 v. 显示；透露；揭露；泄露 n. 揭露；暴露；门侧，窗侧
markup	 n. 涨价；利润；审定
individual	 adj. 个人的；个别的；独特的 n. 个人，个体
last	 n. 末尾，最后；上个；鞋楦（做鞋的模型） adj. 最后的；最近的，最新的；仅剩的；最不可能…的 v. 持续；维持，够用；持久 adv. 最后地；上次，最近；最后一点
sometimes	 adv. 有时，间或
recognition	 n. 识别；承认，认出；重视；赞誉；公认
unsatisfactory	 adj. 不令人满意的；不满足的；不符合要求的
carpet	 v. 在…上铺地毯，把地毯铺在…上；斥责 n. 地毯；地毯状覆盖物
actually	 adv. 实际上；事实上
accountability	 n. 有义务；有责任；可说明性
fraud	 n. 欺骗；骗子；诡计
checklist	 n. 清单；检查表；备忘录；目录册
regularly	 adv. 定期地；有规律地；整齐地；匀称地
lavatory	 n. 厕所，盥洗室
trail	 v. 追踪；拖；蔓延；落后于 n. 小径；痕迹；尾部；踪迹；一串，一系列
value	 n. 值；价值；价格；重要性；确切涵义 v. 评价；重视；估价
credit	 n. 信用，信誉；[金融] 贷款；学分；信任；声望 v. 相信，信任；把…归给，归功于；赞颂
pavement	 n. 人行道
trait	 n. 特性，特点；品质；少许
timescale	 n. 时间量程
attributable	 adj. 可归于…的；可归属的
glance	 n. 一瞥；一滑；闪光 v. 扫视，匆匆一看；反光；瞥闪，瞥见
flat	 adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的 adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地 n. 平地；公寓；平面 vt. 使变平；[音乐]使（音调）下降，尤指降半音 vi. 逐渐变平；[音乐]以降调唱（或奏）
punctuality	 n. 严守时间；正确；规矩
sharply	 adv. 急剧地；锐利地
liquid	 adj. 液体的；清澈的；明亮的；易变的 n. 液体，流体；流音
reshuffle	 v. 重新洗牌；改组；重作安排 n. 重新洗牌；改组
permanent	 adj. 永久的，永恒的；不变的 n. 烫发（等于permanent wave）
plethora	 n. 过多；过剩；[医] 多血症
late	 adj. 晚的；迟的；已故的；最近的 adv. 晚；迟；最近；在晚期
challenger	 n. 挑战者
lawyer	 n. 律师；法学家
fluctuation	 n. 起伏，波动
tug	 n. 拖船；拖曳；苦干 v. 用力拉；竞争；努力做
supervise	 v. 监督，管理；指导
loss	 n. 减少；亏损；失败；遗失
auctioneer	 v. 拍卖 n. 拍卖商
improve	 v. 改善，增进；提高…的价值
add	 v. 加；增加；加起来；做加法 n. 加法，加法运算
compel	 v. 强迫，迫使；强使发生 n. (Compel)人名；(法)孔佩尔
microscope	 n. 显微镜
disappointment	 n. 失望；沮丧
authenticate	 v. 鉴定；证明…是真实的
crazy	 adj. 疯狂的；狂热的，着迷的
mineral	 n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示） adj. 矿物的；矿质的
layout	 n. 布局；设计；安排；陈列
bargaining	 n. 讨价还价；交易；交涉 v. 讨价还价；交易（bargain的ing形式）
banking	 n. 银行业；银行业务；银行家的职业；筑堤 v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）
cooperation	 n. 合作，协作；[劳经] 协力
strategize	 vt. 为…制订战略 vi. 制订战略
bilingual	 adj. 双语的 n. 通两种语言的人
frustrate	 v. 挫败；阻挠；使感到灰心 adj. 挫败的；无益的
agenda	 n. 议程；日常工作事项；日程表
statute	 n. [法] 法规；法令；条例
peer	 n. 贵族；同等的人；同龄人 v. 凝视，盯着看；窥视
dispose	 v. 处理；处置；安排 n. 处置；性情
resource	 n. 资源，财力；办法；智谋
agency	 n. 代理，中介；代理处，经销处
list	 n. [计] 列表；清单；目录 v. 列于表上
smash	 v. 粉碎；使破产；溃裂 n. 破碎；扣球；冲突；大败 adj. 了不起的；非常轰动的；出色的
section	 n. 截面；部分；部门；地区；章节 v. 被切割成片；被分成部分
spend	 v. 度过，消磨（时光）；花费；浪费；用尽 n. 预算
human	 adj. 人的；人类的 n. 人；人类
lose	 v. 浪费；使沉溺于；使迷路；遗失；错过 n. (Lose)人名；(英)洛斯；(德)洛泽
hurt	 v. 使受伤；损害；使疼痛；使痛心 n. 痛苦；危害；痛苦的原因 adj. 受伤的；痛苦的；受损的
opportunity	 n. 时机，机会
electrical	 adj. 有关电的；电气科学的
absorb	 v. 吸收；吸引；承受；理解；使…全神贯注
embezzle	 v. 盗用；挪用；贪污
blue	 n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌 adj. 蓝色的；沮丧的，忧郁的；下流的 v. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于
airmail	 n. 航空邮件
synergic	 adj. 合作的，协作的
hostile	 adj. 敌对的，敌方的；怀敌意的 n. 敌对
tighten	 v. 变紧；使变紧
necessary	 adj. 必要的；必需的；必然的 n. 必需品
instalment	 n. 分期付款；装设；就职
slump	 v. 下降，衰落；倒下；大幅度下降，暴跌 n. 衰退；暴跌；消沉
rating	 n. 等级；等级评定；额定功率 v. 对…评价（rate的ing形式）
hotel	 n. 旅馆，饭店；客栈 vt. 使…在饭店下榻 vi. 进行旅馆式办公
local	 n. [计] 局部；当地居民；本地新闻 adj. 当地的；局部的；地方性的；乡土的
act	 v. 扮演；装作，举动像 n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
kudos	 n. 荣誉；名望；称赞
influx	 n. 流入；汇集；河流的汇集处
withdrawal	 n. 撤退，收回；提款；取消；退股
nimble	 adj. 敏捷的；聪明的；敏感的
commuter	 n. 通勤者，经常乘公共车辆往返者；[交] 月季票乘客
viable	 adj. 可行的；能养活的；能生育的
refresher	 n. 可提神的人或物；补习课程；清凉饮料；增加报酬 adj. 专业性复习进修的
appetite	 n. 食欲；嗜好
delegation	 n. 代表团；授权；委托
financing	 n. 融资；财务；筹措资金 v. 筹措资金；财政管理；从事金融活动（finance的ing形式）
assistant	 n. 助手，助理，助教 adj. 辅助的，助理的；有帮助的
nature	 n. 自然；性质；本性；种类
umpire	 v. 当裁判，任裁判 n. 裁判员，仲裁人
subsidize	 v. 资助；给与奖助金；向…行贿
finalize	 v. 完成；使结束
commercialize	 v. 使商业化；使商品化
patronizing	 adj. 要人领情的；自视高人一等的；以恩人态度自居的 v. 光顾，惠顾；庇护，保护（patronize的现在分词）
option	 n. [计] 选项；选择权；买卖的特权
slack	 adj. 松弛的；疏忽的；不流畅的 v. 松懈；减弱 n. 煤末；峡谷 adv. 马虎地；缓慢地
volatile	 adj. [化学] 挥发性的；不稳定的；爆炸性的；反复无常的 n. 挥发物；有翅的动物
contend	 v. 竞争；奋斗；斗争；争论
going	 n. 行为；离去；工作情况；地面状况 adj. 流行的；进行中的；现存的 v. 前进；出发；运转（go的ing形式）
rubber	 n. 橡胶；橡皮；合成橡胶；按摩师 adj. 橡胶制成的 v. 涂橡胶于；用橡胶制造
trend	 n. 趋势，倾向；走向 v. 趋向，伸向
international	 n. 国际组织；国际体育比赛；外国居留者；国际股票 adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的
devaluation	 n. 货币贬值
loan	 n. 贷款；借款 v. 借出
acquaint	 v. 使熟悉；使认识
investigate	 v. 调查；研究
content	 n. 内容，目录；满足；容量 adj. 满意的 v. 使满足
grace	 n. 优雅；恩惠；魅力；慈悲 v. 使优美
pure	 adj. 纯的；纯粹的；纯洁的；清白的；纯理论的 n. (Pure)人名；(俄)普雷
loaf	 n. 条，一条面包；块；游荡 v. 游荡；游手好闲；虚度光阴
leading	 adj. 领导的；主要的 n. 领导；铅板；行距 v. 领导（lead的ing形式）
simply	 adv. 简单地；仅仅；简直；朴素地；坦白地
trademark	 n. 商标
corruption	 n. 贪污，腐败；堕落
conflict	 n. 冲突，矛盾；斗争；争执 v. 冲突，抵触；争执；战斗
assurance	 n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
conversion	 n. 转换；变换；[金融] 兑换；改变信仰
harm	 n. 伤害；损害 v. 伤害；危害；损害
sentence	 n. [语][计] 句子，命题；宣判，判决 v. 判决，宣判
hardly	 adv. 几乎不，简直不；刚刚
date	 n. 日期；约会；年代；枣椰子 v. 过时；注明日期；始于（某一历史时期）
floatation	 n. [物化] 浮选；漂浮性
spring	 n. 春天；弹簧；泉水；活力；跳跃 adj. 春天的 v. 生长；涌出；跃出；裂开
running	 n. 运转；赛跑；流出 adj. 连续的；流动的；跑着的；运转着的 v. 跑；运转（run的ing形式）；行驶
irritate	 v. 刺激，使兴奋；激怒
continuation	 n. 继续；续集；延长；附加部分；扩建物
personal	 adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词
equation	 n. 方程式，等式；相等；[化学] 反应式
irrevocable	 adj. 不可改变的；不能取消的；不能挽回的
grade	 n. 年级；等级；成绩；级别；阶段 v. 评分；把…分等级
reply	 v. 回答；[法] 答辩；回击 n. 回答；[法] 答辩
downside	 n. 负面，缺点；下降趋势；底侧 adj. 底侧的
slide	 n. 滑动；幻灯片；滑梯；雪崩 v. 滑动；滑落；不知不觉陷入
sprint	 v. 冲刺，全速跑 n. 冲刺；短跑
entitlement	 n. 权利；津贴
ability	 n. 能力，能耐；才能
axe	 n. 斧 v. 削减；用斧砍
initiative	 n. 主动权；首创精神 adj. 主动的；自发的；起始的
reverse	 n. 背面；相反；倒退；失败 v. 颠倒；倒转 adj. 反面的；颠倒的；反身的
facilitate	 v. 促进；帮助；使容易
arbitrageur	 n. 从事于套利或套汇之人
transcend	 v. 胜过，超越
previous	 adj. 以前的；早先的；过早的 adv. 在先；在…以前
payment	 n. 付款，支付；报酬，报答；偿还；惩罚，报应
inmate	 n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
settlement	 n. 解决，处理；[会计] 结算；沉降；殖民
noncommittal	 adj. 态度不明朗的；不承担义务的；无明确意义的
pare	 v. 消减；削皮；剪；修掉（边等） n. (Pare)人名；(英)佩尔；(法)帕尔
selection	 n. 选择，挑选；选集；精选品
reasonable	 adj. 合理的，公道的；通情达理的
employ	 v. 使用，采用；雇用；使忙于，使从事于 n. 使用；雇用
relationship	 n. 关系；关联
field	 n. 领域；牧场；旷野；战场；运动场 v. 担任场外队员 adj. 扫描场；田赛的；野生的
replace	 v. 取代，代替；替换，更换；归还，偿还；把…放回原处
institute	 v. 开始（调查）；制定；创立；提起（诉讼） n. 学会，协会；学院
careless	 adj. 粗心的；无忧无虑的；淡漠的 n. (Careless)人名；(英)凯尔利斯
expense	 n. 损失，代价；消费；开支 vt. 向…收取费用 vi. 被花掉
pattern	 n. 模式；图案；样品 v. 模仿；以图案装饰
extractive	 n. 提取物；抽出物；精华 adj. 提取的；可萃取的；精萃的
showroom	 n. 陈列室；样品间
inventory	 n. 存货，存货清单；详细目录；财产清册
weapon	 n. 武器，兵器
documentation	 n. 文件, 证明文件, 史实, 文件编制
stifle	 v. 扼杀；使窒息；藏匿 n. （马等的）后膝关节；（马等的）[动] 后膝关节病
keen	 adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的 n. 痛哭，挽歌
reinforce	 v. 加强，加固；强化；补充 n. 加强；加固物；加固材料
windfall	 n. 意外之财；被风吹落的果子；意外的收获
liberalization	 n. 自由化；自由主义化；放宽限制
part	 n. 部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的
infrastructure	 n. 基础设施；公共建设；下部构造
confirm	 v. 确认；确定；证实；批准；使巩固
respect	 n. 尊敬，尊重；方面；敬意 v. 尊敬，尊重；遵守
afford	 v. 给予，提供；买得起 n. (Afford)人名；(英)阿福德
asleep	 adj. 睡着的；麻木的；长眠的 adv. 熟睡地；进入睡眠状态
kick	 v. 踢；反冲，朝后座 n. 踢；反冲，后座力
portable	 adj. 手提的，便携式的；轻便的 n. 手提式打字机
hall	 n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
attend	 v. 出席；上（大学等）；照料；招待；陪伴
provide	 v. 提供；规定；准备；装备
half	 n. 一半；半场；半学年 adv. 一半地；部分地 adj. 一半的；不完全的；半途的
cancel	 v. 取消；删去 n. 取消，撤销
round	 n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
substitute	 n. 代用品；代替者 v. 替代
